event,q,chi1,chi2,af,af_pred_ufrf,af_pred_baseline,residual_ufrf,residual_baseline,abs_error_ufrf,abs_error_baseline
GW151226,0.562043795620438,0.21,0.74,0.74,0.6745408354407673,0.5492990654205606,0.06545916455923273,0.19070093457943937,0.06545916455923273,0.19070093457943937
GW190602_175927,0.796875,0.5,0.41,0.79,0.6355542544557669,0.4499130434782609,0.15444574554423318,0.34008695652173915,0.15444574554423318,0.34008695652173915
GW190701_203306,0.8909090909090909,0.47,0.36,0.78,0.6121975183518261,0.411826923076923,0.1678024816481739,0.36817307692307705,0.1678024816481739,0.36817307692307705
GW190413_134308,0.6034912718204488,0.59,0.32,0.71,0.5314853828180485,0.4216174183514775,0.1785146171819515,0.2883825816485225,0.1785146171819515,0.2883825816485225
GW190521,0.6947368421052632,0.43,0.47,0.81,0.6043435275539434,0.4536024844720496,0.20565647244605667,0.35639751552795046,0.20565647244605667,0.35639751552795046
GW190706_222641,0.5671641791044776,0.52,0.35,0.73,0.5070089706402725,0.4115238095238095,0.22299102935972748,0.31847619047619047,0.22299102935972748,0.31847619047619047
GW170823,0.7424242424242423,0.47,0.24,0.69,0.4629955159610763,0.3379999999999999,0.22700448403892365,0.35200000000000004,0.22700448403892365,0.35200000000000004
GW190814,0.1120689655172413,0.07,0.0,0.24,0.0061672220151659,0.0070542635658914,0.2338327779848341,0.2329457364341086,0.2338327779848341,0.2329457364341086
GW190519_153544,0.6060606060606061,0.48,0.43,0.81,0.5667436750560334,0.4488679245283019,0.24325632494396665,0.3611320754716982,0.24325632494396665,0.3611320754716982
GW190707_093326,0.5803571428571429,0.25,0.47,0.73,0.483553289408115,0.3892090395480225,0.246446710591885,0.3407909604519775,0.246446710591885,0.3407909604519775
GW190413_052954,0.6876790830945559,0.19,0.49,0.74,0.4879319482407893,0.3677589134125636,0.2520680517592107,0.3722410865874364,0.2520680517592107,0.3722410865874364
GW190731_140936,0.8333333333333334,0.38,0.24,0.71,0.4376242669516322,0.3036363636363636,0.27237573304836776,0.40636363636363637,0.27237573304836776,0.40636363636363637
