cluster_id,z,M500_HSE,M500_HSE_err
A2697,0.2320,6.29,0.65
A0068,0.2546,10.77,4.10
A2813,0.2924,7.64,1.71
A0115,0.1971,2.54,0.73
A0141,0.2300,3.97,1.37
ZwCl0104.4+0048,0.2540,1.67,0.07
A0209,0.2060,5.47,1.07
A0267,0.2300,5.97,1.84
A0291,0.1960,2.92,0.56
A0383,0.1883,3.68,0.90
A0521,0.2475,6.78,1.48
A0586,0.1710,4.42,0.90
A0611,0.2880,6.80,1.08
A0697,0.2820,13.14,2.74
ZwCl0857.9+2107,0.2347,5.59,3.99
A0750,0.1630,3.17,1.22
A0773,0.2170,6.51,1.62
A0781,0.2984,6.09,2.87
ZwCl0949.6+5207,0.2140,2.90,0.20
A0901,0.1634,1.68,0.39
A0907,0.1669,4.36,0.74
A0963,0.2050,6.80,1.08
ZwCl1021.0+0426,0.2906,7.83,0.96
A1423,0.2130,6.02,1.53
A1451,0.1992,8.97,2.18
RXCJ1212.3-1816,0.2690,1.67,0.31
ZwCl1231.4+1007,0.2290,6.82,1.29
A1682,0.2260,7.35,3.06
A1689,0.1832,12.09,1.54
A1758N,0.2800,10.21,1.54
A1763,0.2279,8.61,1.96
A1835,0.2528,14.52,2.90
A1914,0.1712,9.11,1.59
ZwCl1454.8+2233,0.2578,4.61,1.33
A2009,0.1530,7.33,2.47
ZwCl1459.4+4240,0.2897,5.59,3.99
RXCJ1504.1-0248,0.2153,13.15,7.11
A2111,0.2290,5.99,1.89
A2204,0.1524,11.16,1.75
A2219,0.2281,6.80,1.08
RXJ1720.1+2638,0.1640,6.38,1.72
A2261,0.2240,6.75,1.89
RXCJ2102.1-2431,0.1880,3.52,0.61
RXJ2129.6+0005,0.2350,4.65,0.56
A2390,0.2329,6.80,1.08
A2485,0.2472,5.32,2.08
A2537,0.2966,6.65,1.73
A2552,0.2998,7.81,1.64
A2631,0.2779,6.78,1.48
A2645,0.2510,5.98,2.59
