cluster_id,z,fold,predict
A2204,0.1524,0,WL_from_HSE_SZ
A2009,0.153,1,WL_from_HSE_SZ
A0750,0.163,2,WL_from_HSE_SZ
A0901,0.1634,3,WL_from_HSE_SZ
RXJ1720.1+2638,0.164,4,WL_from_HSE_SZ
A0907,0.1669,0,WL_from_HSE_SZ
A0586,0.171,1,WL_from_HSE_SZ
A1914,0.1712,2,WL_from_HSE_SZ
A1689,0.1832,3,WL_from_HSE_SZ
RXCJ2102.1-2431,0.188,4,WL_from_HSE_SZ
A0383,0.1883,0,WL_from_HSE_SZ
A0291,0.196,1,WL_from_HSE_SZ
A0115,0.1971,2,WL_from_HSE_SZ
A1451,0.1992,3,WL_from_HSE_SZ
A0963,0.205,4,WL_from_HSE_SZ
A0209,0.206,0,WL_from_HSE_SZ
A1423,0.213,1,WL_from_HSE_SZ
ZwCl0949.6+5207,0.214,2,WL_from_HSE_SZ
RXCJ1504.1-0248,0.2153,3,WL_from_HSE_SZ
A0773,0.217,4,WL_from_HSE_SZ
A2261,0.224,0,WL_from_HSE_SZ
A1682,0.226,1,WL_from_HSE_SZ
A1763,0.2279,2,WL_from_HSE_SZ
A2219,0.2281,3,WL_from_HSE_SZ
ZwCl1231.4+1007,0.229,4,WL_from_HSE_SZ
A2111,0.229,0,WL_from_HSE_SZ
A0267,0.23,1,WL_from_HSE_SZ
A0141,0.23,2,WL_from_HSE_SZ
A2697,0.232,3,WL_from_HSE_SZ
A2390,0.2329,4,WL_from_HSE_SZ
ZwCl0857.9+2107,0.2347,0,WL_from_HSE_SZ
RXJ2129.6+0005,0.235,1,WL_from_HSE_SZ
A2485,0.2472,2,WL_from_HSE_SZ
A0521,0.2475,3,WL_from_HSE_SZ
A2645,0.251,4,WL_from_HSE_SZ
A1835,0.2528,0,WL_from_HSE_SZ
ZwCl0104.4+0048,0.254,1,WL_from_HSE_SZ
A0068,0.2546,2,WL_from_HSE_SZ
ZwCl1454.8+2233,0.2578,3,WL_from_HSE_SZ
RXCJ1212.3-1816,0.269,4,WL_from_HSE_SZ
A2631,0.2779,0,WL_from_HSE_SZ
A1758N,0.28,1,WL_from_HSE_SZ
A0697,0.282,2,WL_from_HSE_SZ
A0611,0.288,3,WL_from_HSE_SZ
ZwCl1459.4+4240,0.2897,4,WL_from_HSE_SZ
ZwCl1021.0+0426,0.2906,0,WL_from_HSE_SZ
A2813,0.2924,1,WL_from_HSE_SZ
A2537,0.2966,2,WL_from_HSE_SZ
A0781,0.2984,3,WL_from_HSE_SZ
A2552,0.2998,4,WL_from_HSE_SZ
