cluster_id,z,M500_WL,M500_WL_err,psf_over_size,snr,photoz_width
A2697,0.2320,6.60,1.20,0.77,6.5,0.20
A0068,0.2546,6.83,1.07,0.73,8.1,0.20
A2813,0.2924,8.43,1.46,0.77,6.7,0.20
A0115,0.1971,5.39,1.56,0.71,3.9,0.20
A0141,0.2300,4.56,0.90,0.71,5.7,0.20
ZwCl0104.4+0048,0.2540,2.10,0.93,0.65,2.8,0.20
A0209,0.2060,12.34,1.57,0.63,9.4,0.20
A0267,0.2300,5.60,0.89,0.61,7.2,0.20
A0291,0.1960,4.46,0.99,0.71,5.9,0.20
A0383,0.1883,5.20,0.90,0.67,7.6,0.20
A0521,0.2475,5.39,0.96,0.61,6.2,0.20
A0586,0.1710,7.20,1.50,0.83,6.3,0.20
A0611,0.2880,9.10,1.61,0.79,5.7,0.20
A0697,0.2820,7.70,1.49,0.73,6.5,0.20
ZwCl0857.9+2107,0.2347,2.07,1.03,0.85,2.6,0.20
A0750,0.1630,6.16,1.54,0.71,6.2,0.20
A0773,0.2170,10.07,1.04,0.57,10.5,0.20
A0781,0.2984,5.67,1.64,0.87,4.2,0.20
ZwCl0949.6+5207,0.2140,4.97,1.09,0.83,5.1,0.20
A0901,0.1634,2.79,0.77,0.73,4.0,0.20
A0907,0.1669,11.53,1.81,0.73,8.8,0.20
A0963,0.2050,6.96,1.07,0.75,7.2,0.20
ZwCl1021.0+0426,0.2906,5.33,0.84,0.61,6.7,0.20
A1423,0.2130,4.44,0.86,0.71,6.0,0.20
A1451,0.1992,8.40,0.93,0.65,10.2,0.20
RXCJ1212.3-1816,0.2690,2.21,0.99,0.91,2.1,0.20
ZwCl1231.4+1007,0.2290,4.61,1.46,0.75,4.4,0.20
A1682,0.2260,8.53,1.03,0.69,10.8,0.20
A1689,0.1832,12.57,1.47,0.87,10.6,0.20
A1758N,0.2800,6.21,1.40,0.69,4.8,0.20
A1763,0.2279,15.80,2.06,0.77,9.6,0.20
A1835,0.2528,10.97,1.50,0.89,7.9,0.20
A1914,0.1712,7.83,1.30,0.61,6.7,0.20
ZwCl1454.8+2233,0.2578,3.74,1.46,0.81,3.1,0.20
A2009,0.1530,6.39,1.36,0.77,6.1,0.20
ZwCl1459.4+4240,0.2897,3.66,0.97,0.57,3.7,0.20
RXCJ1504.1-0248,0.2153,6.54,1.41,0.79,5.2,0.20
A2111,0.2290,5.09,1.30,0.89,3.4,0.20
A2204,0.1524,9.93,1.70,0.81,7.9,0.20
A2219,0.2281,8.66,1.33,0.71,7.7,0.20
RXJ1720.1+2638,0.1640,4.94,1.29,0.71,4.7,0.20
A2261,0.2240,10.74,1.26,0.61,10.8,0.20
RXCJ2102.1-2431,0.1880,3.71,0.84,0.71,4.0,0.20
RXJ2129.6+0005,0.2350,3.46,1.17,0.85,4.6,0.20
A2390,0.2329,10.53,1.47,0.65,8.9,0.20
A2485,0.2472,5.47,0.96,0.67,5.9,0.20
A2537,0.2966,8.57,1.93,0.99,5.2,0.20
A2552,0.2998,7.16,1.79,0.77,4.3,0.20
A2631,0.2779,5.61,1.69,0.65,4.5,0.20
A2645,0.2510,4.01,0.96,0.67,4.8,0.20
