composite_id,left_id,right_id,u1,u2,u12,delta,cosine,oppose_overlap
C_K_3_1__K_4_1,K_3_1,K_4_1,42,140,140,-42,-0.981815035480216,42
C_K_3_1__K_5_1,K_3_1,K_5_1,42,207,220,-29,-0.3800614655979609,29
C_K_3_1__K_5_2,K_3_1,K_5_2,42,159,159,-42,-0.9096903852199096,42
C_K_3_1__K_7_1,K_3_1,K_7_1,42,188,228,-2,0.5739108428163744,2
C_K_3_1__K_3_1_mirror,K_3_1,K_3_1_mirror,42,42,84,0,1.0,0
C_K_3_1__K_4_1_mirror,K_3_1,K_4_1_mirror,42,74,104,-12,0.265419929251677,12
C_K_3_1__K_5_1_mirror,K_3_1,K_5_1_mirror,42,101,107,-36,-0.823628099263624,36
C_K_3_1__K_5_2_mirror,K_3_1,K_5_2_mirror,42,215,252,-5,0.5018301382917671,5
C_K_3_1__K_7_1_mirror,K_3_1,K_7_1_mirror,42,329,355,-16,0.4014322625109373,16
C_K_4_1__K_3_1,K_4_1,K_3_1,140,42,140,-42,-0.981815035480216,42
C_K_4_1__K_5_1,K_4_1,K_5_1,140,207,316,-31,0.4754987865287362,31
C_K_4_1__K_5_2,K_4_1,K_5_2,140,159,299,0,0.9554120195993796,0
C_K_4_1__K_7_1,K_4_1,K_7_1,140,188,254,-74,-0.4999275986328609,74
C_K_4_1__K_3_1_mirror,K_4_1,K_3_1_mirror,140,42,140,-42,-0.981815035480216,42
C_K_4_1__K_4_1_mirror,K_4_1,K_4_1_mirror,140,74,176,-38,-0.1835293296277815,38
C_K_4_1__K_5_1_mirror,K_4_1,K_5_1_mirror,140,101,240,-1,0.9080687813267944,1
C_K_4_1__K_5_2_mirror,K_4_1,K_5_2_mirror,140,215,284,-71,-0.4387777196830373,71
C_K_4_1__K_7_1_mirror,K_4_1,K_7_1_mirror,140,329,391,-78,-0.366842690124103,78
C_K_5_1__K_3_1,K_5_1,K_3_1,207,42,220,-29,-0.3800614655979609,29
C_K_5_1__K_4_1,K_5_1,K_4_1,207,140,316,-31,0.4754987865287362,31
C_K_5_1__K_5_2,K_5_1,K_5_2,207,159,331,-35,0.3683923116850951,35
