composite_id,left_id,right_id
C_K_3_1__K_3_1_mirror,K_3_1,K_3_1_mirror
C_K_3_1__K_4_1,K_3_1,K_4_1
C_K_3_1__K_4_1_mirror,K_3_1,K_4_1_mirror
C_K_3_1__K_5_1,K_3_1,K_5_1
C_K_3_1__K_5_1_mirror,K_3_1,K_5_1_mirror
C_K_3_1__K_5_2,K_3_1,K_5_2
C_K_3_1__K_5_2_mirror,K_3_1,K_5_2_mirror
C_K_3_1__K_6_1,K_3_1,K_6_1
C_K_3_1__K_6_1_mirror,K_3_1,K_6_1_mirror
C_K_3_1__K_6_2,K_3_1,K_6_2
C_K_3_1__K_6_2_mirror,K_3_1,K_6_2_mirror
C_K_3_1__K_6_3,K_3_1,K_6_3
C_K_3_1__K_6_3_mirror,K_3_1,K_6_3_mirror
C_K_3_1__K_7_1,K_3_1,K_7_1
C_K_3_1__K_7_1_mirror,K_3_1,K_7_1_mirror
C_K_3_1__K_7_2,K_3_1,K_7_2
C_K_3_1__K_7_2_mirror,K_3_1,K_7_2_mirror
C_K_3_1__K_7_3,K_3_1,K_7_3
C_K_3_1__K_7_3_mirror,K_3_1,K_7_3_mirror
C_K_3_1__K_7_4,K_3_1,K_7_4
C_K_3_1__K_7_4_mirror,K_3_1,K_7_4_mirror
C_K_3_1__K_7_5,K_3_1,K_7_5
C_K_3_1__K_7_5_mirror,K_3_1,K_7_5_mirror
C_K_3_1__K_7_6,K_3_1,K_7_6
C_K_3_1__K_7_6_mirror,K_3_1,K_7_6_mirror
C_K_3_1__K_7_7,K_3_1,K_7_7
C_K_3_1__K_7_7_mirror,K_3_1,K_7_7_mirror
C_K_3_1__K_8_1,K_3_1,K_8_1
C_K_3_1__K_8_1_mirror,K_3_1,K_8_1_mirror
C_K_3_1__K_8_2,K_3_1,K_8_2
C_K_3_1__K_8_2_mirror,K_3_1,K_8_2_mirror
C_K_3_1__K_8_3,K_3_1,K_8_3
C_K_3_1__K_8_3_mirror,K_3_1,K_8_3_mirror
C_K_3_1__K_8_4,K_3_1,K_8_4
C_K_3_1__K_8_4_mirror,K_3_1,K_8_4_mirror
C_K_3_1__K_8_5,K_3_1,K_8_5
C_K_3_1__K_8_5_mirror,K_3_1,K_8_5_mirror
C_K_3_1__K_8_6,K_3_1,K_8_6
C_K_3_1__K_8_6_mirror,K_3_1,K_8_6_mirror
C_K_3_1__K_8_7,K_3_1,K_8_7
C_K_3_1__K_8_7_mirror,K_3_1,K_8_7_mirror
C_K_3_1__K_8_8,K_3_1,K_8_8
C_K_3_1__K_8_8_mirror,K_3_1,K_8_8_mirror
C_K_3_1__K_8_9,K_3_1,K_8_9
C_K_3_1__K_8_9_mirror,K_3_1,K_8_9_mirror
C_K_3_1__K_8_10,K_3_1,K_8_10
C_K_3_1__K_8_10_mirror,K_3_1,K_8_10_mirror
C_K_3_1__K_8_11,K_3_1,K_8_11
C_K_3_1__K_8_11_mirror,K_3_1,K_8_11_mirror
C_K_3_1__K_8_12,K_3_1,K_8_12
C_K_3_1__K_8_12_mirror,K_3_1,K_8_12_mirror
C_K_3_1__K_8_13,K_3_1,K_8_13
C_K_3_1__K_8_13_mirror,K_3_1,K_8_13_mirror
C_K_3_1__K_8_14,K_3_1,K_8_14
C_K_3_1__K_8_14_mirror,K_3_1,K_8_14_mirror
C_K_3_1__K_8_15,K_3_1,K_8_15
C_K_3_1__K_8_15_mirror,K_3_1,K_8_15_mirror
C_K_3_1__K_8_16,K_3_1,K_8_16
C_K_3_1__K_8_16_mirror,K_3_1,K_8_16_mirror
C_K_3_1__K_8_17,K_3_1,K_8_17
C_K_3_1__K_8_17_mirror,K_3_1,K_8_17_mirror
C_K_3_1__K_8_18,K_3_1,K_8_18
C_K_3_1__K_8_18_mirror,K_3_1,K_8_18_mirror
C_K_3_1__K_8_19,K_3_1,K_8_19
C_K_3_1__K_8_19_mirror,K_3_1,K_8_19_mirror
C_K_3_1__K_8_20,K_3_1,K_8_20
C_K_3_1__K_8_20_mirror,K_3_1,K_8_20_mirror
C_K_3_1__K_8_21,K_3_1,K_8_21
C_K_3_1__K_8_21_mirror,K_3_1,K_8_21_mirror
