knot_id,dt_code,phase_vector
K_3_1,"[4, 6, 2]","[0, -2, -3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
K_4_1,"[4, 6, 8, 2]","[0, 2, -3, 1, -2, 0, 0, 0, 0, 0, 0, 0, 0]"
K_5_1,"[6, 8, 10, 2, 4]","[0, 2, -3, -1, 2, -3, 0, 0, 0, 0, 0, 0, 0]"
K_5_2,"[4, 8, 10, 2, 6]","[0, 2, -3, -1, 2, -3, 0, 0, 0, 0, 0, 0, 0]"
K_7_1,"[8, 10, 12, 14, 2, 4, 6]","[0, -2, 3, -1, -2, 3, -1, 2, 0, 0, 0, 0, 0]"
K_3_1_mirror,"[2, 6, 4]","[0, -2, -3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
K_4_1_mirror,"[2, 8, 6, 4]","[0, -2, 3, -1, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
K_5_1_mirror,"[4, 2, 10, 8, 6]","[0, 2, -3, -1, 2, -3, 0, 0, 0, 0, 0, 0, 0]"
K_5_2_mirror,"[6, 2, 10, 8, 4]","[0, 2, -3, -1, 2, -3, 0, 0, 0, 0, 0, 0, 0]"
K_7_1_mirror,"[6, 4, 2, 14, 12, 10, 8]","[0, -2, 3, -1, -2, 3, -1, 2, 0, 0, 0, 0, 0]"
