composite_id,left_id,right_id
C_K_T2_7__K_T2_7_mirror,K_T2_7,K_T2_7_mirror
C_K_T2_9__K_T2_9_mirror,K_T2_9,K_T2_9_mirror
C_K_T2_11__K_T2_11_mirror,K_T2_11,K_T2_11_mirror
C_K_T2_13__K_T2_13_mirror,K_T2_13,K_T2_13_mirror
C_K_T2_15__K_T2_15_mirror,K_T2_15,K_T2_15_mirror
C_K_T2_17__K_T2_17_mirror,K_T2_17,K_T2_17_mirror
C_K_T2_19__K_T2_19_mirror,K_T2_19,K_T2_19_mirror
C_K_T2_21__K_T2_21_mirror,K_T2_21,K_T2_21_mirror
C_K_T2_23__K_T2_23_mirror,K_T2_23,K_T2_23_mirror
C_K_T2_25__K_T2_25_mirror,K_T2_25,K_T2_25_mirror
C_K_T2_27__K_T2_27_mirror,K_T2_27,K_T2_27_mirror
C_K_T2_29__K_T2_29_mirror,K_T2_29,K_T2_29_mirror
C_K_T2_7__K_T2_9,K_T2_7,K_T2_9
C_K_T2_7_mirror__K_T2_9_mirror,K_T2_7_mirror,K_T2_9_mirror
C_K_T2_9__K_T2_11,K_T2_9,K_T2_11
C_K_T2_9_mirror__K_T2_11_mirror,K_T2_9_mirror,K_T2_11_mirror
C_K_T2_11__K_T2_13,K_T2_11,K_T2_13
C_K_T2_11_mirror__K_T2_13_mirror,K_T2_11_mirror,K_T2_13_mirror
C_K_T2_13__K_T2_15,K_T2_13,K_T2_15
C_K_T2_13_mirror__K_T2_15_mirror,K_T2_13_mirror,K_T2_15_mirror
C_K_T2_15__K_T2_17,K_T2_15,K_T2_17
C_K_T2_15_mirror__K_T2_17_mirror,K_T2_15_mirror,K_T2_17_mirror
C_K_T2_17__K_T2_19,K_T2_17,K_T2_19
C_K_T2_17_mirror__K_T2_19_mirror,K_T2_17_mirror,K_T2_19_mirror
C_K_T2_19__K_T2_21,K_T2_19,K_T2_21
C_K_T2_19_mirror__K_T2_21_mirror,K_T2_19_mirror,K_T2_21_mirror
C_K_T2_21__K_T2_23,K_T2_21,K_T2_23
C_K_T2_21_mirror__K_T2_23_mirror,K_T2_21_mirror,K_T2_23_mirror
C_K_T2_23__K_T2_25,K_T2_23,K_T2_25
C_K_T2_23_mirror__K_T2_25_mirror,K_T2_23_mirror,K_T2_25_mirror
C_K_T2_25__K_T2_27,K_T2_25,K_T2_27
C_K_T2_25_mirror__K_T2_27_mirror,K_T2_25_mirror,K_T2_27_mirror
C_K_T2_27__K_T2_29,K_T2_27,K_T2_29
C_K_T2_27_mirror__K_T2_29_mirror,K_T2_27_mirror,K_T2_29_mirror
