composite_id,left_id,right_id,u1,u2,u12,delta,cosine,oppose_overlap
C_K_3_1__K_3_1_mirror,K_3_1,K_3_1_mirror,42,97,97,-42,-0.9974816627873275,42
C_K_3_1__K_4_1,K_3_1,K_4_1,42,259,301,0,0.9336904498087918,0
C_K_3_1__K_4_1_mirror,K_3_1,K_4_1_mirror,42,115,157,0,0.8661214705699178,0
C_K_3_1__K_5_1,K_3_1,K_5_1,42,70,110,-2,0.7717319090581733,2
C_K_3_1__K_5_1_mirror,K_3_1,K_5_1_mirror,42,69,111,0,0.8754069426965669,0
C_K_3_1__K_5_2,K_3_1,K_5_2,42,109,123,-28,-0.5370326503131739,28
C_K_3_1__K_5_2_mirror,K_3_1,K_5_2_mirror,42,82,121,-3,0.7261437516111153,3
C_K_3_1__K_6_1,K_3_1,K_6_1,42,222,263,-1,0.687636784630577,1
C_K_3_1__K_6_1_mirror,K_3_1,K_6_1_mirror,42,94,116,-20,-0.025410045673327643,20
C_K_3_1__K_6_2,K_3_1,K_6_2,42,258,299,-1,0.7294952155580627,1
C_K_3_1__K_6_2_mirror,K_3_1,K_6_2_mirror,42,213,254,-1,0.6707614070016987,1
C_K_3_1__K_6_3,K_3_1,K_6_3,42,227,268,-1,0.7412404851982598,1
C_K_3_1__K_6_3_mirror,K_3_1,K_6_3_mirror,42,113,154,-1,0.6950295449730889,1
C_K_3_1__K_7_1,K_3_1,K_7_1,42,267,304,-5,0.6254785555800896,5
C_K_3_1__K_7_1_mirror,K_3_1,K_7_1_mirror,42,267,304,-5,0.6254785555800896,5
C_K_3_1__K_7_2,K_3_1,K_7_2,42,123,140,-25,-0.4809767414455798,25
C_K_3_1__K_7_2_mirror,K_3_1,K_7_2_mirror,42,123,140,-25,-0.4809767414455798,25
C_K_3_1__K_7_3,K_3_1,K_7_3,42,248,287,-3,0.6480813112742103,3
C_K_3_1__K_7_3_mirror,K_3_1,K_7_3_mirror,42,248,287,-3,0.6480813112742103,3
C_K_3_1__K_7_4,K_3_1,K_7_4,42,192,233,-1,0.6874860277575096,1
C_K_3_1__K_7_4_mirror,K_3_1,K_7_4_mirror,42,192,233,-1,0.6874860277575096,1
C_K_3_1__K_7_5,K_3_1,K_7_5,42,204,245,-1,0.7533670752497996,1
C_K_3_1__K_7_5_mirror,K_3_1,K_7_5_mirror,42,204,245,-1,0.7533670752497996,1
C_K_3_1__K_7_6,K_3_1,K_7_6,42,244,257,-29,-0.5371001136141056,29
C_K_3_1__K_7_6_mirror,K_3_1,K_7_6_mirror,42,244,257,-29,-0.5371001136141056,29
C_K_3_1__K_7_7,K_3_1,K_7_7,42,263,304,-1,0.7076391931695241,1
C_K_3_1__K_7_7_mirror,K_3_1,K_7_7_mirror,42,263,304,-1,0.7076391931695241,1
C_K_3_1__K_8_1,K_3_1,K_8_1,42,229,262,-9,0.5994056506683582,9
C_K_3_1__K_8_1_mirror,K_3_1,K_8_1_mirror,42,279,297,-24,-0.4416348332718484,24
C_K_3_1__K_8_2,K_3_1,K_8_2,42,83,101,-24,-0.5107886830903337,24
C_K_3_1__K_8_2_mirror,K_3_1,K_8_2_mirror,42,206,224,-24,-0.4948994624702094,24
C_K_3_1__K_8_3,K_3_1,K_8_3,42,487,505,-24,-0.4542384755241358,24
C_K_3_1__K_8_3_mirror,K_3_1,K_8_3_mirror,42,232,269,-5,0.6471359467506769,5
C_K_3_1__K_8_4,K_3_1,K_8_4,42,138,156,-24,-0.06908421723145616,24
C_K_3_1__K_8_4_mirror,K_3_1,K_8_4_mirror,42,468,486,-24,-0.4737405261564721,24
C_K_3_1__K_8_5,K_3_1,K_8_5,42,143,158,-27,-0.5075731236177718,27
C_K_3_1__K_8_5_mirror,K_3_1,K_8_5_mirror,42,186,227,-1,0.8233510940531288,1
C_K_3_1__K_8_6,K_3_1,K_8_6,42,147,162,-27,-0.5481910418313365,27
C_K_3_1__K_8_6_mirror,K_3_1,K_8_6_mirror,42,135,151,-26,-0.480447727515133,26
C_K_3_1__K_8_7,K_3_1,K_8_7,42,191,210,-23,-0.4993050071057786,23
C_K_3_1__K_8_7_mirror,K_3_1,K_8_7_mirror,42,182,200,-24,-0.457172531438446,24
C_K_3_1__K_8_8,K_3_1,K_8_8,42,149,168,-23,-0.4165567733250718,23
C_K_3_1__K_8_8_mirror,K_3_1,K_8_8_mirror,42,135,150,-27,-0.5377160649244209,27
C_K_3_1__K_8_9,K_3_1,K_8_9,42,134,151,-25,-0.4495675617281314,25
C_K_3_1__K_8_9_mirror,K_3_1,K_8_9_mirror,42,458,476,-24,-0.45618406493370967,24
C_K_3_1__K_8_10,K_3_1,K_8_10,42,199,241,0,0.7657344529645818,0
C_K_3_1__K_8_10_mirror,K_3_1,K_8_10_mirror,42,159,172,-29,-0.5126998143855493,29
C_K_3_1__K_8_11,K_3_1,K_8_11,42,177,188,-31,-0.5346285036790647,31
C_K_3_1__K_8_11_mirror,K_3_1,K_8_11_mirror,42,182,198,-26,-0.5025519240037644,26
C_K_3_1__K_8_12,K_3_1,K_8_12,42,271,289,-24,-0.47905557221345946,24
C_K_3_1__K_8_12_mirror,K_3_1,K_8_12_mirror,42,249,286,-5,0.6441453406601001,5
C_K_3_1__K_8_13,K_3_1,K_8_13,42,347,365,-24,-0.4121185224083609,24
C_K_3_1__K_8_13_mirror,K_3_1,K_8_13_mirror,42,251,291,-2,0.679059807741532,2
C_K_3_1__K_8_14,K_3_1,K_8_14,42,338,356,-24,-0.4424499196620834,24
C_K_3_1__K_8_14_mirror,K_3_1,K_8_14_mirror,42,423,450,-15,0.6001915098799704,15
C_K_3_1__K_8_15,K_3_1,K_8_15,42,202,216,-28,-0.5081258909387121,28
C_K_3_1__K_8_15_mirror,K_3_1,K_8_15_mirror,42,133,150,-25,-0.49620938386961905,25
C_K_3_1__K_8_16,K_3_1,K_8_16,42,155,171,-26,-0.5001755111107292,26
C_K_3_1__K_8_16_mirror,K_3_1,K_8_16_mirror,42,119,131,-30,-0.6001112687805973,30
C_K_3_1__K_8_17,K_3_1,K_8_17,42,218,252,-8,0.5301429348666825,8
C_K_3_1__K_8_17_mirror,K_3_1,K_8_17_mirror,42,174,180,-36,-0.6155295176121918,36
C_K_3_1__K_8_18,K_3_1,K_8_18,42,286,304,-24,-0.508889759379941,24
C_K_3_1__K_8_18_mirror,K_3_1,K_8_18_mirror,42,415,447,-10,0.6265381780199376,10
C_K_3_1__K_8_19,K_3_1,K_8_19,42,245,284,-3,0.6736538653260357,3
C_K_3_1__K_8_19_mirror,K_3_1,K_8_19_mirror,42,255,273,-24,-0.5118305624255345,24
C_K_3_1__K_8_20,K_3_1,K_8_20,42,218,252,-8,0.5301429348666825,8
C_K_3_1__K_8_20_mirror,K_3_1,K_8_20_mirror,42,174,180,-36,-0.6155295176121918,36
C_K_3_1__K_8_21,K_3_1,K_8_21,42,218,252,-8,0.5301429348666825,8
C_K_3_1__K_8_21_mirror,K_3_1,K_8_21_mirror,42,174,180,-36,-0.6155295176121918,36
C_K_3_1_mirror__K_3_1,K_3_1_mirror,K_3_1,42,129,129,-42,-0.9972262840224093,42
C_K_3_1_mirror__K_4_1,K_3_1_mirror,K_4_1,42,259,301,0,0.9336904498087918,0
