composite_id,left_id,right_id,u1,u2,u12,delta,cosine,oppose_overlap
C_K_8_14_mirror__K_7_6_mirror,K_8_14_mirror,K_7_6_mirror,498,405,532,-371,-0.9473307327253104,371
C_K_8_14_mirror__K_7_6,K_8_14_mirror,K_7_6,498,405,532,-371,-0.9473307327253104,371
C_K_7_6__K_8_14_mirror,K_7_6,K_8_14_mirror,405,498,532,-371,-0.9473307327253104,371
C_K_7_6_mirror__K_8_14_mirror,K_7_6_mirror,K_8_14_mirror,405,498,532,-371,-0.9473307327253104,371
C_K_8_18_mirror__K_7_6_mirror,K_8_18_mirror,K_7_6_mirror,450,405,510,-345,-0.935956131937168,345
C_K_8_18_mirror__K_7_6,K_8_18_mirror,K_7_6,450,405,510,-345,-0.935956131937168,345
C_K_7_6__K_8_18_mirror,K_7_6,K_8_18_mirror,405,450,510,-345,-0.935956131937168,345
C_K_7_6_mirror__K_8_18_mirror,K_7_6_mirror,K_8_18_mirror,405,450,510,-345,-0.935956131937168,345
C_K_8_14__K_8_14_mirror,K_8_14,K_8_14_mirror,366,498,522,-342,-0.9375681607869115,342
C_K_8_14_mirror__K_8_14,K_8_14_mirror,K_8_14,498,366,522,-342,-0.9375681607869115,342
C_K_7_6_mirror__K_8_13_mirror,K_7_6_mirror,K_8_13_mirror,405,383,462,-326,-0.9455714467541887,326
C_K_8_13_mirror__K_7_6,K_8_13_mirror,K_7_6,383,405,462,-326,-0.9455714467541887,326
C_K_7_6__K_8_13_mirror,K_7_6,K_8_13_mirror,405,383,462,-326,-0.9455714467541887,326
C_K_8_13_mirror__K_7_6_mirror,K_8_13_mirror,K_7_6_mirror,383,405,462,-326,-0.9455714467541887,326
C_K_8_14__K_8_18_mirror,K_8_14,K_8_18_mirror,366,450,492,-324,-0.9242427956335755,324
C_K_8_18_mirror__K_8_14,K_8_18_mirror,K_8_14,450,366,492,-324,-0.9242427956335755,324
C_K_8_14__K_8_13_mirror,K_8_14,K_8_13_mirror,366,383,444,-305,-0.9349704146395676,305
C_K_8_13_mirror__K_8_14,K_8_13_mirror,K_8_14,383,366,444,-305,-0.9349704146395676,305
C_K_8_18__K_8_14_mirror,K_8_18,K_8_14_mirror,315,498,521,-292,-0.9252052053795105,292
C_K_8_14_mirror__K_8_18,K_8_14_mirror,K_8_18,498,315,521,-292,-0.9252052053795105,292
C_K_8_18_mirror__K_8_18,K_8_18_mirror,K_8_18,450,315,474,-291,-0.9201672210959815,291
C_K_8_18__K_8_18_mirror,K_8_18,K_8_18_mirror,315,450,474,-291,-0.9201672210959815,291
C_K_8_12_mirror__K_7_6,K_8_12_mirror,K_7_6,325,405,440,-290,-0.9331103478137465,290
C_K_7_6_mirror__K_8_12_mirror,K_7_6_mirror,K_8_12_mirror,405,325,440,-290,-0.9331103478137465,290
C_K_7_6__K_8_12_mirror,K_7_6,K_8_12_mirror,405,325,440,-290,-0.9331103478137465,290
C_K_8_12_mirror__K_7_6_mirror,K_8_12_mirror,K_7_6_mirror,325,405,440,-290,-0.9331103478137465,290
C_K_7_6__K_8_1,K_7_6,K_8_1,405,307,428,-284,-0.942585412861498,284
C_K_7_6_mirror__K_8_1,K_7_6_mirror,K_8_1,405,307,428,-284,-0.942585412861498,284
C_K_8_1__K_7_6,K_8_1,K_7_6,307,405,428,-284,-0.942585412861498,284
C_K_8_1__K_7_6_mirror,K_8_1,K_7_6_mirror,307,405,428,-284,-0.942585412861498,284
C_K_7_6__K_8_3_mirror,K_7_6,K_8_3_mirror,405,308,433,-280,-0.9369143161092373,280
C_K_7_6_mirror__K_8_3_mirror,K_7_6_mirror,K_8_3_mirror,405,308,433,-280,-0.9369143161092373,280
C_K_8_3_mirror__K_7_6,K_8_3_mirror,K_7_6,308,405,433,-280,-0.9369143161092373,280
C_K_8_3_mirror__K_7_6_mirror,K_8_3_mirror,K_7_6_mirror,308,405,433,-280,-0.9369143161092373,280
C_K_8_13_mirror__K_8_18,K_8_13_mirror,K_8_18,383,315,427,-271,-0.9215547775244531,271
C_K_8_12_mirror__K_8_14,K_8_12_mirror,K_8_14,325,366,420,-271,-0.9196581346541661,271
C_K_8_14__K_8_12_mirror,K_8_14,K_8_12_mirror,366,325,420,-271,-0.9196581346541661,271
C_K_8_18__K_8_13_mirror,K_8_18,K_8_13_mirror,315,383,427,-271,-0.9215547775244531,271
C_K_7_6_mirror__K_8_19,K_7_6_mirror,K_8_19,405,303,439,-269,-0.9212001312657028,269
C_K_8_19__K_7_6_mirror,K_8_19,K_7_6_mirror,303,405,439,-269,-0.9212001312657028,269
C_K_7_6__K_8_19,K_7_6,K_8_19,405,303,439,-269,-0.9212001312657028,269
C_K_8_19__K_7_6,K_8_19,K_7_6,303,405,439,-269,-0.9212001312657028,269
C_K_8_14__K_8_1,K_8_14,K_8_1,366,307,408,-265,-0.9292946347778402,265
C_K_8_1__K_8_14,K_8_1,K_8_14,307,366,408,-265,-0.9292946347778402,265
C_K_8_14__K_8_3_mirror,K_8_14,K_8_3_mirror,366,308,412,-262,-0.9243861232818583,262
C_K_8_3_mirror__K_8_14,K_8_3_mirror,K_8_14,308,366,412,-262,-0.9243861232818583,262
C_K_7_6_mirror__K_8_17,K_7_6_mirror,K_8_17,405,334,479,-260,-0.8399936962781966,260
C_K_8_17__K_7_6,K_8_17,K_7_6,334,405,479,-260,-0.8399936962781966,260
C_K_7_6_mirror__K_8_20,K_7_6_mirror,K_8_20,405,334,479,-260,-0.8399936962781966,260
C_K_7_6_mirror__K_8_21,K_7_6_mirror,K_8_21,405,334,479,-260,-0.8399936962781966,260
