step,time,E,epsilon,dE_dt,P_in,residual
20,0.03000000000000001,0.12367306772455279,3.8079372422569244e-05,-0.8846215169648064,0.0,-0.8845834375923838
40,0.06000000000000003,0.12235073224724101,3.806881768954348e-05,-0.8815569848745208,0.0,-0.8815189160568313
60,0.09000000000000005,0.1210238592848553,3.8307628631280824e-05,-0.8845819749238037,0.0,-0.8845436672951724
80,0.12000000000000008,0.11968363506172976,3.8787996730330683e-05,-0.8934828154170311,0.0,-0.8934440274203008
100,0.1500000000000001,0.11832144034891094,3.9503961248249195e-05,-0.9081298085458767,0.0,-0.9080903045846284
120,0.18000000000000013,0.11692881665077481,4.044883925482674e-05,-0.9284157987574185,0.0,-0.9283753499181637
140,0.21000000000000016,0.11549752015981439,4.1612704671080074e-05,-0.9541976606402824,0.0,-0.9541560479356114
160,0.24000000000000019,0.11401965898280114,4.297993261158317e-05,-0.9852407846754988,0.0,-0.9851978047428872
180,0.2700000000000002,0.1124879069464323,4.452710127711261e-05,-1.0211680242458905,0.0,-1.0211234971446135
200,0.3000000000000002,0.11089577826835582,4.6221930154092424e-05,-1.0614191187176547,0.0,-1.0613728967875007
220,0.33000000000000024,0.10923792966878043,4.802398152224652e-05,-1.1052323997169284,0.0,-1.1051843757354063
240,0.36000000000000026,0.10751043664157418,4.988727559680255e-05,-1.1516620181374986,0.0,-1.1516121308619018
260,0.3900000000000003,0.10571098337557663,5.1764123271916886e-05,-1.1996355106650332,0.0,-1.1995837465417611
280,0.4200000000000003,0.10383892251336689,5.3609028811541756e-05,-1.2480405748064953,0.0,-1.2479869657776839
300,0.45000000000000034,0.1018951965817426,5.538171263877019e-05,-1.2958172877495233,0.0,-1.2957619060368846
