k,Tk
0.5,0.0
1.5,-3.0339028550192647e-08
2.5,9.670099711029261e-08
3.5,-6.766398694181894e-08
4.5,-2.4431154206928367e-08
5.5,2.531506926379611e-08
6.5,4.146917317783991e-10
7.5,1.1360988919361932e-12
8.5,2.7223741544407856e-12
9.5,-4.885147019947245e-13
10.5,4.2689769628751275e-14
11.5,-1.058115129000406e-15
12.5,3.366209697476691e-18
13.5,-2.797554838055361e-19
14.5,-1.141179118325208e-20
15.5,-4.260992764181403e-22
16.5,-7.43567574426274e-24
17.5,-2.1644912708075987e-25
18.5,-3.896325533077291e-27
19.5,-1.0555841050024472e-28
20.5,-1.6946504759675336e-30
21.5,-2.167472876175181e-32
22.5,-4.728845592094906e-34
23.5,-4.5079016126598044e-36
24.5,-7.533605153868492e-38
25.5,-3.028299405308743e-39
26.5,-1.433340882829251e-40
27.5,-1.187606120370026e-40
28.5,2.0345686753865135e-42
29.5,3.480752101833352e-40
30.5,-1.2172873681903956e-40
31.5,-1.789304696112674e-40
32.5,8.527674600172941e-41
33.5,-2.9617790069748693e-40
34.5,1.6956078387015582e-40
35.5,-2.191219069429849e-40
36.5,-8.102010612610023e-42
37.5,6.907447417501821e-42
38.5,2.6169840987519773e-41
39.5,-7.964942926107271e-41
40.5,8.182207272569652e-42
41.5,-2.10324192552713e-40
42.5,9.504412357065284e-41
43.5,5.879505949700753e-41
44.5,-6.114788116568564e-42
45.5,3.889893305246417e-41
46.5,-6.498144274649892e-41
47.5,-4.175076021662049e-41
48.5,-2.4159750637233806e-41
49.5,-7.250283620788495e-41
50.5,7.579677252877859e-42
51.5,-2.591696744413966e-41
52.5,7.175815566817654e-42
53.5,-5.332747184816423e-41
54.5,6.701027797468099e-42
55.5,2.023973363392107e-41
56.5,-3.8640786417216663e-42
57.5,-1.2428530736070298e-41
58.5,-2.1331558789881453e-41
59.5,-4.5359235642128355e-42
60.5,3.302836385260519e-41
61.5,1.6063389196350357e-40
62.5,1.0831088940554892e-40
63.5,3.093296489707899e-40
64.5,-9.159720690389418e-42
65.5,-5.276881372762793e-41
66.5,3.536228872289388e-41
67.5,-1.2021868102907387e-41
68.5,-1.9124224118193488e-41
69.5,-4.4922340212797885e-42
70.5,-7.28554567444421e-42
71.5,-1.1342588486422659e-41
72.5,-9.938622536544956e-43
73.5,3.5503812926047256e-41
74.5,3.1487677958830623e-41
75.5,-1.5539999097210848e-41
76.5,8.639064290149994e-43
77.5,-3.967798158586043e-42
78.5,7.210398604073266e-42
79.5,-1.2141303362250845e-42
80.5,5.319338856362817e-42
81.5,1.1965374234770133e-42
82.5,5.908327958308301e-42
83.5,3.367812343133524e-42
84.5,2.3750495546691257e-42
85.5,5.580679138433081e-42
86.5,-3.420731291646296e-42
87.5,-8.748642943049383e-42
88.5,-2.5391528814415544e-42
89.5,-5.362388971839332e-42
90.5,0.0
91.5,0.0
