k,Tk
0.5,0.0
1.5,-3.034783944413278e-08
2.5,9.670028672075997e-08
3.5,-6.769578925633429e-08
4.5,-2.439692056336495e-08
5.5,2.5323476375244556e-08
6.5,4.1311113049337663e-10
7.5,1.3604952518828204e-12
8.5,2.7599179927697297e-12
9.5,-4.870523268378131e-13
10.5,4.272875713522014e-14
11.5,-1.0567153582977247e-15
12.5,4.654725817033423e-18
13.5,-2.6888635497225218e-19
14.5,-1.067051811453873e-20
15.5,-3.9239758495051137e-22
16.5,-6.4757564342343406e-24
17.5,-1.8669020287306387e-25
18.5,-3.705686480490721e-27
19.5,-7.218327491500146e-29
20.5,-1.4272707835786508e-30
21.5,-1.858190397075228e-32
22.5,-4.552603256068467e-34
23.5,-3.970335740472521e-36
24.5,-4.1598376855328e-38
25.5,-9.01941331600916e-40
26.5,1.1153703246220078e-40
27.5,8.932438691858e-41
28.5,-6.090941149561449e-41
29.5,1.2593185635725001e-40
30.5,-1.225299151452052e-40
31.5,-1.2627454304615121e-40
32.5,-2.182654102114182e-40
33.5,6.528809422977426e-40
34.5,-1.7008178059409433e-40
35.5,4.354784047844691e-42
36.5,-1.3782489973339063e-40
37.5,1.2534839383062575e-40
38.5,-8.210642232741422e-41
39.5,-7.125156265125856e-41
40.5,-6.67647544038008e-41
41.5,1.1836869780568296e-40
42.5,-1.1311411444782184e-41
43.5,-8.222227668846664e-41
44.5,-2.209165950722351e-41
45.5,-8.271710064239051e-41
46.5,-1.4615388507626252e-41
47.5,4.9254355507902e-42
48.5,-3.5303635629104307e-41
49.5,-6.955045247097914e-41
50.5,-4.980045277311423e-41
51.5,-3.811177370414567e-41
52.5,7.920363250527857e-42
53.5,-5.603482960479766e-41
54.5,1.7683080815216217e-42
55.5,3.551304570685779e-41
56.5,3.626696793198858e-41
57.5,3.5644426644558363e-41
58.5,1.0280127279409947e-40
59.5,-2.0415507670319722e-41
60.5,-9.490494308653235e-42
61.5,-8.954251122983899e-41
62.5,-3.8408325025546487e-41
63.5,1.9264258125837005e-40
64.5,-5.363933009079272e-41
65.5,-1.3062237205029038e-41
66.5,2.5674791771342768e-42
67.5,-3.07362464071402e-42
68.5,-3.1922212809285203e-42
69.5,-1.3997905264074954e-41
70.5,-3.9585391962636644e-42
71.5,1.261334600340785e-41
72.5,-2.6278025416124372e-42
73.5,-1.3673504395775155e-41
74.5,7.198168203388944e-42
75.5,-5.030957393648125e-44
76.5,-4.8823488131323514e-42
77.5,5.854208494359277e-42
78.5,2.138604309583516e-41
79.5,5.933441514531491e-42
80.5,1.182127972127432e-41
81.5,-4.522482662755216e-42
82.5,-1.0721672060277908e-41
83.5,-9.341602062917826e-42
84.5,-1.689046231116545e-42
85.5,6.981209384582352e-42
86.5,-4.9339408378819675e-42
87.5,7.353024261108952e-42
88.5,-7.317108084269902e-42
89.5,-1.245945719930108e-42
90.5,0.0
91.5,0.0
