k,Pi
0.5,-5.293955920339377e-23
1.5,-5.293955920339377e-23
2.5,-1.2524253497770836e-07
3.5,3.564586091235544e-08
4.5,-7.924356494022477e-09
5.5,-7.281835315260312e-10
6.5,-2.5580532755536555e-11
7.5,-7.592174831460533e-12
8.5,4.128288386904784e-13
9.5,4.218439384611641e-15
10.5,6.5202127852598874e-18
11.5,7.134232617219337e-19
12.5,2.1303539176209546e-20
13.5,-1.9150604448816122e-23
14.5,-1.2269184263571217e-24
15.5,-7.35157209968988e-27
16.5,-1.7057416937638298e-28
17.5,-2.9413274809225824e-30
18.5,-1.0367946339277725e-32
19.5,-2.2199466066340134e-34
20.5,-6.146906051770043e-37
21.5,-7.098397980498097e-38
22.5,-4.251603768471687e-39
23.5,-2.1594098545106585e-39
24.5,1.2416978927803052e-39
25.5,1.4364065816790687e-39
26.5,-4.9175861011333214e-39
27.5,-7.820089263116373e-39
28.5,-9.426592966793866e-40
29.5,-2.9444716329429284e-39
30.5,4.3746230721936376e-40
31.5,5.74065845233571e-41
32.5,1.0206245570855629e-39
33.5,2.6047352617564073e-39
34.5,-3.46269213346028e-40
35.5,-5.1196171891495435e-40
36.5,-3.4501866878585826e-40
37.5,-3.2876210060956927e-40
38.5,-1.2277341532002876e-40
39.5,-5.2416388162131786e-40
40.5,-9.824206988857463e-42
41.5,-2.772028147513755e-40
42.5,-2.223988940845851e-40
43.5,-1.9172264278299172e-40
44.5,-1.5236775074628969e-40
45.5,-1.1695405243228977e-40
46.5,-5.974278687159678e-41
47.5,-6.94769831133787e-41
48.5,-1.0298773853477012e-40
49.5,5.525176385681983e-41
50.5,1.2108823583423662e-40
51.5,1.6987515563856433e-40
52.5,1.7740222762424508e-40
53.5,1.059069626608688e-40
54.5,2.528644260696001e-41
55.5,5.676816153969392e-41
56.5,4.5868088905697477e-41
57.5,1.0693550583399087e-40
58.5,8.502941411347806e-42
59.5,2.2626349285276694e-42
60.5,9.759774899487375e-41
61.5,9.54249874530867e-41
62.5,3.2786296676632e-40
63.5,2.9020734732110762e-40
64.5,1.0254677226923917e-40
65.5,5.861530238503671e-41
66.5,-3.4810401014510405e-41
67.5,3.0529956985483664e-41
68.5,-4.790926242805819e-41
69.5,-2.1054514188580257e-41
70.5,-3.862057623227833e-41
71.5,-5.909857002439185e-41
72.5,-3.7265352689145797e-41
73.5,-6.654278449934494e-41
74.5,-6.22302860165545e-41
75.5,-3.668259228490377e-41
76.5,-3.741482994047885e-41
77.5,-5.382321800278473e-41
78.5,-3.910556222115916e-41
79.5,-4.207533945140703e-41
80.5,-2.996425913317335e-41
81.5,-5.545378295961734e-41
82.5,-4.606523687607064e-41
83.5,-2.643052439671997e-41
84.5,-3.150526784715306e-41
85.5,-2.4290821818107326e-41
86.5,-5.6668351229106227e-42
87.5,-1.574017342516511e-41
88.5,-1.7388370911656815e-41
89.5,-2.099263057892135e-41
90.5,-4.3052426022383156e-42
91.5,-2.655922508264034e-41
92.5,1.9594506613601883e-41
93.5,6.7807398214215654e-43
94.5,-2.4155820754441086e-41
95.5,-7.935444321109828e-43
96.5,-5.640381822522623e-42
97.5,-1.5824614695581424e-41
98.5,1.1783685031932016e-41
99.5,2.4946705620698033e-41
100.5,5.689265456185385e-42
101.5,2.4731849239458492e-42
102.5,4.612514284625084e-42
103.5,8.005681612471426e-42
104.5,4.3449816618134986e-42
105.5,4.842993008504063e-42
106.5,7.124513856712394e-42
107.5,2.003355094793594e-41
108.5,1.2595251332626688e-41
109.5,3.504744848163421e-42
110.5,9.104426646721616e-42
111.5,2.0394353871809348e-41
112.5,-1.4871290705780625e-41
113.5,5.793366398636519e-42
114.5,1.545955719704046e-42
115.5,-1.3168524810823e-41
116.5,9.647165988033954e-42
117.5,1.0958304799637712e-41
118.5,1.4040038264513255e-41
119.5,1.519628449301002e-41
120.5,1.249719723730482e-41
121.5,2.7875470479355463e-41
122.5,1.9712416997113093e-41
123.5,2.1323263436897232e-41
124.5,1.3246307312071975e-41
125.5,1.521589781623746e-41
126.5,1.2389870910775708e-41
127.5,3.2544037017037234e-41
128.5,-6.753136078455035e-42
129.5,-2.378986242696142e-42
130.5,-4.238557586382664e-42
131.5,-9.130317113682253e-43
132.5,-3.445125380576533e-42
133.5,-3.106307801579003e-42
134.5,9.43594938189195e-43
135.5,2.3147782199832847e-42
136.5,4.206704263736415e-42
137.5,-2.5557737608823113e-44
138.5,1.1449255258588034e-42
139.5,-1.0177581594889957e-42
140.5,1.0072152698917078e-42
141.5,-4.611378951122123e-43
142.5,4.382323722068357e-43
143.5,-9.71641422977526e-43
144.5,-3.0948625837257494e-42
145.5,-1.7752165361642197e-42
146.5,-4.0098977254057766e-42
