k,Pi
0.5,0.0
1.5,0.0
2.5,-1.2058718125639694e-07
3.5,3.4567005613295535e-08
4.5,-7.853891371507354e-09
5.5,-7.313108403580086e-10
6.5,-2.8115115297168286e-11
7.5,-7.621333975773689e-12
8.5,4.190259582447841e-13
9.5,4.232283661496896e-15
10.5,3.373404205263785e-18
11.5,7.032926973851777e-19
12.5,2.150135357800572e-20
13.5,-1.6567688690433113e-23
14.5,-1.1689707674241454e-24
15.5,-6.638403396736179e-27
16.5,-1.480328748730452e-28
17.5,-2.563801872243799e-30
18.5,-9.824641286845109e-33
19.5,-2.387764407948926e-34
20.5,-1.41156841843813e-36
21.5,-1.066953844557719e-37
22.5,-5.136710074713455e-39
23.5,2.5192207914241093e-39
24.5,2.3644602157318906e-39
25.5,2.604173083255789e-39
26.5,-2.1369351294383726e-39
27.5,-5.7200582518303794e-39
28.5,1.7753417454233677e-42
29.5,-1.521532613578795e-40
30.5,1.6131026373483155e-39
31.5,6.026547119919075e-40
32.5,1.262050308359029e-39
33.5,2.5040277230080773e-39
34.5,7.358775649630623e-40
35.5,7.210756626421272e-40
36.5,8.345696506018064e-41
37.5,3.394595255270222e-40
38.5,6.503992050319321e-40
39.5,2.1820282828207316e-40
40.5,3.808370318147522e-40
41.5,4.398576596629351e-40
42.5,5.953500842421093e-40
43.5,7.1039543916891644e-40
44.5,5.606314463661207e-40
45.5,3.7991667480638125e-40
46.5,1.0075262593425802e-39
47.5,5.448972508945705e-40
48.5,5.440759600327596e-40
49.5,6.057218603400739e-40
50.5,6.272476898784281e-40
51.5,6.790938042553723e-40
52.5,5.861247627897336e-40
53.5,5.6079092683317965e-40
54.5,4.938226844547829e-40
55.5,5.704803465757656e-40
56.5,5.842711245541284e-40
57.5,5.798197292184731e-40
58.5,5.500321327201638e-40
59.5,5.6100340430541964e-40
60.5,5.3519705128795894e-40
61.5,6.874979558409367e-40
62.5,5.778219650324345e-40
63.5,3.182709680687759e-40
64.5,2.8310420753959843e-40
65.5,-5.493555098334084e-41
66.5,3.6492125071658386e-41
67.5,-1.4868304118099822e-40
68.5,-1.0065766630614023e-40
69.5,-1.1288056352074156e-40
70.5,-1.0244667739336243e-40
71.5,-5.289037151684495e-41
72.5,-1.190260227693728e-40
73.5,-1.026862170508611e-40
74.5,-1.2226932044631818e-40
75.5,-5.511419545342944e-41
76.5,-6.725069025693551e-41
77.5,-7.897045498579514e-41
78.5,-6.845901070928403e-41
79.5,-2.753419325825157e-41
80.5,-4.984523199246177e-41
81.5,-6.258097905193533e-43
82.5,1.0774527116974514e-40
83.5,4.986112945470204e-41
84.5,4.988142437513416e-41
85.5,3.2155835997506075e-41
86.5,5.491046668606657e-41
87.5,4.606429981984287e-41
88.5,2.011193806101941e-41
89.5,3.484427057971057e-41
90.5,1.7802786079947764e-41
91.5,3.263212055306755e-41
92.5,2.0665081338815468e-41
93.5,1.5962544307690823e-41
94.5,2.7210557728866963e-41
95.5,2.695377564187181e-41
96.5,-8.610555605401749e-42
97.5,2.835388143173381e-42
98.5,1.1347791400895016e-41
99.5,7.006241811634189e-41
100.5,3.744936157500813e-41
101.5,3.86823283045552e-41
102.5,3.668724850407769e-41
103.5,4.458348962440561e-41
104.5,3.469617466913565e-41
105.5,5.477535890210367e-41
106.5,3.8458929241667293e-41
107.5,2.0215003816287033e-41
108.5,1.4474835519184691e-41
109.5,2.072593239945717e-41
110.5,4.1073184407508944e-41
111.5,4.629723282575763e-41
112.5,4.023941496111908e-41
113.5,3.469321670362985e-41
114.5,2.993448761101014e-41
115.5,3.243550589758177e-41
116.5,2.520953798828879e-41
117.5,1.1559703268863237e-41
118.5,1.3225490585357468e-41
119.5,1.6548477232497713e-41
120.5,7.118281859450861e-42
121.5,1.8905337363587853e-41
122.5,4.966615143727197e-42
123.5,4.532192151772778e-44
124.5,5.330202077309947e-42
125.5,1.1170434291313121e-42
126.5,-4.676027366197928e-42
127.5,2.0457172979909653e-41
128.5,1.0828128834943436e-41
129.5,1.243091540309213e-41
130.5,6.568250513337481e-42
131.5,5.411432121769986e-42
132.5,7.946508784925255e-42
133.5,9.113245311601352e-42
134.5,9.765720666288773e-42
135.5,7.9968268572235e-42
136.5,6.71903485111519e-42
137.5,5.931501961604136e-42
138.5,5.768698994775053e-42
139.5,3.080972113701489e-42
140.5,-1.037793923636105e-42
141.5,-1.999592809789202e-42
142.5,-3.509493383907168e-42
143.5,-2.263698735889255e-42
144.5,-1.035648421473971e-43
145.5,-1.541203530106798e-42
146.5,-9.706905058323305e-43
147.5,-5.612936317003867e-43
148.5,-2.4036750916840463e-42
149.5,-6.114400710911438e-43
150.5,-4.734571408301e-43
151.5,3.4265921295758165e-44
152.5,-7.177523587030005e-43
153.5,-2.3108956232009194e-42
154.5,-2.1160707221903836e-42
155.5,-1.7183967771310192e-42
156.5,-1.8296873756432458e-42
157.5,-3.0255115056408734e-42
158.5,-4.859589169563236e-42
159.5,-2.7230572809867814e-42
160.5,-8.260710862513243e-43
161.5,1.2248964637182666e-43
162.5,1.9428249409691995e-42
163.5,2.0187107406406835e-42
164.5,1.5116591938247243e-42
165.5,5.30433336577365e-43
166.5,1.2189948600874362e-42
167.5,-3.855845789031629e-43
168.5,-8.619955045729181e-43
169.5,-2.7238414393559818e-43
170.5,-1.1811447436982235e-44
171.5,3.373098176915355e-43
172.5,6.7337098665416515e-43
173.5,1.9224586226909627e-43
174.5,2.4320577700514217e-43
175.5,-7.83017355791703e-44
176.5,-3.2094136466497275e-44
177.5,-4.206490997414703e-43
178.5,4.2357014206520544e-43
179.5,4.217676047494552e-43
180.5,1.1860018231382733e-43
181.5,0.0
182.5,0.0
