k,Tk
0.5,0.0
1.5,1.252425349777083e-07
2.5,-1.608883958900638e-07
3.5,4.357021740637792e-08
4.5,-7.196172962496445e-09
5.5,-7.026029987704946e-10
6.5,-1.7988357924076022e-11
7.5,-8.005003670151011e-12
8.5,4.0861039930586677e-13
9.5,4.211919171826381e-15
10.5,5.8067895235379534e-18
11.5,6.921197225457241e-19
12.5,2.132268978065836e-20
13.5,-1.7923686022458998e-23
14.5,-1.2195668542574319e-24
15.5,-7.180997930313497e-27
16.5,-1.676328418954604e-28
17.5,-2.9309595345833046e-30
18.5,-1.0145951678614323e-32
19.5,-2.2137997005822433e-34
20.5,-5.437066253720233e-37
21.5,-6.673237603650928e-38
22.5,-2.0921939139610283e-39
23.5,-3.4011077472909635e-39
24.5,-1.947086888987636e-40
25.5,6.35399268281239e-39
26.5,2.9025031619830514e-39
27.5,-6.877429966436986e-39
28.5,2.0018123362635418e-39
29.5,-3.381933940162292e-39
30.5,3.800557226960067e-40
31.5,-9.632179725622058e-40
32.5,-1.5841107046708444e-39
33.5,2.951004475102435e-39
34.5,1.6569250556892633e-40
35.5,-1.669430501290961e-40
36.5,-1.6256568176288997e-41
37.5,-2.059886852895405e-40
38.5,4.013904663012891e-40
39.5,-5.143396746324604e-40
40.5,2.6737860776251804e-40
41.5,-5.480392066679042e-41
42.5,-3.067625130159337e-41
43.5,-3.9354892036702053e-41
44.5,-3.541369831399992e-41
45.5,-5.7211265560693e-41
46.5,9.734196241781917e-42
47.5,3.3510755421391423e-41
48.5,-1.5823950239158995e-40
49.5,-6.583647197741679e-41
50.5,-4.878691980432771e-41
51.5,-7.527071985680757e-42
52.5,7.149526496337628e-41
53.5,8.062052005390878e-41
54.5,-3.1481718932733914e-41
55.5,1.0900072633996447e-41
56.5,-6.106741692829339e-41
57.5,9.843256442264307e-41
58.5,6.240306482820136e-42
59.5,-9.533511406634608e-41
60.5,2.1727615417870603e-42
61.5,-2.324379793132333e-40
62.5,3.765561944521239e-41
63.5,1.8766057505186845e-40
64.5,4.393146988420246e-41
65.5,9.342570339954711e-41
66.5,-6.534035799999407e-41
67.5,7.843921941354185e-41
68.5,-2.6854748239477936e-41
69.5,1.7566062043698073e-41
70.5,2.0477993792113523e-41
71.5,-2.1833217335246062e-41
72.5,2.927743181019914e-41
73.5,-4.3124984827904306e-42
74.5,-2.554769373165074e-41
75.5,7.32237655575083e-43
76.5,1.6408388062305878e-41
77.5,-1.471765578162557e-41
78.5,2.9697772302478733e-42
79.5,-1.2111080318233683e-41
80.5,2.5489523826443994e-41
81.5,-9.388546083546708e-42
82.5,-1.9634712479350673e-41
83.5,5.0747434504330904e-42
84.5,-7.214446029045732e-42
85.5,-1.8623986695196703e-41
86.5,1.0073338302254488e-41
87.5,1.648197486491704e-42
88.5,3.604259667264535e-42
89.5,-1.6687387976683034e-41
90.5,2.2253982480402024e-41
91.5,-4.615373169624222e-41
92.5,1.8916432631459727e-41
93.5,2.4833894736583243e-41
94.5,-2.3362276322330106e-41
95.5,4.8468373904116405e-42
96.5,1.0184232873058801e-41
97.5,-2.760829972751344e-41
98.5,-1.3163020588766017e-41
99.5,1.9257440164512647e-41
100.5,3.2160805322395355e-42
101.5,-2.1393293606792346e-42
102.5,-3.393167327846343e-42
103.5,3.6606999506579286e-42
104.5,-4.980113466905648e-43
105.5,-2.2815208482083316e-42
106.5,-1.2909037091223546e-41
107.5,7.438299615309252e-42
108.5,9.090506484463266e-42
109.5,-5.5996817985581944e-42
110.5,-1.1289927225087732e-41
111.5,3.526564457758997e-41
112.5,-2.0664657104417143e-41
113.5,4.247410678932473e-42
114.5,1.4714480530527046e-41
115.5,-2.2815690798856954e-41
116.5,-1.3111388116037579e-42
117.5,-3.081733464875543e-42
118.5,-1.156246228496765e-42
119.5,2.6990872557052e-42
120.5,-1.5378273242050644e-41
121.5,8.163053482242369e-42
122.5,-1.610846439784139e-42
123.5,8.076956124825258e-42
124.5,-1.9695905041654838e-42
125.5,2.826026905461751e-42
126.5,-2.0154166106261526e-41
127.5,3.929717309549227e-41
128.5,-4.374149835758893e-42
129.5,1.8595713436865218e-42
130.5,-3.325525875014439e-42
131.5,2.532093669208308e-42
132.5,-3.3881757899753074e-43
133.5,-4.049902739768198e-42
134.5,-1.3711832817940896e-42
135.5,-1.8919260437531304e-42
136.5,4.232262001345238e-42
137.5,-1.1704832634676265e-42
138.5,2.162683685347799e-42
139.5,-2.0249734293807035e-42
140.5,1.46835316500392e-42
141.5,-8.99370267319048e-43
142.5,1.4098737951843616e-42
143.5,2.1232211607482234e-42
144.5,-1.31964604756153e-42
145.5,2.2346811892415568e-42
146.5,-1.7770918594595422e-42
147.5,3.675892798715848e-43
148.5,9.003009597535158e-43
149.5,1.4357261084572312e-42
150.5,-1.3682913817042317e-42
151.5,-7.142570157136111e-44
152.5,8.375196532363198e-43
153.5,4.102328974569183e-43
154.5,-2.192422363603714e-42
155.5,-1.2968791505991541e-42
156.5,7.959634214479328e-43
157.5,-2.704504328039055e-43
158.5,-4.3357852971646755e-42
159.5,2.054426377455302e-42
160.5,1.2236276803442627e-43
161.5,-8.471415869992693e-43
162.5,2.8863064982463277e-43
163.5,-1.5431342573833036e-42
164.5,1.0039527189468142e-42
165.5,-1.3184726650843182e-42
166.5,6.190971673582113e-44
167.5,-8.1717818012301e-44
168.5,1.4760393244196183e-43
169.5,-3.151833182544252e-43
170.5,-4.660180520272436e-43
