step,time,energy,enstrophy,div_rms,epsilon,dE_dt,P_in,residual
50,0.05,5.985942961930543e-08,3.780392007026654e-05,3.3334275956650523e-09,3.4496780584865637e-12,5.9794611253348925e-05,2.4454170393290803e-06,5.7349197663697905e-05
100,0.1,2.2796333020369657e-07,0.00014398146755389326,2.119830057428221e-09,1.313862583032333e-11,0.00016810390058439115,4.7739754865768995e-06,0.00016332993823644007
150,0.15,4.893232352169202e-07,0.0003090679228763756,1.499344785814834e-09,2.8203128974807258e-11,0.00026135990501322367,6.994792788050245e-06,0.0002543651404283024
200,0.2,8.304906761434704e-07,0.0005245665391477586,1.1405640209202297e-09,4.7867846611794526e-11,0.00034116744092655023,9.112854068273808e-06,0.00033205463472612304
250,0.25,1.239465249608353e-06,0.0007828965103260116,9.17537949413206e-10,7.144101570353913e-11,0.0004089745734648826,1.1132913792856771e-05,0.00039784173111304154
300,0.3,1.7055528688860826e-06,0.001077302564989268,7.70942867527079e-10,9.830620405235875e-11,0.00046608761927772953,1.3059506440920238e-05,0.00045302821114301335
350,0.35000000000000003,2.2192373939884073e-06,0.001401773640014584,6.697362604133626e-10,1.279148896879054e-10,0.0005136845251023247,1.48969566837255e-05,0.0004987876963334889
400,0.4,2.772064361073761e-06,0.0017509693532751502,5.966668662763228e-10,1.597797515255558e-10,0.0005528269670853535,1.664938909235246e-05,0.0005361777377727526
450,0.45,3.3565356824697844e-06,0.002120153455920493,5.41718707400115e-10,1.934685968250565e-10,0.0005844713213960235,1.8320737396215785e-05,0.0005661507774684046
500,0.5,3.9660143001933145e-06,0.0025051335906021684,4.988582000124175e-10,2.2859886404436013e-10,0.0006094786177235301,1.991475331319905e-05,0.0005895640930091951
550,0.55,4.594637871465064e-06,0.0029022067627345258,4.6433097158361734e-10,2.6483264700266713e-10,0.0006286235712717497,2.1435014971225845e-05,0.0006071888211331708
600,0.6,5.237240649934446e-06,0.0033081099922796465,4.357324339942993e-10,3.018721917671511e-10,0.0006426027784693818,2.288493494017101e-05,0.0006197181454014025
650,0.65,5.889282803216949e-06,0.00371997566453167,4.11481555427059e-10,3.3945582232701077e-10,0.000652042153282503,2.42677678921407e-05,0.0006277747248461847
700,0.7000000000000001,6.5467864770172275e-06,0.004135291143368778,3.90512899361237e-10,3.7735425522271913e-10,0.0006575036738002785,2.5586617907316024e-05,0.0006319174332472177
750,0.75,7.2062779793497575e-06,0.004551862250820589,3.720911526842579e-10,4.1536726698221835e-10,0.00065949150233253,2.6844445441759733e-05,0.0006326474722580372
800,0.8,7.86473551581041e-06,0.004967780253286446,3.556966788218429e-10,4.5332068154484957e-10,0.0006584575364606528,2.8044073972826092e-05,0.0006304139158085083
850,0.85,8.519541959046062e-06,0.0053813920278097446,3.4095343472946954e-10,4.910636478711751e-10,0.000654806443235652,2.9188196337092098e-05,0.0006256187379622078
900,0.9,9.168442182998765e-06,0.0057912731118256715,3.27582760816968e-10,5.284661806752753e-10,0.0006489002239527023,3.0279380775035715e-05,0.0006186213716438473
950,0.9500000000000001,9.80950453560673e-06,0.006196203367055877,3.15373284526869e-10,5.654169397031667e-10,0.000641062352607965,3.132007669602982e-05,0.0006097428413288749
1000,1.0,1.0441086062819903e-05,0.006595145012985236,3.041610257785018e-10,6.018212252404418e-10,0.0006315815272131733,3.231262017659381e-05,0.0005992695088578047
1050,1.05,1.1061801132388587e-05,0.00698722280785251,2.9381605338664354e-10,6.375991695850232e-10,0.0006207150695686846,3.3259239204243125e-05,0.000587456467963611
1100,1.1,1.1670493138241403e-05,0.007371706175531076,2.8423340176316376e-10,6.726841060865025e-10,0.0006086920058528159,3.416205867871018e-05,0.0005745306198582118
1150,1.1500000000000001,1.2266208995668359e-05,0.007747993095249804,2.753267913720584e-10,7.070210990483928e-10,0.0005957158574269557,3.5023105181759854e-05,0.0005606934592662949
1200,1.2,1.284817616424803e-05,0.00811559558798594,2.6702421580518933e-10,7.405656193301282e-10,0.0005819671685796704,3.584431152630912e-05,0.0005461235976189806
1250,1.25,1.3415781959734527e-05,0.008474126648697919,2.592647863944354e-10,7.732823518850668e-10,0.0005676057954864979,3.662752109506112e-05,0.0005309790476737886
1300,1.3,1.3968554938183062e-05,0.008823288487502967,2.5199643443150084e-10,8.051441227425292e-10,0.0005527729784485345,3.737449197839308e-05,0.0005153992916142641
1350,1.35,1.4506148155636979e-05,0.009162861955566159,2.451742061746346e-10,8.361309340973164e-10,0.0005375932174539173,3.808690092078623e-05,0.0004995071526640653
1400,1.4000000000000001,1.5028324124912285e-05,0.009492697042972141,2.387589733098377e-10,8.662290972199678e-10,0.0005221759692753055,3.876634708465713e-05,0.00048341048841974555
1450,1.45,1.5534941307559033e-05,0.009812704346300891,2.3271643933179154e-10,8.954304538546079e-10,0.0005066171826467489,3.941435564003751e-05,0.0004672037224371652
1500,1.5,1.6025941994112704e-05,0.010122847413125234,2.2701636003020088e-10,9.237316776378029e-10,0.0004910006865536709,4.003238118816215e-05,0.0004509692290971864
1550,1.55,1.65013414394005e-05,0.010423135879271002,2.2163192181079838e-10,9.511336478587221e-10,0.0004753994452877948,4.062181102664935e-05,0.0004347785853947933
1600,1.6,1.6961218132069728e-05,0.010713619322515027,2.1653923830073544e-10,9.776408885958067e-10,0.00045987669266922906,4.1183968263602904e-05,0.00041869370204651476
1650,1.6500000000000001,1.7405705088770664e-05,0.010994381763511783,2.1171693751213272e-10,1.0032610669144448e-09,0.0004444869567009361,4.1720114787626534e-05,0.0004027678451743765
1700,1.7,1.7834982073655917e-05,0.011265536751201172,2.0714581922960453e-10,1.028004544399824e-09,0.00042927698488525254,4.223145410041708e-05,0.00038704655878937983
1750,1.75,1.8249268653149024e-05,0.011527222975818612,2.028085681085539e-10,1.0518839768346247e-09,0.00041428657949310713,4.2719134018295026e-05,0.00037156849735878894
1800,1.8,1.86488180043724e-05,0.0117796003579579,1.9868951141468285e-10,1.0749139573175706e-09,0.00039954935122337625,4.318424924873783e-05,0.0003563661768885957
1850,1.85,1.9033911403281027e-05,0.01202284656697389,1.9477441319409912e-10,1.0971106985601482e-09,0.00038509339890862654,4.362784384769652e-05,0.00034146665217162856
1900,1.9000000000000001,1.9404853325508113e-05,0.012257153926407612,1.9105029844372786e-10,1.1184917504999797e-09,0.0003709419222270865,4.405091356321507e-05,0.00032689212715562193
1950,1.95,1.976196709923728e-05,0.012482726668101941,1.8750530225748772e-10,1.1390757497329438e-09,0.00035711377372916683,4.445440807061086e-05,0.0003126605047343057
2000,2.0,2.0105591055150242e-05,0.012699778500297357,1.8412853996432292e-10,1.1588821975966686e-09,0.0003436239559129619,4.483923310423554e-05,0.0002987858816909239
