step,time,energy,enstrophy,div_rms,epsilon,dE_dt,P_in,residual
50,0.05,5.98594274288649e-08,3.780391880126772e-05,3.33355208893181e-09,3.4496779424572348e-12,5.9794609062908395e-05,2.445416992353216e-06,5.7349195520233124e-05
100,0.1,2.2796332196332609e-07,0.0001439814625699492,2.1201596284600553e-09,1.313862537514005e-11,0.0001681038945344612,4.773975396403684e-06,0.0001633299322766829
150,0.15,4.893232178345282e-07,0.0003090679121565489,1.4998139235101011e-09,2.8203127996127143e-11,0.00026135989587120205,6.994792658601637e-06,0.0002543651314157284
200,0.2,8.304906472604792e-07,0.0005245665211612413,1.141083149484776e-09,4.786784496994293e-11,0.0003411674294259511,9.11285390348916e-06,0.0003320546233903069
250,0.25,1.2394652075236284e-06,0.0007828964839826078,9.180389718282724e-10,7.144101329903763e-11,0.0004089745602631492,1.113291359658362e-05,0.00039784171810757884
300,0.3,1.7055528124689502e-06,0.001077302529573892,7.713857155066111e-10,9.830620081995811e-11,0.0004660876049453218,1.3059506216846397e-05,0.00045302819703467624
350,0.35000000000000003,2.219237322593498e-06,0.0014017735951252306,6.701029090310806e-10,1.2791488559092547e-10,0.0005136845101245479,1.4896956435342181e-05,0.0004987876816040913
400,0.4,2.7720642744627073e-06,0.0017509692987686173,5.969535240085874e-10,1.5977974655093205e-10,0.0005528269518692092,1.6649388822937317e-05,0.0005361777228260184
450,0.45,3.356535580741273e-06,0.002120153391865878,5.419296981886937e-10,1.93468590979097e-10,0.0005844713062785658,1.8320737108827996e-05,0.0005661507626383288
500,0.5,3.966014183721507e-06,0.0025051335172411207,4.990019199845285e-10,2.2859885734911788e-10,0.0006094786029802339,1.9914753010681434e-05,0.0005895640785684098
550,0.55,4.594637740845991e-06,0.0029022066804472537,4.644173973555004e-10,2.648326394928398e-10,0.0006286235571244842,2.143501465621132e-05,0.0006071888073009124
600,0.6,5.237240505939501e-06,0.0033081099015557502,4.3577164983667933e-10,3.018721834874182e-10,0.0006426027650935101,2.2884934615091157e-05,0.0006197181323506024
650,0.65,5.889282646752929e-06,0.003719975565945175,4.1148293431154854e-10,3.3945581332975624e-10,0.0006520421408134276,2.4267767559235775e-05,0.0006277747127100052
700,0.7000000000000001,6.546786309091938e-06,0.004135291037556709,3.9048470354234677e-10,3.773542455660763e-10,0.0006575036623390089,2.558661756864519e-05,0.0006319174221246092
750,0.75,7.2062778010427745e-06,0.004551862138464753,3.7204039823880174e-10,4.1536725672840687e-10,0.0006594914919508367,2.6844445099211634e-05,0.0006326474622188818
800,0.8,7.864735328248202e-06,0.0049677801350979005,3.556291574685191e-10,4.5332067075875905e-10,0.000658457527205427,2.8044073628129118e-05,0.0006304139068979686
850,0.85,8.519541763381108e-06,0.005381391904515775,3.4087382019438826e-10,4.910636366191758e-10,0.000654806435132906,2.9188195991824582e-05,0.0006256187302047181
