step,time,energy,enstrophy,div_rms,epsilon,dE_dt,P_in,residual
50,0.05,5.892522413270197e-11,3.065154754782728e-08,3.333579646662207e-09,2.7786085129576003e-15,-5.893141823800406e-09,-5.893139045191893e-09,0.0
100,0.1,5.504348010899621e-11,2.213132116594797e-08,2.1202577465994113e-09,2.012544942910851e-15,-3.881744023705758e-09,-3.881742011160815e-09,0.0
150,0.15,5.21010744689614e-11,1.7520486799478873e-08,1.5000316299934496e-09,1.5958922077777169e-15,-2.942405640034809e-09,-2.942404044142601e-09,0.0
200,0.2,4.970728911062068e-11,1.4613506507235844e-08,1.1414395268074837e-09,1.3324390652869075e-15,-2.3937853583407206e-09,-2.3937840259016554e-09,0.0
250,0.25,4.767622341126003e-11,1.2597912906097104e-08,9.184988872738501e-10,1.1494233344729972e-15,-2.0310656993606506e-09,-2.0310645499373163e-09,0.0
300,0.3,4.590491703431401e-11,1.1107202408575115e-08,7.718759464583425e-10,1.013888307175121e-15,-1.7713063769460196e-09,-1.7713053630577124e-09,0.0
350,0.35000000000000003,4.433021467602453e-11,9.952734662836803e-09,6.705441714052869e-10,9.088235218508673e-16,-1.5747023582894833e-09,-1.5747014494659614e-09,0.0
400,0.4,4.2910394000512223e-11,9.027693720051023e-09,5.972824883845703e-10,8.245770928653166e-16,-1.4198206755123033e-09,-1.4198198509352105e-09,0.0
450,0.45,4.1616299834994855e-11,8.266994113711958e-09,5.421059643131398e-10,7.552585678512409e-16,-1.294094165517368e-09,-1.2940934102588001e-09,0.0
500,0.5,4.042665167098601e-11,7.628593470486205e-09,4.990055135383775e-10,6.970581732634008e-16,-1.1896481640088434e-09,-1.18964746695067e-09,0.0
550,0.55,3.932537337557238e-11,7.0840150343240644e-09,4.642429232946157e-10,6.473927734233126e-16,-1.1012782954136318e-09,-1.1012776480208583e-09,0.0
600,0.6,3.829998119102386e-11,6.6132039499624575e-09,4.35422619576869e-10,6.044416482795217e-16,-1.0253921845485226e-09,-1.0253915801068743e-09,0.0
650,0.65,3.734056137805124e-11,6.201573718338914e-09,4.109675299760327e-10,5.668795996842564e-16,-9.594198129726189e-10,-9.594192460930191e-10,0.0
700,0.7000000000000001,3.6439094146818665e-11,5.838226699417945e-09,3.898130528549514e-10,5.337159782692598e-16,-9.014672312325742e-10,-9.014666975165959e-10,0.0
750,0.75,3.5588990364514e-11,5.514836298628623e-09,3.712230076667232e-10,5.0419347362762e-16,-8.501037823046655e-10,-8.501032781111918e-10,0.0
800,0.8,3.478476425337123e-11,5.22491868278883e-09,3.5467610196333516e-10,4.77722120910123e-16,-8.042261111427689e-10,-8.042256334206479e-10,0.0
850,0.85,3.4021796054446035e-11,4.9633428160099985e-09,3.3979437279825094e-10,4.538348716251733e-16,-7.629681989251952e-10,-7.629677450903236e-10,0.0
900,0.9,3.3296156039928985e-11,4.725991405162781e-09,3.262972419388239e-10,4.3215682965113355e-16,-7.256400145170493e-10,-7.256395823602196e-10,0.0
950,0.9500000000000001,3.260447148702156e-11,4.50952039837857e-09,3.139715299851494e-10,4.1238341746590694e-16,-6.916845529074279e-10,-6.916841405240104e-10,0.0
1000,1.0,3.19438244466697e-11,4.311184651925912e-09,3.0265158928320585e-10,3.9426454174464127e-16,-6.606470403518601e-10,-6.606466460873184e-10,0.0
1050,1.05,3.1311672041119267e-11,4.1287091391933874e-09,2.9220594956583215e-10,3.775928904344567e-16,-6.321524055504308e-10,-6.321520279575404e-10,0.0
1100,1.1,3.07057835401224e-11,3.960192208915339e-09,2.8252821118409415e-10,3.621951386974618e-16,-6.058885009968689e-10,-6.058881388017302e-10,0.0
1150,1.1500000000000001,3.0124190130496825e-11,3.804031848422373e-09,2.735307423515677e-10,3.4792524377557096e-16,-5.815934096255729e-10,-5.815930617003291e-10,0.0
1200,1.2,2.9565144421534015e-11,3.6588687536383996e-09,2.651402488626635e-10,3.3465926656858664e-16,-5.590457089628098e-10,-5.590453743035432e-10,0.0
1250,1.25,2.9027087509129202e-11,3.523541871579972e-09,2.5729460850086677e-10,3.222913266164333e-16,-5.380569124048124e-10,-5.380565901134859e-10,0.0
1300,1.3,2.8508621971983977e-11,3.3970533288616573e-09,2.499405695989514e-10,3.107304102879628e-16,-5.184655371452253e-10,-5.184652264148151e-10,0.0
1350,1.35,2.8008489568348893e-11,3.2785405118266763e-09,2.430320472917817e-10,2.998978292591811e-16,-5.001324036350843e-10,-5.001321037372551e-10,0.0
1400,1.4000000000000001,2.7525552689859317e-11,3.167253656651535e-09,2.365288385831826e-10,2.89725180141784e-16,-4.829368784895755e-10,-4.829365887643953e-10,0.0
1450,1.45,2.705877884204906e-11,3.0625377270738784e-09,2.303956350368912e-10,2.8015269418022934e-16,-4.667738478102589e-10,-4.667735676575647e-10,0.0
1500,1.5,2.660722758067326e-11,2.9638176586022795e-09,2.2460125020734625e-10,2.71127893284118e-16,-4.515512613757993e-10,-4.51550990247906e-10,0.0
