step,time,energy,enstrophy,div_rms,epsilon,dE_dt,P_in,residual
50,0.05,5.892383808503481e-11,3.0650698744435186e-08,3.333582106194526e-09,2.7785308975870232e-15,-5.894527871467566e-09,-5.894525092936668e-09,0.0
100,0.1,5.5040901859204704e-11,2.2129696834439026e-08,2.1202614969204107e-09,2.0123964101037257e-15,-3.882936225830103e-09,-3.882934213433693e-09,0.0
150,0.15,5.209748488331314e-11,1.751815288929668e-08,1.5000281591251884e-09,1.5956787893919477e-15,-2.943416975891562e-09,-2.9434153802127726e-09,0.0
200,0.2,4.9702857395990735e-11,1.4610523692725284e-08,1.1414180913605445e-09,1.332166310354546e-15,-2.394627487322407e-09,-2.394626155156097e-09,0.0
250,0.25,4.767110803396167e-11,1.2594337590276826e-08,9.184484824348277e-10,1.1490964012745842e-15,-2.0317493620290627e-09,-2.0317482129326616e-09,0.0
300,0.3,4.5899266446670126e-11,1.1103087323834941e-08,7.717865966232652e-10,1.0135120182705712e-15,-1.7718415872915468e-09,-1.7718405737795284e-09,0.0
350,0.35000000000000003,4.432416793449496e-11,9.948129251189686e-09,6.704076297896361e-10,9.084023988520527e-16,-1.5750985121751685e-09,-1.5750976037727697e-09,0.0
400,0.4,4.290408131589282e-11,9.022644397229107e-09,5.97092398702852e-10,8.241153805807273e-16,-1.4200866186021399e-09,-1.4200857944867592e-09,0.0
450,0.45,4.160984307519884e-11,8.261544473892158e-09,5.418576930410833e-10,7.547602530104554e-16,-1.2942382406939775e-09,-1.2942374859337245e-09,0.0
500,0.5,4.042016482723465e-11,7.622784459558472e-09,4.98695850852436e-10,6.965270003703026e-16,-1.1896782479641903e-09,-1.18967755143719e-09,0.0
550,0.55,3.93189629981285e-11,7.077885104741111e-09,4.6386977386912003e-10,6.468322589263564e-16,-1.10120182910615e-09,-1.1012011822738911e-09,0.0
600,0.6,3.829374679829477e-11,6.606789203174954e-09,4.3498473723083464e-10,6.038550936060274e-16,-1.02521619983373e-09,-1.0252155959786364e-09,0.0
650,0.65,3.733459584170972e-11,6.194908037634646e-09,4.104643099547691e-10,5.662701033957594e-16,-9.591509565850476e-10,-9.591503903149443e-10,0.0
700,0.7000000000000001,3.643348405495833e-11,5.831341874582533e-09,3.892443767542538e-10,5.330864474674745e-16,-9.011117867513908e-10,-9.011112536649434e-10,0.0
750,0.75,3.5583816364484336e-11,5.5077621432448004e-09,3.705891298261643e-10,5.035466346858981e-16,-8.496676904739952e-10,-8.496671869273606e-10,0.0
800,0.8,3.478010137570126e-11,5.217683144738778e-09,3.5397756602497357e-10,4.770605295822565e-16,-8.037149887830743e-10,-8.037145117225447e-10,0.0
850,0.85,3.401771401909772e-11,4.955972081637339e-09,3.390319492363078e-10,4.531609225735144e-16,-7.623873566035404e-10,-7.623869034426178e-10,0.0
900,0.9,3.329271954599537e-11,4.718509997499654e-09,3.254718798628786e-10,4.314727654312845e-16,-7.24994473102351e-10,-7.249940416295855e-10,0.0
950,0.9500000000000001,3.2601740486881144e-11,4.501951269811693e-09,3.1308431866580625e-10,4.1169133700231786e-16,-6.909790591142259e-10,-6.909786474228889e-10,0.0
1000,1.0,3.194185440552222e-11,4.303549271650262e-09,3.017037264531187e-10,3.9356640832911136e-16,-6.598860813589256e-10,-6.598856877925173e-10,0.0
1050,1.05,3.131051418275466e-11,4.121027575778526e-09,2.9119871465804173e-10,3.768905392773508e-16,-6.313402227675584e-10,-6.313398458770191e-10,0.0
1100,1.1,3.0705485079709626e-11,3.9524832082864586e-09,2.8146294238878185e-10,3.6149028405934133e-16,-6.050291030450342e-10,-6.050287415547501e-10,0.0
1150,1.1500000000000001,3.0124794495122976e-11,3.7963129075361665e-09,2.7240881681479646e-10,3.47219485704909e-16,-5.8069058458665e-10,-5.806902373671643e-10,0.0
1200,1.2,2.956669145917291e-11,3.651156190113147e-09,2.6396306560861503e-10,3.339540972693381e-16,-5.581030359500638e-10,-5.581027019959666e-10,0.0
1250,1.25,2.902961368667411e-11,3.5158508895200504e-09,2.5606357379995914e-10,3.2158813646746386e-16,-5.370777724988024e-10,-5.370774509106659e-10,0.0
1300,1.3,2.8512160562937187e-11,3.3893980810991212e-09,2.486570845731418e-10,3.100304935347306e-16,-5.174531237369221e-10,-5.174528137064285e-10,0.0
1350,1.35,2.8013070830725056e-11,3.2709341587866616e-09,2.41697497576745e-10,2.992023893966036e-16,-4.990897322121315e-10,-4.990894330097421e-10,0.0
1400,1.4000000000000001,2.7531204034824505e-11,3.1597084220337944e-09,2.3514458587767707e-10,2.890353350058966e-16,-4.818667959005506e-10,-4.818665068652156e-10,0.0
1450,1.45,2.706552499378702e-11,3.0550649505297065e-09,2.2896301036723236e-10,2.794694807650479e-16,-4.656790410374863e-10,-4.656787615680055e-10,0.0
1500,1.5,2.6615090727941813e-11,2.9564278455743087e-09,2.231215487349725e-10,2.704522722990331e-16,-4.504342658452062e-10,-4.5043399539293393e-10,0.0
1550,1.55,2.6179039393651022e-11,2.863289136376983e-09,2.175924817471203e-10,2.6193734877437734e-16,-4.3605133429079076e-10,-4.36051072353442e-10,0.0
1600,1.6,2.5756580866291593e-11,2.7751988114613436e-09,2.123510968348093e-10,2.5388363466905503e-16,-4.2245852735942946e-10,-4.224582734757948e-10,0.0
1650,1.6500000000000001,2.534698868592424e-11,2.6917565562066777e-09,2.0737528072023562e-10,2.462545868807241e-16,-4.0959218036735176e-10,-4.095919341127649e-10,0.0
1700,1.7,2.494959313530403e-11,2.6126048687212965e-09,2.026451808267131e-10,2.390175673477008e-16,-3.973955506202115e-10,-3.9739531160264417e-10,0.0
1750,1.75,2.4563775263617723e-11,2.5374232956773807e-09,1.981429207510401e-10,2.3214331767024284e-16,-3.858178716863064e-10,-3.8581763954298876e-10,0.0
1800,1.8,2.4188961703914804e-11,2.4659235830864407e-09,1.9385235892757804e-10,2.2560551707145043e-16,-3.7481355970291835e-10,-3.748133340974013e-10,0.0
1850,1.85,2.3824620159723755e-11,2.397845578315357e-09,1.8975888232111274e-10,2.1938040879568163e-16,-3.6434154419104953e-10,-3.6434132481064074e-10,0.0
1900,1.9000000000000001,2.347025545838321e-11,2.3329537518829243e-09,1.8584922891549613e-10,2.1344648297550106e-16,-3.5436470134054633e-10,-3.5436448789406335e-10,0.0
1950,1.95,2.3125406086362457e-11,2.2710342329022544e-09,1.821113341550161e-10,2.077842063026411e-16,-3.448493720207516e-10,-3.448491642365453e-10,0.0
2000,2.0,2.278964113620604e-11,2.2118922720523342e-09,1.7853419751172276e-10,2.0237579066025347e-16,-3.357649501564165e-10,-3.357647477806258e-10,0.0
