step,time,energy,enstrophy,div_rms
50,0.125,5.882817670927785e-10,1.6094297138866886e-07,2.678584877177712e-08
100,0.25,5.882817670927784e-10,1.6094297138866884e-07,2.6786386657551524e-08
150,0.375,5.882817670927784e-10,1.6094297138866884e-07,2.6786924719250016e-08
200,0.5,5.882817670927784e-10,1.6094297138866884e-07,2.6787462956837526e-08
250,0.625,5.882817670927784e-10,1.6094297138866884e-07,2.678800137027909e-08
300,0.75,5.882817670927784e-10,1.6094297138866884e-07,2.6788539959539425e-08
350,0.875,5.882817670927784e-10,1.6094297138866884e-07,2.6789078724583493e-08
400,1.0,5.882817670927784e-10,1.6094297138866884e-07,2.6789617665376214e-08
450,1.125,5.882817670927784e-10,1.6094297138866884e-07,2.6790156781882413e-08
500,1.25,5.882817670927784e-10,1.6094297138866884e-07,2.6790696074066798e-08
550,1.375,5.882817670927784e-10,1.6094297138866884e-07,2.6791235541894185e-08
600,1.5,5.882817670927786e-10,1.6094297138866884e-07,2.679177518532911e-08
650,1.625,5.882817670927784e-10,1.6094297138866884e-07,2.6792315004336362e-08
700,1.75,5.882817670927784e-10,1.6094297138866884e-07,2.6792854998880527e-08
750,1.875,5.882817670927785e-10,1.6094297138866886e-07,2.6793395168926236e-08
800,2.0,5.882817670927784e-10,1.6094297138866886e-07,2.6793935514437927e-08
