step,time,energy,enstrophy,div_rms
50,0.125,5.882829279221539e-10,1.6094333362362756e-07,2.6785486307158414e-08
100,0.25,5.88284088776708e-10,1.6094369593202738e-07,2.6785661578606198e-08
150,0.375,5.882852496564393e-10,1.6094405831386633e-07,2.678583687630155e-08
200,0.5,5.882864105613462e-10,1.6094442076914266e-07,2.6786012200240587e-08
250,0.625,5.882875714914269e-10,1.6094478329785447e-07,2.678618755041984e-08
300,0.75,5.882887324466799e-10,1.6094514589999992e-07,2.678636292683546e-08
350,0.875,5.882898934271035e-10,1.6094550857557713e-07,2.6786538329484092e-08
400,1.0,5.882910544326963e-10,1.609458713245843e-07,2.6786713758361817e-08
450,1.125,5.882922154634564e-10,1.6094623414701953e-07,2.678688921346498e-08
500,1.25,5.882933765193824e-10,1.6094659704288098e-07,2.6787064694789976e-08
550,1.375,5.882945376004726e-10,1.609469600121668e-07,2.6787240202333216e-08
600,1.5,5.882956987067254e-10,1.609473230548751e-07,2.678741573609084e-08
650,1.625,5.882968598381392e-10,1.6094768617100406e-07,2.6787591296059423e-08
700,1.75,5.882980209947124e-10,1.6094804936055184e-07,2.678776688223518e-08
750,1.875,5.882991821764435e-10,1.6094841262351655e-07,2.6787942494614357e-08
800,2.0,5.883003433833306e-10,1.6094877595989635e-07,2.6788118133193555e-08
