step,time,energy,enstrophy,div_rms
40,0.1,0.24608316571731603,19.429947963181,5.1424800835810385e-06
80,0.2,0.24222769779782427,19.125532418009193,5.1020365630565e-06
120,0.3,0.2384326347940237,18.825886253811426,5.0619111144259086e-06
160,0.4,0.23469703032173617,18.530934747088082,5.022101236171931e-06
200,0.5,0.23101995282410304,18.24060434505779,4.982604446468976e-06
240,0.6,0.22740048533928114,17.954822647315403,4.943418282996735e-06
280,0.7000000000000001,0.2238377252717778,17.67351838777735,4.904540302816346e-06
320,0.8,0.2203307841673678,17.39662141690978,4.865968082182871e-06
360,0.9,0.21687878749153827,17.124062684235284,4.8276992164198896e-06
400,1.0,0.21348087441140318,16.855774221113517,4.789731319772918e-06
440,1.1,0.21013619758103552,16.591689123791767,4.7520620252318986e-06
480,1.2,0.20684392293016257,16.331741536720962,4.714688984419962e-06
520,1.3,0.20360322945617176,16.075866636133114,4.677609867416026e-06
560,1.4000000000000001,0.20041330901937537,15.824000613876072,4.640822362633556e-06
600,1.5,0.19727336614148255,15.576080661501507,4.604324176658426e-06
640,1.6,0.19418261780722884,15.332044954602232,4.5681130341167965e-06
680,1.7,0.19114029326911425,15.091832637394882,4.532186677519878e-06
720,1.8,0.18814563385519933,14.855383807544179,4.496542867158244e-06
760,1.9000000000000001,0.185197892779914,14.62263950122491,4.4611793809068994e-06
800,2.0,0.18229633495782926,14.393541678418007,4.426094014137794e-06
