local_dataset,local_H0,local_sigma,cosmic_dataset,cosmic_H0,cosmic_sigma,ratio_local_over_cosmic,ratio_sigma,predicted_13_over_12,delta_to_pred,z_score_to_pred,local_source,cosmic_source
TRGB-only (JWST two-method),69.03,1.75,DESI 2025 (BAO),68.5,0.6,1.0077372262773723,0.02702935518482266,1.0833333333333333,-0.07559610705596098,-2.7968150382813866,Freedman+ 2024 (TRGB+JAGB JWST only),DESI AAS245 slide (Scolnic)
TRGB (CCHP JWST+HST),69.96,1.5352198539622917,DESI 2025 (BAO),68.5,0.6,1.0213138686131387,0.024131389186481236,1.0833333333333333,-0.062019464720194595,-2.570074364178703,Freedman+ 2024 (combined),DESI AAS245 slide (Scolnic)
TRGB-only (JWST two-method),69.03,1.75,Planck 2018 (CMB),67.4,0.5,1.0241839762611276,0.027053211661377464,1.0833333333333333,-0.0591493570722057,-2.186407950840466,Freedman+ 2024 (TRGB+JAGB JWST only),Planck 2018
TRGB (CCHP JWST+HST),69.96,1.5352198539622917,Planck 2018 (CMB),67.4,0.5,1.0379821958456972,0.024044086498474747,1.0833333333333333,-0.045351137487636084,-1.8861659597886142,Freedman+ 2024 (combined),Planck 2018
SH0ES (Cepheid/SN),73.04,1.04,DESI 2025 (BAO),68.5,0.6,1.0662773722627739,0.017825176658181608,1.0833333333333333,-0.0170559610705594,-0.9568466780232922,Riess et al. (SH0ES),DESI AAS245 slide (Scolnic)
TRGB (JWST reanalysis),73.2,2.1,DESI 2025 (BAO),68.5,0.6,1.0686131386861315,0.03205400716683434,1.0833333333333333,-0.014720194647201756,-0.4592310275151013,Li 2025 TRGB,DESI AAS245 slide (Scolnic)
SH0ES (Cepheid/SN),73.04,1.04,Planck 2018 (CMB),67.4,0.5,1.083679525222552,0.01739888862651811,1.0833333333333333,0.00034619188921869437,0.019897356472013628,Riess et al. (SH0ES),Planck 2018
TRGB (JWST reanalysis),73.2,2.1,Planck 2018 (CMB),67.4,0.5,1.086053412462908,0.03218209309743807,1.0833333333333333,0.002720079129574726,0.08452151080848325,Li 2025 TRGB,Planck 2018
TDCOSMO-2025 (time-delay lenses),75.0,4.15,DESI 2025 (BAO),68.5,0.6,1.094890510948905,0.061338303582823474,1.0833333333333333,0.011557177615571845,0.1884169750467014,TDCOSMO-2025 core sample,DESI AAS245 slide (Scolnic)
Coma-anchored (DESI ladder),76.0,5.0,DESI 2025 (BAO),68.5,0.6,1.1094890510948905,0.07363679001312821,1.0833333333333333,0.02615571776155723,0.3551990486941935,Scolnic AAS245 (Coma anchor),DESI AAS245 slide (Scolnic)
TDCOSMO-2025 (time-delay lenses),75.0,4.15,Planck 2018 (CMB),67.4,0.5,1.1127596439169138,0.06212359204474837,1.0833333333333333,0.029426310583580584,0.47367368201092525,TDCOSMO-2025 core sample,Planck 2018
TDCOSMO+SLACS (lenses),76.8,4.25,DESI 2025 (BAO),68.5,0.6,1.1211678832116787,0.06281619047612681,1.0833333333333333,0.03783454987834545,0.6023057048122713,TDCOSMO-2025 + SLACS,DESI AAS245 slide (Scolnic)
Coma-anchored (DESI ladder),76.0,5.0,Planck 2018 (CMB),67.4,0.5,1.1275964391691393,0.07465410148652034,1.0833333333333333,0.04426310583580606,0.5929092300949905,Scolnic AAS245 (Coma anchor),Planck 2018
TDCOSMO+SLACS+SL2S (lenses),77.8,4.2,DESI 2025 (BAO),68.5,0.6,1.135766423357664,0.06211569476360535,1.0833333333333333,0.05243309002433083,0.8441198351540016,TDCOSMO-2025 all lenses,DESI AAS245 slide (Scolnic)
TDCOSMO+SLACS (lenses),76.8,4.25,Planck 2018 (CMB),67.4,0.5,1.1394658753709197,0.06362044034966662,1.0833333333333333,0.05613254203758644,0.8823035761631692,TDCOSMO-2025 + SLACS,Planck 2018
TDCOSMO+SLACS+SL2S (lenses),77.8,4.2,Planck 2018 (CMB),67.4,0.5,1.1543026706231452,0.06290014448847121,1.0833333333333333,0.07096933728981192,1.1282857593883537,TDCOSMO-2025 all lenses,Planck 2018
