source,H0_star,sigma_star
Planck 2018 (CMB) → H0*,70.15214418200867,0.5204164998665332
DESI 2025 (BAO) → H0*,71.29706048171504,0.6244997998398397
SH0ES (Cepheid/SN) → H0*,70.17456212354139,0.9991996797437438
Coma-anchored (DESI ladder) → H0*,73.01843813511974,4.803844614152614
TRGB (CCHP JWST+HST) → H0*,67.21539384122337,1.4749915253993835
TRGB-only (JWST two-method) → H0*,66.32187874299099,1.681345614953415
TRGB (JWST reanalysis) → H0*,70.32828515119428,2.0176147379440983
TDCOSMO-2025 (lenses) → H0*,72.05766921228921,3.98719102974667
TDCOSMO+SLACS (lenses) → H0*,73.78705327338415,4.083267922029722
TDCOSMO+SLACS+SL2S (lenses) → H0*,74.74782219621467,4.035229475888197
