file,Sij,baseline_test_MSE,ufrf_test_MSE,freq_min_GHz,freq_max_GHz,device_type,family,leaderboard,improvement_%
0603CT_10N.s2p,S12,0.0091615047990136,0.0091353837258594,0.001,8.5,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,0.2851177151270047
0603CT_11N.s2p,S12,0.0096962699467603,0.0097175905800383,0.001,8.3,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.21988489795628177
0603CT_12N.s2p,S12,0.0095926311590033,0.0095985881545812,0.001,8.0,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.0620997042329728
0603CT_15N.s2p,S12,0.0109249762959977,0.0109583563291316,0.001,7.5,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.3055387236503958
0603CT_16N.s2p,S12,0.0107328405834092,0.0108254119958925,0.001,7.3,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.8625061721907739
0603CT_18N.s2p,S12,0.0107127964652237,0.0108067042858931,0.001,7.3,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.8765948365979576
0603CT_1N0.s2p,S12,0.0059994050919163,0.0059803602432447,0.001,26.0,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,0.31744561968755103
0603CT_1N2.s2p,S12,0.0075542217049689,0.0075297395402132,0.001,26.0,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,0.32408586498852926
0603CT_20N.s2p,S12,0.0106368679607591,0.0107326784559372,0.001,7.3,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.9007397246215547
0603CT_22N.s2p,S12,0.0102305270543325,0.0102955713429889,0.001,6.7,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.6357862924457436
0603CT_24N.s2p,S12,0.0098721353476319,0.009953901235561,0.001,6.5,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.8282492596570287
0603CT_27N.s2p,S12,0.0098534037541588,0.0099375560899272,0.001,6.5,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.8540433120167412
0603CT_2N0.s2p,S12,0.0107480500152774,0.0107940576710364,0.001,18.0,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.42805583983703155
0603CT_2N2.s2p,S12,0.0130884515155745,0.0132268810899267,0.001,17.5,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-1.0576466909586437
0603CT_2N3.s2p,S12,0.0152845616456128,0.0154277497628541,0.001,17.0,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.9368153340688096
0603CT_2N5.s2p,S12,0.0152150773079975,0.0153612192340722,0.001,17.0,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.9605072857427
0603CT_30N.s2p,S12,0.0108844211288921,0.010897112262773,0.001,5.8,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.1165990706406236
0603CT_33N.s2p,S12,0.0104276685219543,0.0104083005260937,0.001,5.6,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,0.18573658934231285
0603CT_36N.s2p,S12,0.010562578789751,0.0105440039414727,0.001,5.6,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,0.17585523997533448
0603CT_39N.s2p,S12,0.0104548170475994,0.0104279434116741,0.001,5.5,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,0.25704549207268124
0603CT_3N0.s2p,S12,0.0114323921216081,0.0115463153138952,0.001,17.0,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.9964947936991769
0603CT_3N3.s2p,S12,0.0113926504501907,0.011396989510727,0.001,16.0,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.03808648878741007
0603CT_3N6.s2p,S12,0.0115554470326094,0.0115559653448415,0.001,16.0,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.004485436440825788
0603CT_3N9.s2p,S12,0.0121180595500469,0.0121790392778597,0.001,14.0,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.5032136338409295
0603CT_43N.s2p,S12,0.0104987653864283,0.0104727828734111,0.001,5.5,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,0.24748160436832328
0603CT_47N.s2p,S12,0.010277114874318,0.0102517165911667,0.001,5.4,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,0.2471343705106329
0603CT_4N3.s2p,S12,0.0126906565606551,0.0127535792056861,0.001,14.0,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.49581867360652115
0603CT_4N7.s2p,S12,0.0132308605714031,0.0132444185230522,0.001,15.0,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.10247218293874837
0603CT_51N.s2p,S12,0.0102643146865107,0.0102392195715593,0.001,5.4,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,0.2444889475610092
0603CT_56N.s2p,S12,0.0104897379060663,0.0104648101461454,0.001,5.4,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,0.23763949246516028
0603CT_5N1.s2p,S12,0.0111091186298647,0.0110955514286215,0.001,16.0,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,0.12212671135518527
0603CT_5N6.s2p,S12,0.0112659629099898,0.0113219598651478,0.001,13.0,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.4970454421463308
0603CT_6N8.s2p,S12,0.0099030010270583,0.0099393379877145,0.001,9.7,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.3669287780231002
0603CT_7N2.s2p,S12,0.0106665444903764,0.0107065231746128,0.001,9.7,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.37480445773672194
0603CT_8N2.s2p,S12,0.0098496563363886,0.0098922308087549,0.001,9.7,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.43224322669018833
0603CT_9N5.s2p,S12,0.0102268276089432,0.010237522236883,0.001,9.0,passive,unknown,results/batch_s12_0603ct/leaderboard.csv,-0.10457424676296646
BLE18PK100SN1_series.s2p,S21,0.0007294006607641,0.0007328189162702,0.001,3.0,passive,BLE,results/batch_s21_sparameters (1)/leaderboard.csv,-0.46863893741461277
BLE18PK160SN1_series.s2p,S21,0.0012206962401348,0.00122670884026,0.001,3.0,passive,BLE,results/batch_s21_sparameters (1)/leaderboard.csv,-0.4925549803066587
BLE18PS080BH1_series.s2p,S21,0.0004503844433402,0.000451668901609,0.001,3.0,passive,BLE,results/batch_s21_sparameters (1)/leaderboard.csv,-0.2851915264377247
BLE18PS080SH1_series.s2p,S21,0.0004503844433402,0.000451668901609,0.001,3.0,passive,BLE,results/batch_s21_sparameters (1)/leaderboard.csv,-0.2851915264377247
BLE18PS080SN1_series.s2p,S21,0.0004503844433402,0.000451668901609,0.001,3.0,passive,BLE,results/batch_s21_sparameters (1)/leaderboard.csv,-0.2851915264377247
