file,Sij,baseline_test_MSE,ufrf_test_MSE,improvement_percent,device_type,freq_min_GHz,freq_max_GHz,family
0603CT_10N.s2p,S11,0.6190890933211749,0.567087690902294,8.399663793124398,passive,0.001,8.5,unknown
0603CT_11N.s2p,S11,0.6247469538837664,0.5701380901438362,8.740957182816478,passive,0.001,8.3,unknown
0603CT_12N.s2p,S11,0.6313871505141461,0.5741623668285181,9.063343091323476,passive,0.001,8.0,unknown
0603CT_15N.s2p,S11,0.6445723458114401,0.5809635976537945,9.868364438994004,passive,0.001,7.5,unknown
0603CT_16N.s2p,S11,0.648683119443513,0.5826949886239894,10.172629569293086,passive,0.001,7.3,unknown
0603CT_18N.s2p,S11,0.6539539691826666,0.5847325328615595,10.585062494172542,passive,0.001,7.3,unknown
0603CT_1N0.s2p,S11,0.5581666148364965,0.5191081608037542,6.99763350127698,passive,0.001,26.0,unknown
0603CT_1N2.s2p,S11,0.5583228111021817,0.5185344514281279,7.126407677219536,passive,0.001,26.0,unknown
0603CT_20N.s2p,S11,0.6590697538899999,0.5865609089769136,11.001695114230376,passive,0.001,7.3,unknown
0603CT_22N.s2p,S11,0.6711373472508753,0.593860507031722,11.51431082411015,passive,0.001,6.7,unknown
0603CT_24N.s2p,S11,0.6788306638632637,0.5979283758769932,11.917889437382074,passive,0.001,6.5,unknown
0603CT_27N.s2p,S11,0.6837881904386232,0.5990650002174729,12.39026812773758,passive,0.001,6.5,unknown
0603CT_2N0.s2p,S11,0.5760218850738035,0.5367411005106937,6.819321553742164,passive,0.001,18.0,unknown
0603CT_2N2.s2p,S11,0.5800137342785643,0.5410004748327455,6.7262647658411865,passive,0.001,17.5,unknown
0603CT_2N3.s2p,S11,0.5817342626706289,0.5424994285950393,6.744459900895315,passive,0.001,17.0,unknown
0603CT_2N5.s2p,S11,0.581163163365399,0.5420728230580026,6.726224711324103,passive,0.001,17.0,unknown
0603CT_30N.s2p,S11,0.696817313218735,0.6075095309687861,12.816527453575858,passive,0.001,5.8,unknown
0603CT_33N.s2p,S11,0.7038999465596735,0.6116013693923987,13.112456907886708,passive,0.001,5.6,unknown
0603CT_36N.s2p,S11,0.708162213951235,0.6137166264809283,13.336716589740323,passive,0.001,5.6,unknown
0603CT_39N.s2p,S11,0.7111501717887104,0.6147154383894712,13.560389524575823,passive,0.001,5.5,unknown
0603CT_3N0.s2p,S11,0.5790765405881361,0.540007510044909,6.746781781825736,passive,0.001,17.0,unknown
0603CT_3N3.s2p,S11,0.581612320449379,0.5425573577472192,6.714947625590915,passive,0.001,16.0,unknown
0603CT_3N6.s2p,S11,0.5809476243126569,0.5420638779010174,6.693158691826042,passive,0.001,16.0,unknown
0603CT_3N9.s2p,S11,0.5861403350210874,0.5471223898546664,6.656758259951049,passive,0.001,14.0,unknown
0603CT_43N.s2p,S11,0.7071213543010442,0.6849108617282135,3.1409732484722817,passive,0.001,5.5,unknown
0603CT_47N.s2p,S11,0.6997030167864695,0.6783517672449533,3.0514731292107697,passive,0.001,5.4,unknown
0603CT_4N3.s2p,S11,0.5850128695187237,0.5463651089953411,6.606309456948733,passive,0.001,14.0,unknown
0603CT_4N7.s2p,S11,0.5808329635496879,0.5425323980866917,6.594075726853912,passive,0.001,15.0,unknown
0603CT_51N.s2p,S11,0.6884022850655497,0.6673841021251276,3.05318320354221,passive,0.001,5.4,unknown
0603CT_56N.s2p,S11,0.6744418330103051,0.6544865426884358,2.9587859686580966,passive,0.001,5.4,unknown
0603CT_5N1.s2p,S11,0.5776277338228426,0.5394707480286596,6.6058091673772905,passive,0.001,16.0,unknown
0603CT_5N6.s2p,S11,0.5879369180740579,0.549349976919375,6.563109062973038,passive,0.001,13.0,unknown
0603CT_6N8.s2p,S11,0.6055178292689201,0.5642250653193503,6.81941339356185,passive,0.001,9.7,unknown
0603CT_7N2.s2p,S11,0.6067381930074749,0.5641353747141541,7.021614723501663,passive,0.001,9.7,unknown
0603CT_8N2.s2p,S11,0.6075579763400785,0.5624818185022696,7.419235627412388,passive,0.001,9.7,unknown
0603CT_9N5.s2p,S11,0.6142621520951289,0.5638980178887797,8.19912703958187,passive,0.001,9.0,unknown
