file,Sij,baseline_test_MSE,ufrf_test_MSE,improvement_percent,device_type,freq_min_GHz,freq_max_GHz,family
BLE18PK100SN1_series.s2p,S11,0.6665672297061312,0.6228929318420838,6.5521219642468855,passive,0.001,3.0,BLE
BLE18PK160SN1_series.s2p,S11,0.6543766012289318,0.6061704627290863,7.366727112386584,passive,0.001,3.0,BLE
BLE18PS080BH1_series.s2p,S11,0.6691060154771187,0.6287650331789537,6.029086776241141,passive,0.001,3.0,BLE
BLE18PS080SH1_series.s2p,S11,0.6691060154771187,0.6287650331789537,6.029086776241141,passive,0.001,3.0,BLE
BLE18PS080SN1_series.s2p,S11,0.6691060154771187,0.6287650331789537,6.029086776241141,passive,0.001,3.0,BLE
BLE18PS080SZ1_series.s2p,S11,0.6691060154771187,0.6287650331789537,6.029086776241141,passive,0.001,3.0,BLE
BLE32PN260SH1_series.s2p,S11,0.6172241308253417,0.5813878597369593,5.80603856826899,passive,0.001,3.0,BLE
NFZ32BW451HZ10_series.s2p,S11,0.0038617950281605,0.0036248238055326,6.136297263314749,passive,0.001,3.0,NFZ
NFZ32BW520HN11_series.s2p,S11,0.1077472679212375,0.1075569279236864,0.1766541288919104,passive,0.001,3.0,NFZ
NFZ32BW520HZ11_series.s2p,S11,0.1077472679212375,0.1075569279236864,0.1766541288919104,passive,0.001,3.0,NFZ
NFZ32BW621HN10_series.s2p,S11,0.0024734063760122,0.0019971578802387,19.254761384634783,passive,0.001,3.0,NFZ
NFZ32BW621HZ10_series.s2p,S11,0.0024734063760122,0.0019971578802387,19.254761384634783,passive,0.001,3.0,NFZ
NFZ32BW650HN11_series.s2p,S11,0.0716609949066432,0.0713771002353539,0.3961634521808221,passive,0.001,3.0,NFZ
NFZ32BW650HZ11_series.s2p,S11,0.0716609949066432,0.0713771002353539,0.3961634521808221,passive,0.001,3.0,NFZ
NFZ32BW6R8HN11_series.s2p,S11,0.3476938315140057,0.3475994946520214,0.0271321644026606,passive,0.001,3.0,NFZ
NFZ32BW6R8HZ11_series.s2p,S11,0.3476938315140057,0.3475994946520214,0.0271321644026606,passive,0.001,3.0,NFZ
NFZ32BW700HN10_series.s2p,S11,0.0835246277382704,0.0833232734252455,0.2410717874205006,passive,0.001,3.0,NFZ
NFZ32BW700HZ10_series.s2p,S11,0.0835246277382704,0.0833232734252455,0.2410717874205006,passive,0.001,3.0,NFZ
NFZ32BW7R4HN10_series.s2p,S11,0.3398628248172956,0.3398042486386459,0.0172352415069897,passive,0.001,3.0,NFZ
NFZ32BW7R4HZ10_series.s2p,S11,0.3398628248172956,0.3398042486386459,0.0172352415069897,passive,0.001,3.0,NFZ
NFZ32BW881HN10_series.s2p,S11,0.0009756514852024,0.0011815178748775,-21.100402428271757,passive,0.001,3.0,NFZ
NFZ32BW881HZ10_series.s2p,S11,0.0009756514852024,0.0011815178748775,-21.100402428271757,passive,0.001,3.0,NFZ
NFZ32BW8R4HN11_series.s2p,S11,0.31933212477124,0.319341508537173,-0.0029385599521751,passive,0.001,3.0,NFZ
NFZ32BW8R4HZ11_series.s2p,S11,0.31933212477124,0.319341508537173,-0.0029385599521751,passive,0.001,3.0,NFZ
NFZ32BW9R0HN10_series.s2p,S11,0.2941721890723566,0.2940249921450749,0.0500376761466907,passive,0.001,3.0,NFZ
NFZ32BW9R0HZ10_series.s2p,S11,0.2941721890723566,0.2940249921450749,0.0500376761466907,passive,0.001,3.0,NFZ
NFZ32BW9R8HN11_series.s2p,S11,0.2883324893116862,0.2884837109371714,-0.0524469600516396,passive,0.001,3.0,NFZ
NFZ32BW9R8HZ11_series.s2p,S11,0.2883324893116862,0.2884837109371714,-0.0524469600516396,passive,0.001,3.0,NFZ
NFZ32SW301HN10_series.s2p,S11,0.4353355664430745,0.4351554715157176,0.0413692198017024,passive,0.001,3.0,NFZ
NFZ32SW901HN10_series.s2p,S11,0.3398628248172956,0.3398042486386459,0.0172352415069897,passive,0.001,3.0,NFZ
NFZ5BBW100LN10_series.s2p,S11,0.2926431190358218,0.2924632935986572,0.0614487153352792,passive,0.001,3.0,NFZ
NFZ5BBW100LZ10_series.s2p,S11,0.2926431190358218,0.2924632935986572,0.0614487153352792,passive,0.001,3.0,NFZ
NFZ5BBW140LN10_series.s2p,S11,0.2561200791505166,0.2562021894608242,-0.0320593022537961,passive,0.001,3.0,NFZ
NFZ5BBW140LZ10_series.s2p,S11,0.2561200791505166,0.2562021894608242,-0.0320593022537961,passive,0.001,3.0,NFZ
NFZ5BBW141LN10_series.s2p,S11,0.034898212804913,0.0351598676883948,-0.7497658546141542,passive,0.001,3.0,NFZ
NFZ5BBW141LZ10_series.s2p,S11,0.034898212804913,0.0351598676883948,-0.7497658546141542,passive,0.001,3.0,NFZ
NFZ5BBW170LN10_series.s2p,S11,0.2285125785976942,0.2288814484692597,-0.1614221299453797,passive,0.001,3.0,NFZ
NFZ5BBW170LZ10_series.s2p,S11,0.2285125785976942,0.2288814484692597,-0.1614221299453797,passive,0.001,3.0,NFZ
NFZ5BBW220LN10_series.s2p,S11,0.2094082143454488,0.2096095483865214,-0.0961442900900047,passive,0.001,3.0,NFZ
NFZ5BBW220LZ10_series.s2p,S11,0.2094082143454488,0.2096095483865214,-0.0961442900900047,passive,0.001,3.0,NFZ
NFZ5BBW2R9LN10_series.s2p,S11,0.4483653994057607,0.4429787212562691,1.201403622275678,passive,0.001,3.0,NFZ
NFZ5BBW2R9LZ10_series.s2p,S11,0.4483653994057607,0.4429787212562691,1.201403622275678,passive,0.001,3.0,NFZ
NFZ5BBW310LN10_series.s2p,S11,0.156417055092797,0.1567520766342015,-0.2141847902747984,passive,0.001,3.0,NFZ
NFZ5BBW310LZ10_series.s2p,S11,0.156417055092797,0.1567520766342015,-0.2141847902747984,passive,0.001,3.0,NFZ
NFZ5BBW450LN10_series.s2p,S11,0.1276144812140181,0.1276786932653476,-0.0503172137821574,passive,0.001,3.0,NFZ
NFZ5BBW450LZ10_series.s2p,S11,0.1276144812140181,0.1276786932653476,-0.0503172137821574,passive,0.001,3.0,NFZ
NFZ5BBW4R5LN10_series.s2p,S11,0.3814606313928466,0.381630821952599,-0.0446154978381241,passive,0.001,3.0,NFZ
NFZ5BBW4R5LZ10_series.s2p,S11,0.3814606313928466,0.381630821952599,-0.0446154978381241,passive,0.001,3.0,NFZ
NFZ5BBW520LN10_series.s2p,S11,0.1034813571915952,0.1037544214132486,-0.2638776964896357,passive,0.001,3.0,NFZ
NFZ5BBW520LZ10_series.s2p,S11,0.1034813571915952,0.1037544214132486,-0.2638776964896357,passive,0.001,3.0,NFZ
NFZ5BBW610LN10_series.s2p,S11,0.090813706961257,0.0909096431033164,-0.1056405968543108,passive,0.001,3.0,NFZ
NFZ5BBW610LZ10_series.s2p,S11,0.090813706961257,0.0909096431033164,-0.1056405968543108,passive,0.001,3.0,NFZ
NFZ5BBW6R7LN10_series.s2p,S11,0.3380101442261269,0.3374696269849508,0.1599115441974542,passive,0.001,3.0,NFZ
