file,Sij,baseline_test_MSE,ufrf_test_MSE,improvement_percent,device_type,freq_min_GHz,freq_max_GHz,family
04AF101.s2p,S12,0.0047843763158424,0.0046060733419789,3.7267756984988822,passive,0.001,1.0,unknown
04AF141.s2p,S12,0.008843725605689,0.008937550584693,-1.0609214169151262,passive,0.001,6.0,unknown
04AF181.s2p,S12,0.0095465757931801,0.0096643979989114,-1.2341828974476503,passive,0.001,6.0,unknown
04AF200.s2p,S12,0.003615841501955,0.0036159803350939,-0.0038395803231542,passive,0.001,6.0,unknown
04AF201.s2p,S12,0.0074305760450822,0.0074029613348178,0.3716361974746029,passive,0.001,3.0,unknown
04AF220.s2p,S12,0.0044168713239579,0.0044158461989954,0.0232093010483793,passive,0.001,6.0,unknown
04AF221.s2p,S12,0.0088995844204159,0.0090139427031215,-1.2849845262811774,passive,0.001,6.0,unknown
04AF251.s2p,S12,0.0088796161437657,0.0089968710378225,-1.3204950772465351,passive,0.001,6.0,unknown
04AF271.s2p,S12,0.0090432599638381,0.0091644693177377,-1.3403280938991349,passive,0.001,6.0,unknown
04AF301.s2p,S12,0.0089393991708458,0.0090562354768127,-1.3069816408683863,passive,0.001,6.0,unknown
04AF330.s2p,S12,0.0054829759401425,0.0054841984334954,-0.022296164824872,passive,0.001,6.0,unknown
04AF331.s2p,S12,0.007557607350155,0.0075320260583905,0.3384840013408614,passive,0.001,3.0,unknown
04AF360.s2p,S12,0.0054348562633686,0.005441086539634,-0.1146355296900707,passive,0.001,6.0,unknown
04AF361.s2p,S12,0.0093077224670289,0.0094268001263645,-1.2793426077903232,passive,0.001,6.0,unknown
04AF390.s2p,S12,0.0060400678758687,0.0060500722294232,-0.1656331312843378,passive,0.001,6.0,unknown
04AF391.s2p,S12,0.007775700457789,0.0077519238208471,0.3057812871128253,passive,0.001,3.0,unknown
04AF421.s2p,S12,0.0095775666914768,0.0096931439668783,-1.206749888825401,passive,0.001,6.0,unknown
04AF471.s2p,S12,0.0093733744893617,0.009478707643865,-1.1237484923156098,passive,0.001,6.0,unknown
04AF510.s2p,S12,0.0071474058190164,0.0071648139691577,-0.2435590000361145,passive,0.001,6.0,unknown
04AF560.s2p,S12,0.0077264149442162,0.0077550577434191,-0.370712670879019,passive,0.001,6.0,unknown
04AF561.s2p,S12,0.0095243742920452,0.0096228863384433,-1.0343151516040614,passive,0.001,6.0,unknown
04AF720.s2p,S12,0.0090331674702595,0.0090666983893358,-0.3711978017318951,passive,0.001,6.0,unknown
04AF780.s2p,S12,0.0087238438334803,0.0087636168866267,-0.455912025771656,passive,0.001,6.0,unknown
