file,Sij,baseline_test_MSE,ufrf_test_MSE,improvement_percent,device_type,freq_min_GHz,freq_max_GHz,family
0603CT_10N.s2p,S12,0.0091615047990136,0.0091353837258594,0.2851177151264922,passive,0.001,8.5,unknown
0603CT_11N.s2p,S12,0.0096962699467603,0.0097175905800383,-0.2198848979565307,passive,0.001,8.3,unknown
0603CT_12N.s2p,S12,0.0095926311590033,0.0095985881545812,-0.0620997042330268,passive,0.001,8.0,unknown
0603CT_15N.s2p,S12,0.0109249762959977,0.0109583563291316,-0.3055387236498691,passive,0.001,7.5,unknown
0603CT_16N.s2p,S12,0.0107328405834092,0.0108254119958925,-0.8625061721908378,passive,0.001,7.3,unknown
0603CT_18N.s2p,S12,0.0107127964652237,0.0108067042858931,-0.8765948365980829,passive,0.001,7.3,unknown
0603CT_1N0.s2p,S12,0.0059994050919163,0.0059803602432447,0.3174456196886451,passive,0.001,26.0,unknown
0603CT_1N2.s2p,S12,0.0075542217049689,0.0075297395402132,0.3240858649884128,passive,0.001,26.0,unknown
0603CT_20N.s2p,S12,0.0106368679607591,0.0107326784559372,-0.90073972462155,passive,0.001,7.3,unknown
0603CT_22N.s2p,S12,0.0102305270543325,0.0102955713429889,-0.635786292445368,passive,0.001,6.7,unknown
0603CT_24N.s2p,S12,0.0098721353476319,0.009953901235561,-0.8282492596571484,passive,0.001,6.5,unknown
0603CT_27N.s2p,S12,0.0098534037541588,0.0099375560899272,-0.8540433120161537,passive,0.001,6.5,unknown
0603CT_2N0.s2p,S12,0.0107480500152774,0.0107940576710364,-0.4280558398368358,passive,0.001,18.0,unknown
0603CT_2N2.s2p,S12,0.0130884515155745,0.0132268810899267,-1.0576466909584676,passive,0.001,17.5,unknown
0603CT_2N3.s2p,S12,0.0152845616456128,0.0154277497628541,-0.9368153340689448,passive,0.001,17.0,unknown
0603CT_2N5.s2p,S12,0.0152150773079975,0.0153612192340722,-0.9605072857428903,passive,0.001,17.0,unknown
0603CT_30N.s2p,S12,0.0108844211288921,0.010897112262773,-0.1165990706407346,passive,0.001,5.8,unknown
0603CT_33N.s2p,S12,0.0104276685219543,0.0104083005260937,0.1857365893422456,passive,0.001,5.6,unknown
0603CT_36N.s2p,S12,0.010562578789751,0.0105440039414727,0.1758552399750879,passive,0.001,5.6,unknown
0603CT_39N.s2p,S12,0.0104548170475994,0.0104279434116741,0.2570454920722818,passive,0.001,5.5,unknown
0603CT_3N0.s2p,S12,0.0114323921216081,0.0115463153138952,-0.9964947936991112,passive,0.001,17.0,unknown
0603CT_3N3.s2p,S12,0.0113926504501907,0.011396989510727,-0.0380864887874708,passive,0.001,16.0,unknown
0603CT_3N6.s2p,S12,0.0115554470326094,0.0115559653448415,-0.0044854364409608,passive,0.001,16.0,unknown
0603CT_3N9.s2p,S12,0.0121180595500469,0.0121790392778597,-0.5032136338412719,passive,0.001,14.0,unknown
0603CT_43N.s2p,S12,0.0104987653864283,0.0104727828734111,0.2474816043678107,passive,0.001,5.5,unknown
0603CT_47N.s2p,S12,0.010277114874318,0.0102517165911667,0.247134370510851,passive,0.001,5.4,unknown
0603CT_4N3.s2p,S12,0.0126906565606551,0.0127535792056861,-0.4958186736065598,passive,0.001,14.0,unknown
0603CT_4N7.s2p,S12,0.0132308605714031,0.0132444185230522,-0.1024721829384593,passive,0.001,15.0,unknown
0603CT_51N.s2p,S12,0.0102643146865107,0.0102392195715593,0.2444889475612613,passive,0.001,5.4,unknown
0603CT_56N.s2p,S12,0.0104897379060663,0.0104648101461454,0.2376394924653574,passive,0.001,5.4,unknown
0603CT_5N1.s2p,S12,0.0111091186298647,0.0110955514286215,0.1221267113552788,passive,0.001,16.0,unknown
0603CT_5N6.s2p,S12,0.0112659629099898,0.0113219598651478,-0.4970454421460667,passive,0.001,13.0,unknown
0603CT_6N8.s2p,S12,0.0099030010270583,0.0099393379877145,-0.3669287780234505,passive,0.001,9.7,unknown
0603CT_7N2.s2p,S12,0.0106665444903764,0.0107065231746128,-0.3748044577373554,passive,0.001,9.7,unknown
0603CT_8N2.s2p,S12,0.0098496563363886,0.0098922308087549,-0.4322432266907678,passive,0.001,9.7,unknown
0603CT_9N5.s2p,S12,0.0102268276089432,0.010237522236883,-0.1045742467633561,passive,0.001,9.0,unknown
