file,Sij,baseline_test_MSE,train_improvement_percent,gate_threshold_percent,gated
0603CT_10N.s2p,S12,0.004157151313919669,0.09024156415060912,2.0,False
0603CT_11N.s2p,S12,0.0033823875440694277,0.2841767326510378,2.0,False
0603CT_12N.s2p,S12,0.0038397705212576184,0.17127732120606057,2.0,False
0603CT_15N.s2p,S12,0.0042757774450547514,0.27124456911963213,2.0,False
0603CT_16N.s2p,S12,0.0065069728246726286,0.3139127306965618,2.0,False
0603CT_18N.s2p,S12,0.0065956408384692565,0.3327799950415321,2.0,False
0603CT_1N0.s2p,S12,0.003091566516991006,0.5975989845471701,2.0,False
0603CT_1N2.s2p,S12,0.0041708709349850305,0.46839155151042877,2.0,False
0603CT_20N.s2p,S12,0.006177819199144515,0.3869998698386724,2.0,False
0603CT_22N.s2p,S12,0.005981234543016819,0.33790993128304875,2.0,False
0603CT_24N.s2p,S12,0.006234195638757934,0.3470007418216339,2.0,False
0603CT_27N.s2p,S12,0.006134752124425114,0.392313279616486,2.0,False
0603CT_2N0.s2p,S12,0.00535110947518,0.44670326218273465,2.0,False
0603CT_2N2.s2p,S12,0.00998205927472218,0.744653325065766,2.0,False
0603CT_2N3.s2p,S12,0.009448408497418775,0.67824852695483,2.0,False
0603CT_2N5.s2p,S12,0.009413869909063215,0.6353908882408847,2.0,False
0603CT_30N.s2p,S12,0.006290054532149863,0.1459903622123066,2.0,False
0603CT_33N.s2p,S12,0.006468903236172698,0.12483607228714483,2.0,False
0603CT_36N.s2p,S12,0.006873348563691442,0.1247654103755677,2.0,False
0603CT_39N.s2p,S12,0.007555857116259956,0.11918599558277637,2.0,False
0603CT_3N0.s2p,S12,0.004327089130686097,0.27792550100728275,2.0,False
0603CT_3N3.s2p,S12,0.005413788616970497,0.15460959600406707,2.0,False
0603CT_3N6.s2p,S12,0.005943878775043943,0.1660032586424888,2.0,False
0603CT_3N9.s2p,S12,0.005822480294599375,0.2336686087251814,2.0,False
0603CT_43N.s2p,S12,0.008170880179305638,0.10832521962013772,2.0,False
0603CT_47N.s2p,S12,0.008180208778359312,0.09865238773306206,2.0,False
0603CT_4N3.s2p,S12,0.007134110839202179,0.2819238860582207,2.0,False
0603CT_4N7.s2p,S12,0.008245795273430964,0.27494314854481133,2.0,False
0603CT_51N.s2p,S12,0.008413653015959826,0.09575445897603163,2.0,False
0603CT_56N.s2p,S12,0.010098259869466145,0.07637682104689562,2.0,False
0603CT_5N1.s2p,S12,0.006155268309921167,0.1286106642060178,2.0,False
0603CT_5N6.s2p,S12,0.00476974283449422,0.1747744709549339,2.0,False
0603CT_6N8.s2p,S12,0.0038785014328125314,0.16877804312026826,2.0,False
0603CT_7N2.s2p,S12,0.005348619652314445,0.24497886481499934,2.0,False
0603CT_8N2.s2p,S12,0.00389497082181568,0.2122745427931662,2.0,False
0603CT_9N5.s2p,S12,0.004806257048186257,0.1622169836771559,2.0,False
