input,Sij,split,test_points,deg,ridge,n_cycles,gate,Z0,baseline_test_MSE,ufrf_test_MSE,improvement_percent,train_gain_used,used_ufrf,tau_est,phi0_est
RCER71E226MWM1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.157154180294879,1.157154180294879,0.0,0.002791244231193,False,4.08184142506272e-09,0.08126750986528401
RCER71E106K3DBH03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.026056090854538,2.026056090854538,0.0,0.001400852390804,False,6.233302526998208e-09,0.125029067501876
RCER71H335K3K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.349310696143626,2.349310696143626,0.0,0.0065754864543240005,False,9.655624114519991e-09,0.19412054759973402
RDEC71H226MWK1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.1284470030827851,1.1284470030827851,0.0,0.0028499289029140003,False,4.0021420064611555e-09,0.079244549536333
RCEC72A475MWM1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.4230154565072652,2.4230154565072652,0.0,0.0040770591869730005,False,8.895945755543016e-09,0.17884978056393003
RCER71H106MWK1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.105932120371249,2.105932120371249,0.0,0.0012954242773650002,False,6.496248147419632e-09,0.130224734553318
RDER71H335K3M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.349310711236201,2.349310711236201,0.0,0.006575498254319001,False,9.655619893483382e-09,0.19412046244807502
RDER71H335K3P1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.356450161720443,2.356450161720443,0.0,0.006455267073890001,False,9.61606363822625e-09,0.19343100417604603
RHEL81H475K3A2H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.4248001037360982,2.4248001037360982,0.0,0.003286486263808,False,8.614635399362476e-09,0.17328745603605603
RCEC71H106K3DBH03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.043228950532829,2.043228950532829,0.0,0.0013786236771950002,False,6.2835424273146395e-09,0.126048888577408
RCEC71H226MWM1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.1284470030827851,1.1284470030827851,0.0,0.0028499289029140003,False,4.0021420064611555e-09,0.079244549536333
RDEC71E476MWM1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.577509149727344,0.577509149727344,0.0,0.003322832135712,False,2.7245339352698984e-09,0.053867062872940005
RDEC72A475MWK1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.4230154565072652,2.4230154565072652,0.0,0.0040770591869730005,False,8.895945755543016e-09,0.17884978056393003
RCER71E335K2M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.357016161241295,2.357016161241295,0.0,0.0064451370734760005,False,9.610008643870441e-09,0.193271937641032
RHEL81E226MWM1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.157154180294879,1.157154180294879,0.0,0.002791244231193,False,4.08184142506272e-09,0.08126750986528401
RHEL81E106K3DBH03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.026054555707196,2.026054555707196,0.0,0.001400853292462,False,6.233300260836491e-09,0.125029021893923
RHEL81H335K3K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.349310711236201,2.349310711236201,0.0,0.006575498254319001,False,9.655619893483382e-09,0.19412046244807502
RCEC71H475K2DBH03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.427988298549641,2.427988298549641,0.0,0.0035967664846280004,False,8.721655142629207e-09,0.17548040820089503
RHEL81H106MWK1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.108247075050152,2.108247075050152,0.0,0.001297842884336,False,6.503940341664787e-09,0.13013115512039
RCER71E475K2DBH03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.427713731698867,2.427713731698867,0.0,0.00338339800493,False,8.660809107900588e-09,0.17424170978189102
RCER71H475K3A2H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.4248001037360982,2.4248001037360982,0.0,0.003286486263808,False,8.614635399362476e-09,0.17328745603605603
RCER71E475K2K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.426909139571592,2.426909139571592,0.0,0.003382923444309,False,8.672559941181013e-09,0.17423679402071102
RHEL81H475K3M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.424132001052954,2.424132001052954,0.0,0.003286048221757,False,8.624400175041233e-09,0.173282808454227
RCEC72A475K3A3H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.423312554575948,2.423312554575948,0.0,0.0035064536316450003,False,8.693416495791738e-09,0.17489348589946602
RDEC71H475K2P1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.428116824359011,2.428116824359011,0.0,0.0033955489646370005,False,8.667499403533072e-09,0.174257785773847
RDEC71H475K2M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.427628187811441,2.427628187811441,0.0,0.0033952197172160002,False,8.673326742632769e-09,0.17425437374371103
RDEC71E106K2S1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.059214572169315,2.059214572169315,0.0,0.0013573158946890002,False,6.3376352805997185e-09,0.127028113240093
RDEC71E475K2M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.425661468180203,2.425661468180203,0.0,0.0034083267419520004,False,8.667130850776233e-09,0.174124046441543
RHEL81H335K3DBH03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.362346935685562,2.362346935685562,0.0,0.006343411169392001,False,9.566207379651108e-09,0.192554246552848
RDEC71E475K2P1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.426143261183422,2.426143261183422,0.0,0.00340865708573,False,8.661303509893077e-09,0.17412746030220203
