file,Sij,baseline_test_MSE,train_improvement_percent,gate_threshold_percent,gated,device_type,freq_min_GHz,freq_max_GHz,family
04AF101.s2p,S21,0.0030127074050001,1.4690744710220436,2.0,False,passive,0.001,1.0,unknown
04AF141.s2p,S21,0.0087187254802029,0.3043468501932044,2.0,False,passive,0.001,6.0,unknown
04AF181.s2p,S21,0.0096034908980978,0.3317807661969839,2.0,False,passive,0.001,6.0,unknown
04AF200.s2p,S21,0.0032586648218552,0.186571131271074,2.0,False,passive,0.001,6.0,unknown
04AF201.s2p,S21,0.0071051783085516,0.0757242517158982,2.0,False,passive,0.001,3.0,unknown
04AF220.s2p,S21,0.0040755501686306,0.1755049363726707,2.0,False,passive,0.001,6.0,unknown
04AF221.s2p,S21,0.0089087835737537,0.3332031259531411,2.0,False,passive,0.001,6.0,unknown
04AF251.s2p,S21,0.0090228420403361,0.3384544284089383,2.0,False,passive,0.001,6.0,unknown
04AF271.s2p,S21,0.0090247452912346,0.3411148001901253,2.0,False,passive,0.001,6.0,unknown
04AF301.s2p,S21,0.0096434624274351,0.3403721217123205,2.0,False,passive,0.001,6.0,unknown
04AF330.s2p,S21,0.0049607246740797,0.1806282342492896,2.0,False,passive,0.001,6.0,unknown
04AF331.s2p,S21,0.0076162142075371,0.072438102360008,2.0,False,passive,0.001,3.0,unknown
04AF360.s2p,S21,0.0047822240745204,0.19415662802644,2.0,False,passive,0.001,6.0,unknown
04AF361.s2p,S21,0.0094826976943173,0.3263754999985786,2.0,False,passive,0.001,6.0,unknown
04AF390.s2p,S21,0.0056159892400169,0.1971417874684342,2.0,False,passive,0.001,6.0,unknown
04AF391.s2p,S21,0.0078339978745559,0.0730359571436554,2.0,False,passive,0.001,3.0,unknown
04AF421.s2p,S21,0.0099126028047118,0.3118984093273337,2.0,False,passive,0.001,6.0,unknown
04AF471.s2p,S21,0.0100003601016339,0.2979467753143311,2.0,False,passive,0.001,6.0,unknown
04AF510.s2p,S21,0.0065380839504721,0.2102066168004474,2.0,False,passive,0.001,6.0,unknown
04AF560.s2p,S21,0.0074317303824948,0.2177890441103096,2.0,False,passive,0.001,6.0,unknown
04AF561.s2p,S21,0.0101893888664044,0.2855292310395207,2.0,False,passive,0.001,6.0,unknown
04AF720.s2p,S21,0.0089272221226548,0.2315667686043968,2.0,False,passive,0.001,6.0,unknown
04AF780.s2p,S21,0.0084908042563867,0.2291972786939967,2.0,False,passive,0.001,6.0,unknown
