file,input,Sij,split,test_points,deg,ridge,n_cycles,gate,Z0,baseline_test_MSE,ufrf_test_MSE,improvement_percent,train_gain_used,used_ufrf,tau_est,phi0_est
04AF101.s2p,04AF101.s2p,S21,block,30,3,0.001,13,0.02,50.0,0.2751047745083998,0.2751047745083998,0.0,0.005335301393463209,False,6.196870361745327e-10,-0.0321351644900365
04AF141.s2p,04AF141.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.15844302149782938,0.15844302149782938,0.0,0.0021885708441460932,False,2.6351015550049956e-10,-0.15686475546425654
04AF181.s2p,04AF181.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.10742734973885337,0.10742734973885337,0.0,0.0024518068968553733,False,3.063501589816176e-10,-0.18255962120892974
04AF200.s2p,04AF200.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.19288588045067323,0.19288588045067323,0.0,0.00483516637082745,False,9.692476917881221e-11,-0.028121753148910265
04AF201.s2p,04AF201.s2p,S21,block,70,3,0.001,13,0.02,50.0,0.165801942760075,0.165801942760075,0.0,0.0019162140486157302,False,5.143459781044827e-10,-0.14701513479084835
04AF220.s2p,04AF220.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.15616133714017916,0.15616133714017916,0.0,0.004756051558576135,False,1.0252541661345742e-10,-0.03185106988613036
04AF221.s2p,04AF221.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.0465979017803914,0.0465979017803914,0.0,0.002344843371283131,False,3.1509372287454085e-10,-0.2041004304175624
04AF251.s2p,04AF251.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.02538768404824839,0.02538768404824839,0.0,0.002829965395881334,False,3.391325139980765e-10,-0.21669597917233818
04AF271.s2p,04AF271.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.00926094843229977,0.00926094843229977,0.0,0.0021746127404350646,False,3.326231204508419e-10,-0.2295889428941011
04AF301.s2p,04AF301.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.005244286484024764,0.005244286484024764,0.0,0.0037142295931108693,False,3.52722943212429e-10,-0.23909588443816968
04AF330.s2p,04AF330.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.11527209721618843,0.11527209721618843,0.0,0.004521242269943962,False,1.3317767459221548e-10,-0.046415970219837135
04AF331.s2p,04AF331.s2p,S21,block,70,3,0.001,13,0.02,50.0,0.03158722465850063,0.03158722465850063,0.0,0.0015953897818053197,False,6.004602643957325e-10,-0.20945147655056695
04AF360.s2p,04AF360.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.1254761411649605,0.1254761411649605,0.0,0.004324758322652098,False,1.418432190893827e-10,-0.04925825771580686
04AF361.s2p,04AF361.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.004401619913675018,0.004401619913675018,0.0,0.0031654502132129523,False,3.760615376970166e-10,-0.26442252309420405
04AF390.s2p,04AF390.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.11486253047008785,0.11486253047008785,0.0,0.0037438986744500265,False,1.4091661124548912e-10,-0.05880049992839557
04AF391.s2p,04AF391.s2p,S21,block,70,3,0.001,13,0.02,50.0,0.008769084245824885,0.008769084245824885,0.0,0.0016092663391693827,False,6.437641746170045e-10,-0.23272727573614435
04AF421.s2p,04AF421.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.01997829973078693,0.01997829973078693,0.0,0.004043704338336256,False,4.1162369068318513e-10,-0.28471758703292177
04AF471.s2p,04AF471.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.03676941610498214,0.03676941610498214,0.0,0.005023740316121236,False,4.225994191086365e-10,-0.29835229152785064
04AF510.s2p,04AF510.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.18322313576066065,0.18322313576066065,0.0,0.003696483309743384,False,1.7635898439450521e-10,-0.0708315155524245
04AF560.s2p,04AF560.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.17280923691340525,0.17280923691340525,0.0,0.002940018397106412,False,1.677804437465579e-10,-0.08381889686596632
04AF561.s2p,04AF561.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.07712375954889175,0.07712375954889175,0.0,0.004825844044739093,False,4.214139018630138e-10,-0.32665801414459633
04AF720.s2p,04AF720.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.25940410812093456,0.25940410812093456,0.0,0.00404841309153062,False,2.0564853997677007e-10,-0.09395685236285238
04AF780.s2p,04AF780.s2p,S21,block,37,3,0.001,13,0.02,50.0,0.24782567375003983,0.24782567375003983,0.0,0.003219848772826056,False,2.0802122891101416e-10,-0.10227836652669058
