file,Sij,baseline_test_MSE,train_improvement_percent,gate_threshold_percent,gated,device_type,freq_min_GHz,freq_max_GHz,family
0603CT_10N.s2p,S21,0.0041571513139202,0.0902415641478652,2.0,False,passive,0.001,8.5,unknown
0603CT_11N.s2p,S21,0.0033823875440694,0.2841767326510378,2.0,False,passive,0.001,8.3,unknown
0603CT_12N.s2p,S21,0.0038397705212576,0.1712773212060605,2.0,False,passive,0.001,8.0,unknown
0603CT_15N.s2p,S21,0.0042757774450547,0.2712445691196321,2.0,False,passive,0.001,7.5,unknown
0603CT_16N.s2p,S21,0.0065069728246726,0.3139127306965618,2.0,False,passive,0.001,7.3,unknown
0603CT_18N.s2p,S21,0.0065956408384692,0.3327799950415321,2.0,False,passive,0.001,7.3,unknown
0603CT_1N0.s2p,S21,0.00309156651699,0.597598984547899,2.0,False,passive,0.001,26.0,unknown
0603CT_1N2.s2p,S21,0.004170870934985,0.4683915515105342,2.0,False,passive,0.001,26.0,unknown
0603CT_20N.s2p,S21,0.0061778191991445,0.3869998698386724,2.0,False,passive,0.001,7.3,unknown
0603CT_22N.s2p,S21,0.0059812345430168,0.3379099312830487,2.0,False,passive,0.001,6.7,unknown
0603CT_24N.s2p,S21,0.0062341956387579,0.3470007418216339,2.0,False,passive,0.001,6.5,unknown
0603CT_27N.s2p,S21,0.0061347521244251,0.392313279616486,2.0,False,passive,0.001,6.5,unknown
0603CT_2N0.s2p,S21,0.0053511094751798,0.4467032621861632,2.0,False,passive,0.001,18.0,unknown
0603CT_2N2.s2p,S21,0.0099820592747205,0.7446533250661537,2.0,False,passive,0.001,17.5,unknown
0603CT_2N3.s2p,S21,0.0094484084974173,0.678248526959863,2.0,False,passive,0.001,17.0,unknown
0603CT_2N5.s2p,S21,0.0094138699090584,0.6353908882416018,2.0,False,passive,0.001,17.0,unknown
0603CT_30N.s2p,S21,0.0062900545321498,0.1459903622123066,2.0,False,passive,0.001,5.8,unknown
0603CT_33N.s2p,S21,0.006468903236173,0.1248360722847056,2.0,False,passive,0.001,5.6,unknown
0603CT_36N.s2p,S21,0.0068733485636914,0.1247654103755677,2.0,False,passive,0.001,5.6,unknown
0603CT_39N.s2p,S21,0.0075558571162599,0.1191859955827763,2.0,False,passive,0.001,5.5,unknown
0603CT_3N0.s2p,S21,0.004327089130685,0.277925501007743,2.0,False,passive,0.001,17.0,unknown
0603CT_3N3.s2p,S21,0.0054137886169695,0.1546095960020789,2.0,False,passive,0.001,16.0,unknown
0603CT_3N6.s2p,S21,0.0059438787750439,0.1660032586425382,2.0,False,passive,0.001,16.0,unknown
0603CT_3N9.s2p,S21,0.0058224802945993,0.2336686087251814,2.0,False,passive,0.001,14.0,unknown
0603CT_43N.s2p,S21,0.0081708801793056,0.1083252196201377,2.0,False,passive,0.001,5.5,unknown
0603CT_47N.s2p,S21,0.0081802087783593,0.098652387733062,2.0,False,passive,0.001,5.4,unknown
0603CT_4N3.s2p,S21,0.0071341108392023,0.2819238860531623,2.0,False,passive,0.001,14.0,unknown
0603CT_4N7.s2p,S21,0.0082457952734309,0.2749431485448113,2.0,False,passive,0.001,15.0,unknown
0603CT_51N.s2p,S21,0.0084136530159598,0.0957544589760316,2.0,False,passive,0.001,5.4,unknown
0603CT_56N.s2p,S21,0.0100982598694661,0.0763768210468956,2.0,False,passive,0.001,5.4,unknown
0603CT_5N1.s2p,S21,0.0061552683099219,0.1286106642071838,2.0,False,passive,0.001,16.0,unknown
0603CT_5N6.s2p,S21,0.0047697428344949,0.1747744709536735,2.0,False,passive,0.001,13.0,unknown
0603CT_6N8.s2p,S21,0.0038785014328135,0.1687780431241714,2.0,False,passive,0.001,9.7,unknown
0603CT_7N2.s2p,S21,0.0053486196523144,0.2449788648149993,2.0,False,passive,0.001,9.7,unknown
0603CT_8N2.s2p,S21,0.0038949708218152,0.2122745427931662,2.0,False,passive,0.001,9.7,unknown
0603CT_9N5.s2p,S21,0.0048062570481875,0.1622169836800621,2.0,False,passive,0.001,9.0,unknown
