file,input,Sij,split,test_points,deg,ridge,n_cycles,gate,Z0,baseline_test_MSE,ufrf_test_MSE,improvement_percent,train_gain_used,used_ufrf,tau_est,phi0_est
0603CT_10N.s2p,0603CT_10N.s2p,S21,block,182,3,0.001,13,0.02,50.0,0.7847682236836294,0.7847682236836294,0.0,0.004659258293062841,False,8.973146300767032e-11,-0.00452120855669844
0603CT_11N.s2p,0603CT_11N.s2p,S21,block,181,3,0.001,13,0.02,50.0,0.7171747457104249,0.7171747457104249,0.0,0.004610455543766772,False,9.71116972366733e-11,-0.005523181360688891
0603CT_12N.s2p,0603CT_12N.s2p,S21,block,181,3,0.001,13,0.02,50.0,0.6567370808301288,0.6567370808301288,0.0,0.0045628898356119,False,1.0466945787935671e-10,-0.006360436921286648
0603CT_15N.s2p,0603CT_15N.s2p,S21,block,179,3,0.001,13,0.02,50.0,0.49250620132831396,0.49250620132831396,0.0,0.00452772826812823,False,1.252510835065693e-10,-0.009571594024180084
0603CT_16N.s2p,0603CT_16N.s2p,S21,block,179,3,0.001,13,0.02,50.0,0.44399723437864225,0.44399723437864225,0.0,0.0044997375851610665,False,1.3219549954953631e-10,-0.010478498212640672
0603CT_18N.s2p,0603CT_18N.s2p,S21,block,179,3,0.001,13,0.02,50.0,0.35646276064091953,0.35646276064091953,0.0,0.00456213007644162,False,1.433983690016173e-10,-0.013475559980193895
0603CT_1N0.s2p,0603CT_1N0.s2p,S21,block,204,3,0.001,13,0.02,50.0,0.9956764787252712,0.9956764787252712,0.0,0.006675637075104838,False,9.944016845657062e-12,-4.6981104735741906e-05
0603CT_1N2.s2p,0603CT_1N2.s2p,S21,block,204,3,0.001,13,0.02,50.0,1.077889933716822,1.077889933716822,0.0,0.006656383563800439,False,1.190243916340531e-11,-8.19231174496425e-05
0603CT_20N.s2p,0603CT_20N.s2p,S21,block,179,3,0.001,13,0.02,50.0,0.2975984685157523,0.2975984685157523,0.0,0.00461939454391403,False,1.5368703879932492e-10,-0.016697545576339966
0603CT_22N.s2p,0603CT_22N.s2p,S21,block,177,3,0.001,13,0.02,50.0,0.28200899272683566,0.28200899272683566,0.0,0.004571720890620155,False,1.6738673674849876e-10,-0.017711426907234512
0603CT_24N.s2p,0603CT_24N.s2p,S21,block,176,3,0.001,13,0.02,50.0,0.25386941635312854,0.25386941635312854,0.0,0.004567144488648067,False,1.780466318066294e-10,-0.020142442480039883
0603CT_27N.s2p,0603CT_27N.s2p,S21,block,176,3,0.001,13,0.02,50.0,0.22370525935935257,0.22370525935935257,0.0,0.004539853239700931,False,1.9104654809775054e-10,-0.02485319501912104
0603CT_2N0.s2p,0603CT_2N0.s2p,S21,block,197,3,0.001,13,0.02,50.0,1.0924073094822275,1.0924073094822275,0.0,0.006292318372121909,False,1.9815466431904155e-11,-0.000123801308778079
0603CT_2N2.s2p,0603CT_2N2.s2p,S21,block,196,3,0.001,13,0.02,50.0,1.0561794171022518,1.0561794171022518,0.0,0.006298883436878164,False,2.1833524504772014e-11,-0.00010390445863399324
0603CT_2N3.s2p,0603CT_2N3.s2p,S21,block,196,3,0.001,13,0.02,50.0,1.077853723266368,1.077853723266368,0.0,0.006232710781591445,False,2.278849566724032e-11,-0.0001361852780640173
0603CT_2N5.s2p,0603CT_2N5.s2p,S21,block,196,3,0.001,13,0.02,50.0,1.0953149843188907,1.0953149843188907,0.0,0.006148390625709274,False,2.467269390793689e-11,-0.000217207427895469
0603CT_30N.s2p,0603CT_30N.s2p,S21,block,174,3,0.001,13,0.02,50.0,0.2213520832424155,0.2213520832424155,0.0,0.00445643105714994,False,2.116467803658402e-10,-0.02553524799934281
0603CT_33N.s2p,0603CT_33N.s2p,S21,block,173,3,0.001,13,0.02,50.0,0.21048690567326353,0.21048690567326353,0.0,0.004377336499183656,False,2.2521968166089856e-10,-0.02899490588648198
0603CT_36N.s2p,0603CT_36N.s2p,S21,block,173,3,0.001,13,0.02,50.0,0.21126432508249823,0.21126432508249823,0.0,0.004264005829950309,False,2.367945687055487e-10,-0.033329053269857155
0603CT_39N.s2p,0603CT_39N.s2p,S21,block,173,3,0.001,13,0.02,50.0,0.21658682238499807,0.21658682238499807,0.0,0.0041465553597444214,False,2.49739318353752e-10,-0.03650004883254655
0603CT_3N0.s2p,0603CT_3N0.s2p,S21,block,196,3,0.001,13,0.02,50.0,1.1648582152473284,1.1648582152473284,0.0,0.0059008936096541465,False,2.9170347040602724e-11,-0.0005928686030254005
0603CT_3N3.s2p,0603CT_3N3.s2p,S21,block,194,3,0.001,13,0.02,50.0,1.132373477602088,1.132373477602088,0.0,0.005813722478435162,False,3.203863303649538e-11,-0.0006623884639150345
0603CT_3N6.s2p,0603CT_3N6.s2p,S21,block,194,3,0.001,13,0.02,50.0,1.113117880466861,1.113117880466861,0.0,0.005709331475838905,False,3.4728284050931026e-11,-0.0008836231530027921
0603CT_3N9.s2p,0603CT_3N9.s2p,S21,block,192,3,0.001,13,0.02,50.0,1.1204540757551211,1.1204540757551211,0.0,0.005650034750506737,False,3.772986365325145e-11,-0.0008054750949612628
0603CT_43N.s2p,0603CT_43N.s2p,S21,block,173,3,0.001,13,0.02,50.0,0.23340145530775014,0.23340145530775014,0.0,0.003956028193885759,False,2.6271455094905846e-10,-0.041933484370918886
0603CT_47N.s2p,0603CT_47N.s2p,S21,block,173,3,0.001,13,0.02,50.0,0.250688236455781,0.250688236455781,0.0,0.003782252043394445,False,2.7742024632789073e-10,-0.04645127278570549
0603CT_4N3.s2p,0603CT_4N3.s2p,S21,block,192,3,0.001,13,0.02,50.0,1.0813057374413626,1.0813057374413626,0.0,0.0055247149276765875,False,4.1249246368779965e-11,-0.0010995316765509144
0603CT_4N7.s2p,0603CT_4N7.s2p,S21,block,193,3,0.001,13,0.02,50.0,1.0088834916707676,1.0088834916707676,0.0,0.00537385042107865,False,4.436054822767268e-11,-0.0017362410207415906
0603CT_51N.s2p,0603CT_51N.s2p,S21,block,173,3,0.001,13,0.02,50.0,0.27029410406066073,0.27029410406066073,0.0,0.0035841538741532343,False,2.8821752540317533e-10,-0.05166989964416699
0603CT_56N.s2p,0603CT_56N.s2p,S21,block,173,3,0.001,13,0.02,50.0,0.30701364810893866,0.30701364810893866,0.0,0.003343025133047173,False,3.0285891589400823e-10,-0.05785087833935241
0603CT_5N1.s2p,0603CT_5N1.s2p,S21,block,194,3,0.001,13,0.02,50.0,0.928175624473557,0.928175624473557,0.0,0.005246731373117915,False,4.7213920445673035e-11,-0.002613993747653304
0603CT_5N6.s2p,0603CT_5N6.s2p,S21,block,190,3,0.001,13,0.02,50.0,0.991035957585995,0.991035957585995,0.0,0.005196491719260909,False,5.232680542640241e-11,-0.002202038117035234
0603CT_6N8.s2p,0603CT_6N8.s2p,S21,block,184,3,0.001,13,0.02,50.0,1.0121873971228732,1.0121873971228732,0.0,0.005033100960101106,False,6.378657117102512e-11,-0.0020624787248377913
0603CT_7N2.s2p,0603CT_7N2.s2p,S21,block,184,3,0.001,13,0.02,50.0,0.9611057142881015,0.9611057142881015,0.0,0.0049556198886696575,False,6.717362220691232e-11,-0.0023688566751637777
0603CT_8N2.s2p,0603CT_8N2.s2p,S21,block,184,3,0.001,13,0.02,50.0,0.8703978793331454,0.8703978793331454,0.0,0.004828497380909785,False,7.47606576377446e-11,-0.0035207043648024026
