file,Sij,baseline_test_MSE,train_improvement_percent,gate_threshold_percent,gated,device_type,freq_min_GHz,freq_max_GHz,family
RCEC71H106K3A2H03B_DC0V_25degC_series.s2p,S21,0.0054375645720457,0.3711668876479516,2.0,False,passive,1e-07,0.1,RCEC
RCEC71H106K3DBH03A_DC0V_25degC_series.s2p,S21,0.0054375645720457,0.3711668876479516,2.0,False,passive,1e-07,0.1,RCEC
RCEC71H106K3K1H03B_DC0V_25degC_series.s2p,S21,0.0054370909763923,0.370981412702176,2.0,False,passive,1e-07,0.1,RCEC
RCEC71H106K3M1H03A_DC0V_25degC_series.s2p,S21,0.0054370909763923,0.370981412702176,2.0,False,passive,1e-07,0.1,RCEC
RCEC71H226MWK1H03B_DC0V_25degC_series.s2p,S21,0.002548489006685,0.2211849928689658,2.0,False,passive,1e-07,0.1,RCEC
RCEC71H226MWM1H03A_DC0V_25degC_series.s2p,S21,0.002548489006685,0.2211849928689658,2.0,False,passive,1e-07,0.1,RCEC
RCEC71H475K2A2H03B_DC0V_25degC_series.s2p,S21,0.0088496265188231,0.4118351869314654,2.0,False,passive,1e-07,0.1,RCEC
RCEC71H475K2DBH03A_DC0V_25degC_series.s2p,S21,0.0088496265188231,0.4118351869314654,2.0,False,passive,1e-07,0.1,RCEC
RCEC71H475K2K1H03B_DC0V_25degC_series.s2p,S21,0.0088489060254854,0.4117869841503089,2.0,False,passive,1e-07,0.1,RCEC
RCEC71H475K2M1H03A_DC0V_25degC_series.s2p,S21,0.0088489060254854,0.4117869841503089,2.0,False,passive,1e-07,0.1,RCEC
RCEC72A475K3A3H03B_DC0V_25degC_series.s2p,S21,0.0087186422157801,0.4142812314169066,2.0,False,passive,1e-07,0.1,RCEC
RCEC72A475K3DNH03A_DC0V_25degC_series.s2p,S21,0.0087186422157801,0.4142812314169066,2.0,False,passive,1e-07,0.1,RCEC
RCEC72A475K3K1H03B_DC0V_25degC_series.s2p,S21,0.0087178756710135,0.4142388370294995,2.0,False,passive,1e-07,0.1,RCEC
RCEC72A475K3M1H03A_DC0V_25degC_series.s2p,S21,0.0087178756710135,0.4142388370294995,2.0,False,passive,1e-07,0.1,RCEC
RCEC72A475MWK1H03B_DC0V_25degC_series.s2p,S21,0.0091024113192147,0.4031072946649364,2.0,False,passive,1e-07,0.1,RCEC
RCEC72A475MWM1H03A_DC0V_25degC_series.s2p,S21,0.0091024113192147,0.4031072946649364,2.0,False,passive,1e-07,0.1,RCEC
RCER71E106K3A2H03B_DC0V_25degC_series.s2p,S21,0.0053505871961898,0.3672126920241725,2.0,False,passive,1e-07,0.1,RCER
RCER71E106K3DBH03A_DC0V_25degC_series.s2p,S21,0.0053505871961898,0.3672126920241725,2.0,False,passive,1e-07,0.1,RCER
RCER71E106K3K1H03B_DC0V_25degC_series.s2p,S21,0.0053501210130669,0.3670251272238399,2.0,False,passive,1e-07,0.1,RCER
RCER71E106K3M1H03A_DC0V_25degC_series.s2p,S21,0.0053501210130669,0.3670251272238399,2.0,False,passive,1e-07,0.1,RCER
RCER71E226MWK1H03B_DC0V_25degC_series.s2p,S21,0.0026516803720997,0.2241305332835105,2.0,False,passive,1e-07,0.1,RCER
RCER71E226MWM1H03A_DC0V_25degC_series.s2p,S21,0.0026516803720997,0.2241305332835105,2.0,False,passive,1e-07,0.1,RCER
RCER71E335K2M1H03A_DC0V_25degC_series.s2p,S21,0.0102377208292224,0.3650728654424717,2.0,False,passive,1e-07,0.1,RCER
RCER71E475K2A2H03B_DC0V_25degC_series.s2p,S21,0.0087440927518006,0.4156583093085942,2.0,False,passive,1e-07,0.1,RCER
RCER71E475K2DBH03A_DC0V_25degC_series.s2p,S21,0.0087440927518006,0.4156583093085942,2.0,False,passive,1e-07,0.1,RCER
RCER71E475K2K1H03B_DC0V_25degC_series.s2p,S21,0.0087434004649084,0.4156040780204129,2.0,False,passive,1e-07,0.1,RCER
RCER71E475K2M1H03A_DC0V_25degC_series.s2p,S21,0.0087434004649084,0.4156040780204129,2.0,False,passive,1e-07,0.1,RCER
RCER71H106MWK1H03B_DC0V_25degC_series.s2p,S21,0.0056874889867142,0.3810874851977355,2.0,False,passive,1e-07,0.1,RCER
RCER71H106MWM1H03A_DC0V_25degC_series.s2p,S21,0.0056874889867142,0.3810874851977355,2.0,False,passive,1e-07,0.1,RCER
RCER71H335K3A2H03B_DC0V_25degC_series.s2p,S21,0.0103684306264179,0.3599897726835687,2.0,False,passive,1e-07,0.1,RCER
RCER71H335K3DBH03A_DC0V_25degC_series.s2p,S21,0.0103684306264179,0.3599897726835687,2.0,False,passive,1e-07,0.1,RCER
RCER71H335K3K1H03B_DC0V_25degC_series.s2p,S21,0.0102996896499328,0.3624503342318628,2.0,False,passive,1e-07,0.1,RCER
RCER71H335K3M1H03A_DC0V_25degC_series.s2p,S21,0.0102996896499328,0.3624503342318628,2.0,False,passive,1e-07,0.1,RCER
RCER71H475K3A2H03B_DC0V_25degC_series.s2p,S21,0.0086254254273375,0.415850667573331,2.0,False,passive,1e-07,0.1,RCER
RCER71H475K3DBH03A_DC0V_25degC_series.s2p,S21,0.0086254254273375,0.415850667573331,2.0,False,passive,1e-07,0.1,RCER
RCER71H475K3K1H03B_DC0V_25degC_series.s2p,S21,0.008624668058664,0.4158035670256559,2.0,False,passive,1e-07,0.1,RCER
RCER71H475K3M1H03A_DC0V_25degC_series.s2p,S21,0.008624668058664,0.4158035670256559,2.0,False,passive,1e-07,0.1,RCER
RDEC71E106K2K1H03B_DC0V_25degC_series.s2p,S21,0.0054948006559221,0.3743014543301696,2.0,False,passive,1e-07,0.1,RDEC
RDEC71E106K2M1H03A_DC0V_25degC_series.s2p,S21,0.0054948006559221,0.3743014543301696,2.0,False,passive,1e-07,0.1,RDEC
RDEC71E106K2P1H03B_DC0V_25degC_series.s2p,S21,0.0054952276695478,0.374419748489644,2.0,False,passive,1e-07,0.1,RDEC
RDEC71E106K2S1H03A_DC0V_25degC_series.s2p,S21,0.0054952276695478,0.374419748489644,2.0,False,passive,1e-07,0.1,RDEC
RDEC71E226K3K1H03B_DC0V_25degC_series.s2p,S21,0.0031064645005126,0.2460503906028888,2.0,False,passive,1e-07,0.1,RDEC
RDEC71E226K3M1H03A_DC0V_25degC_series.s2p,S21,0.0031064645005126,0.2460503906028888,2.0,False,passive,1e-07,0.1,RDEC
RDEC71E226K3P1H03B_DC0V_25degC_series.s2p,S21,0.0031067473923554,0.2461450544139123,2.0,False,passive,1e-07,0.1,RDEC
RDEC71E226K3S1H03A_DC0V_25degC_series.s2p,S21,0.0031067473923554,0.2461450544139123,2.0,False,passive,1e-07,0.1,RDEC
RDEC71E475K2K1H03B_DC0V_25degC_series.s2p,S21,0.0087106739072966,0.4150996442768794,2.0,False,passive,1e-07,0.1,RDEC
RDEC71E475K2M1H03A_DC0V_25degC_series.s2p,S21,0.0087106739072966,0.4150996442768794,2.0,False,passive,1e-07,0.1,RDEC
RDEC71E475K2P1H03B_DC0V_25degC_series.s2p,S21,0.0087113374960775,0.4151267431987734,2.0,False,passive,1e-07,0.1,RDEC
RDEC71E475K2S1H03A_DC0V_25degC_series.s2p,S21,0.0087113374960775,0.4151267431987734,2.0,False,passive,1e-07,0.1,RDEC
RDEC71E476MWK1H03B_DC0V_25degC_series.s2p,S21,0.0012111615165043,0.1485614541579497,2.0,False,passive,1e-07,0.1,RDEC
RDEC71E476MWM1H03A_DC0V_25degC_series.s2p,S21,0.0012111615165043,0.1485614541579497,2.0,False,passive,1e-07,0.1,RDEC
RDEC71H106K3K1H03B_DC0V_25degC_series.s2p,S21,0.0055610902435147,0.3765823219622989,2.0,False,passive,1e-07,0.1,RDEC
RDEC71H106K3M1H03A_DC0V_25degC_series.s2p,S21,0.0055610902435147,0.3765823219622989,2.0,False,passive,1e-07,0.1,RDEC
RDEC71H106K3P1H03B_DC0V_25degC_series.s2p,S21,0.0055615306389841,0.3766620299260972,2.0,False,passive,1e-07,0.1,RDEC
RDEC71H106K3S1H03A_DC0V_25degC_series.s2p,S21,0.0055615306389841,0.3766620299260972,2.0,False,passive,1e-07,0.1,RDEC
RDEC71H226MWK1H03B_DC0V_25degC_series.s2p,S21,0.002548489006685,0.2211849928689658,2.0,False,passive,1e-07,0.1,RDEC
RDEC71H226MWM1H03A_DC0V_25degC_series.s2p,S21,0.002548489006685,0.2211849928689658,2.0,False,passive,1e-07,0.1,RDEC
RDEC71H475K2K1H03B_DC0V_25degC_series.s2p,S21,0.008759850102044,0.4143317988119381,2.0,False,passive,1e-07,0.1,RDEC
RDEC71H475K2M1H03A_DC0V_25degC_series.s2p,S21,0.008759850102044,0.4143317988119381,2.0,False,passive,1e-07,0.1,RDEC
RDEC71H475K2P1H03B_DC0V_25degC_series.s2p,S21,0.0087605279474537,0.4143582423550561,2.0,False,passive,1e-07,0.1,RDEC
RDEC71H475K2S1H03A_DC0V_25degC_series.s2p,S21,0.0087605279474537,0.4143582423550561,2.0,False,passive,1e-07,0.1,RDEC
RDEC72A475K3K1H03B_DC0V_25degC_series.s2p,S21,0.008722709131379,0.4141178473122919,2.0,False,passive,1e-07,0.1,RDEC
RDEC72A475K3M1H03A_DC0V_25degC_series.s2p,S21,0.008722709131379,0.4141178473122919,2.0,False,passive,1e-07,0.1,RDEC
RDEC72A475K3P1H03B_DC0V_25degC_series.s2p,S21,0.0087233651089386,0.4141340292495871,2.0,False,passive,1e-07,0.1,RDEC
RDEC72A475K3S1H03A_DC0V_25degC_series.s2p,S21,0.0087233651089386,0.4141340292495871,2.0,False,passive,1e-07,0.1,RDEC
RDEC72A475MWK1H03B_DC0V_25degC_series.s2p,S21,0.0091024113192147,0.4031072946649364,2.0,False,passive,1e-07,0.1,RDEC
RDEC72A475MWM1H03A_DC0V_25degC_series.s2p,S21,0.0091024113192147,0.4031072946649364,2.0,False,passive,1e-07,0.1,RDEC
RDER71H335K3K1H03B_DC0V_25degC_series.s2p,S21,0.0102996834288228,0.3624502162475703,2.0,False,passive,1e-07,0.1,RDER
RDER71H335K3M1H03A_DC0V_25degC_series.s2p,S21,0.0102996834288228,0.3624502162475703,2.0,False,passive,1e-07,0.1,RDER
RDER71H335K3P1H03B_DC0V_25degC_series.s2p,S21,0.0102488077413528,0.3644617739587722,2.0,False,passive,1e-07,0.1,RDER
RDER71H335K3S1H03A_DC0V_25degC_series.s2p,S21,0.0102488077413528,0.3644617739587722,2.0,False,passive,1e-07,0.1,RDER
RHEL81E106K3A2H03B_DC0V_25degC_series.s2p,S21,0.0053505820346663,0.3672125553773754,2.0,False,passive,1e-07,0.1,RHEL
RHEL81E106K3DBH03A_DC0V_25degC_series.s2p,S21,0.0053505820346663,0.3672125553773754,2.0,False,passive,1e-07,0.1,RHEL
RHEL81E106K3K1H03B_DC0V_25degC_series.s2p,S21,0.0053501188752018,0.3670250327761686,2.0,False,passive,1e-07,0.1,RHEL
RHEL81E106K3M1H03A_DC0V_25degC_series.s2p,S21,0.0053501188752018,0.3670250327761686,2.0,False,passive,1e-07,0.1,RHEL
RHEL81E226MWK1H03B_DC0V_25degC_series.s2p,S21,0.0026516803720997,0.2241305332835105,2.0,False,passive,1e-07,0.1,RHEL
RHEL81E226MWM1H03A_DC0V_25degC_series.s2p,S21,0.0026516803720997,0.2241305332835105,2.0,False,passive,1e-07,0.1,RHEL
RHEL81H106MWK1H03B_DC0V_25degC_series.s2p,S21,0.0056984051525631,0.3843038399632936,2.0,False,passive,1e-07,0.1,RHEL
RHEL81H106MWM1H03A_DC0V_25degC_series.s2p,S21,0.0056984051525631,0.3843038399632936,2.0,False,passive,1e-07,0.1,RHEL
RHEL81H335K3A2H03B_DC0V_25degC_series.s2p,S21,0.0101734267368349,0.3667364959743583,2.0,False,passive,1e-07,0.1,RHEL
RHEL81H335K3DBH03A_DC0V_25degC_series.s2p,S21,0.0101734267368349,0.3667364959743583,2.0,False,passive,1e-07,0.1,RHEL
RHEL81H335K3K1H03B_DC0V_25degC_series.s2p,S21,0.0102996834288228,0.3624502162475703,2.0,False,passive,1e-07,0.1,RHEL
RHEL81H335K3M1H03A_DC0V_25degC_series.s2p,S21,0.0102996834288228,0.3624502162475703,2.0,False,passive,1e-07,0.1,RHEL
RHEL81H475K3A2H03B_DC0V_25degC_series.s2p,S21,0.0086254254273375,0.415850667573331,2.0,False,passive,1e-07,0.1,RHEL
RHEL81H475K3DBH03A_DC0V_25degC_series.s2p,S21,0.0086254254273375,0.415850667573331,2.0,False,passive,1e-07,0.1,RHEL
