file,input,Sij,split,test_points,deg,ridge,n_cycles,gate,Z0,baseline_test_MSE,ufrf_test_MSE,improvement_percent,train_gain_used,used_ufrf,tau_est,phi0_est
RCEC71H106K3A2H03B_DC0V_25degC_series.s2p,RCEC71H106K3A2H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.0432289505328294,2.0432289505328294,0.0,0.0013786236771959617,False,6.2835424273146395e-09,0.12604888857740823
RCEC71H106K3DBH03A_DC0V_25degC_series.s2p,RCEC71H106K3DBH03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.0432289505328294,2.0432289505328294,0.0,0.0013786236771959617,False,6.2835424273146395e-09,0.12604888857740823
RCEC71H106K3K1H03B_DC0V_25degC_series.s2p,RCEC71H106K3K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.0463063301836977,2.0463063301836977,0.0,0.0013786783727615173,False,6.293267875804e-09,0.12604346711745198
RCEC71H106K3M1H03A_DC0V_25degC_series.s2p,RCEC71H106K3M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.0463063301836977,2.0463063301836977,0.0,0.0013786783727615173,False,6.293267875804e-09,0.12604346711745198
RCEC71H226MWK1H03B_DC0V_25degC_series.s2p,RCEC71H226MWK1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.1284470030827856,1.1284470030827856,0.0,0.0028499289029145646,False,4.002142006461155e-09,0.07924454953633353
RCEC71H226MWM1H03A_DC0V_25degC_series.s2p,RCEC71H226MWM1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.1284470030827856,1.1284470030827856,0.0,0.0028499289029145646,False,4.002142006461155e-09,0.07924454953633353
RCEC71H475K2A2H03B_DC0V_25degC_series.s2p,RCEC71H475K2A2H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.4279882985496415,2.4279882985496415,0.0,0.003596766484628578,False,8.721655142629207e-09,0.17548040820089547
RCEC71H475K2DBH03A_DC0V_25degC_series.s2p,RCEC71H475K2DBH03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.4279882985496415,2.4279882985496415,0.0,0.003596766484628578,False,8.721655142629207e-09,0.17548040820089547
RCEC71H475K2K1H03B_DC0V_25degC_series.s2p,RCEC71H475K2K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.4271432056124693,2.4271432056124693,0.0,0.003596276997873258,False,8.733407333347717e-09,0.1754755214182412
RCEC71H475K2M1H03A_DC0V_25degC_series.s2p,RCEC71H475K2M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.4271432056124693,2.4271432056124693,0.0,0.003596276997873258,False,8.733407333347717e-09,0.1754755214182412
