file,Sij,baseline_test_MSE,train_improvement_percent,gate_threshold_percent,gated,ufrf_test_MSE,improvement_percent,device_type,freq_min_GHz,freq_max_GHz,family
GCM32ED70E107ME36_DC0V_25degC_series.s2p,S21,0.000362081234176,0.0519529240553005,2.0,False,,,passive,1e-07,6.0,GCM
GCM32ED70E227ME35_DC0V_25degC_series.s2p,S21,0.0001490744097579,0.153653701434257,2.0,False,,,passive,1e-07,6.0,GCM
GCM32ED70E227ME36_DC0V_25degC_series.s2p,S21,0.0001490744097579,0.153653701434257,2.0,False,,,passive,1e-07,6.0,GCM
GCM32EM8EA227ME08_DC0V_25degC_series.s2p,S21,0.0001490744097579,0.153653701434257,2.0,False,,,passive,1e-07,6.0,GCM
GRM21BC80E107ME15_DC0V_25degC_series.s2p,S21,0.0003958673657619,0.3167710380874515,2.0,False,,,passive,1e-07,6.0,GRM
GRM21BC80G107ME15_DC0V_25degC_series.s2p,S21,0.0003958673657619,0.3167710380874515,2.0,False,,,passive,1e-07,6.0,GRM
GRM21BD70E107ME01_DC0V_25degC_series.s2p,S21,0.0004313108768441,0.3204753703154374,2.0,False,,,passive,1e-07,6.0,GRM
GRM21BR60E107ME15_DC0V_25degC_series.s2p,S21,0.0003958673657619,0.3167710380874515,2.0,False,,,passive,1e-07,6.0,GRM
GRM21BR60G107ME11_DC0V_25degC_series.s2p,S21,0.0003958673657619,0.3167710380874515,2.0,False,,,passive,1e-07,6.0,GRM
GRM21BR60J107ME15_DC0V_25degC_series.s2p,S21,0.0003958673657619,0.3167710380874515,2.0,False,,,passive,1e-07,6.0,GRM
GRM31CC80E227ME11_DC0V_25degC_series.s2p,S21,0.0001138113858951,0.1520179040984492,2.0,False,,,passive,1e-07,6.0,GRM
GRM31CC80G227ME11_DC0V_25degC_series.s2p,S21,0.0001138113858951,0.1520179040984492,2.0,False,,,passive,1e-07,6.0,GRM
GRM31CD80G107MEA8_DC0V_25degC_series.s2p,S21,0.0002959980958152,0.0762018677380529,2.0,False,,,passive,1e-07,6.0,GRM
GRM31CD80J107MEA8_DC0V_25degC_series.s2p,S21,0.0002959980958152,0.0762018677380529,2.0,False,,,passive,1e-07,6.0,GRM
GRM31CR60E227ME11_DC0V_25degC_series.s2p,S21,0.0001138113858951,0.1520179040984492,2.0,False,,,passive,1e-07,6.0,GRM
GRM31CR60G107MEA8_DC0V_25degC_series.s2p,S21,0.0002959980958152,0.0762018677380529,2.0,False,,,passive,1e-07,6.0,GRM
GRM31CR60G227ME11_DC0V_25degC_series.s2p,S21,0.0001138113858951,0.1520179040984492,2.0,False,,,passive,1e-07,6.0,GRM
GRM31CR60J107KEA8_DC0V_25degC_series.s2p,S21,0.0002959980958152,0.0762018677380529,2.0,False,,,passive,1e-07,6.0,GRM
GRM31CR60J107MEA8_DC0V_25degC_series.s2p,S21,0.0002959980958152,0.0762018677380529,2.0,False,,,passive,1e-07,6.0,GRM
GRM31CR60J227ME11_DC0V_25degC_series.s2p,S21,0.0001138113858951,0.1520179040984492,2.0,False,,,passive,1e-07,6.0,GRM
GRM31CR61A107MEA8_DC0V_25degC_series.s2p,S21,0.0002959980958152,0.0762018677380529,2.0,False,,,passive,1e-07,6.0,GRM
GRM32EB30J107ME16_DC0V_20degC_series.s2p,S21,0.0004770914454841,0.1223469723620767,2.0,False,,,passive,1e-07,6.0,GRM
GRM32EC70G107ME15_DC0V_25degC_series.s2p,S21,0.0004643200900735,0.1257555278189497,2.0,False,,,passive,1e-07,6.0,GRM
GRM32EC70J107ME15_DC0V_25degC_series.s2p,S21,0.0004643200900735,0.1257555278189497,2.0,False,,,passive,1e-07,6.0,GRM
GRM32EC80E227ME05_DC0V_25degC_series.s2p,S21,0.000648741778595,1.3516757450940302,2.0,False,,,passive,1e-07,6.0,GRM
GRM32EC80E337ME05_DC0V_25degC_series.s2p,S21,0.0006823402639979,1.1713191862677204,2.0,False,,,passive,1e-07,6.0,GRM
GRM32EC80G107KE20_DC0V_25degC_series.s2p,S21,0.0004643200900735,0.1257555278189497,2.0,False,,,passive,1e-07,6.0,GRM
GRM32EC80G107ME20_DC0V_25degC_series.s2p,S21,0.0004643200900735,0.1257555278189497,2.0,False,,,passive,1e-07,6.0,GRM
GRM32EC80G227ME05_DC0V_25degC_series.s2p,S21,0.000648741778595,1.3516757450940302,2.0,False,,,passive,1e-07,6.0,GRM
GRM32EC80J107ME20_DC0V_25degC_series.s2p,S21,0.0004643200900735,0.1257555278189497,2.0,False,,,passive,1e-07,6.0,GRM
GRM32EC80J227ME01_DC0V_25degC_series.s2p,S21,0.0001716993602795,0.358215582870423,2.0,False,,,passive,1e-07,6.0,GRM
GRM32ED70E227ME01_DC0V_25degC_series.s2p,S21,0.0001716993602795,0.358215582870423,2.0,False,,,passive,1e-07,6.0,GRM
GRM32ED70G227ME01_DC0V_25degC_series.s2p,S21,0.0001716993602795,0.358215582870423,2.0,False,,,passive,1e-07,6.0,GRM
GRM32EE70G107ME19_DC0V_25degC_series.s2p,S21,0.0004643200900735,0.1257555278189497,2.0,False,,,passive,1e-07,6.0,GRM
GRM32EE70J107ME15_DC0V_25degC_series.s2p,S21,0.0004643200900735,0.1257555278189497,2.0,False,,,passive,1e-07,6.0,GRM
GRM32ER60E337ME05_DC0V_25degC_series.s2p,S21,0.0006823402639979,1.1713191862677204,2.0,False,,,passive,1e-07,6.0,GRM
GRM32ER60G227ME05_DC0V_25degC_series.s2p,S21,0.000648741778595,1.3516757450940302,2.0,False,,,passive,1e-07,6.0,GRM
GRM32ER60G337ME05_DC0V_25degC_series.s2p,S21,0.0006823402639979,1.1713191862677204,2.0,False,,,passive,1e-07,6.0,GRM
GRM32ER60J107ME20_DC0V_25degC_series.s2p,S21,0.0004643200900735,0.1257555278189497,2.0,False,,,passive,1e-07,6.0,GRM
