file,input,Sij,split,test_points,deg,ridge,n_cycles,gate,Z0,baseline_test_MSE,ufrf_test_MSE,improvement_percent,train_gain_used,used_ufrf,tau_est,phi0_est
GCM32ED70E107ME36_DC0V_25degC_series.s2p,GCM32ED70E107ME36_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3241538741079175,0.3241538741079175,0.0,0.005205665521560827,False,3.578478685538776e-11,0.017294199956595643
GCM32ED70E227ME35_DC0V_25degC_series.s2p,GCM32ED70E227ME35_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.10637064888290662,0.10637064888290662,0.0,0.005283815436458521,False,1.888225199491835e-11,0.007949071408582099
GCM32ED70E227ME36_DC0V_25degC_series.s2p,GCM32ED70E227ME36_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.10637064888290662,0.10637064888290662,0.0,0.005283815436458521,False,1.888225199491835e-11,0.007949071408582099
GCM32EM8EA227ME08_DC0V_25degC_series.s2p,GCM32EM8EA227ME08_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.10637064888290662,0.10637064888290662,0.0,0.005283815436458521,False,1.888225199491835e-11,0.007949071408582099
GRM21BC80E107ME15_DC0V_25degC_series.s2p,GRM21BC80E107ME15_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3257750140926188,0.3257750140926188,0.0,0.005250943329469324,False,3.6456588223924336e-11,0.01807979089665816
GRM21BC80G107ME15_DC0V_25degC_series.s2p,GRM21BC80G107ME15_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3257750140926188,0.3257750140926188,0.0,0.005250943329469324,False,3.6456588223924336e-11,0.01807979089665816
GRM21BD70E107ME01_DC0V_25degC_series.s2p,GRM21BD70E107ME01_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3517357426120601,0.3517357426120601,0.0,0.0052288209267506505,False,3.811342236728449e-11,0.019012571034577885
GRM21BR60E107ME15_DC0V_25degC_series.s2p,GRM21BR60E107ME15_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3257750140926188,0.3257750140926188,0.0,0.005250943329469324,False,3.6456588223924336e-11,0.01807979089665816
GRM21BR60G107ME11_DC0V_25degC_series.s2p,GRM21BR60G107ME11_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3257750140926188,0.3257750140926188,0.0,0.005250943329469324,False,3.6456588223924336e-11,0.01807979089665816
GRM21BR60J107ME15_DC0V_25degC_series.s2p,GRM21BR60J107ME15_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3257750140926188,0.3257750140926188,0.0,0.005250943329469324,False,3.6456588223924336e-11,0.01807979089665816
GRM31CC80E227ME11_DC0V_25degC_series.s2p,GRM31CC80E227ME11_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.13753586878197338,0.13753586878197338,0.0,0.005283717984539526,False,2.08420487497194e-11,0.008906376079204668
GRM31CC80G227ME11_DC0V_25degC_series.s2p,GRM31CC80G227ME11_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.13753586878197338,0.13753586878197338,0.0,0.005283717984539526,False,2.08420487497194e-11,0.008906376079204668
GRM31CD80G107MEA8_DC0V_25degC_series.s2p,GRM31CD80G107MEA8_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3011048267558704,0.3011048267558704,0.0,0.0052307770246189005,False,3.363904420369368e-11,0.015629056972190972
GRM31CD80J107MEA8_DC0V_25degC_series.s2p,GRM31CD80J107MEA8_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3011048267558704,0.3011048267558704,0.0,0.0052307770246189005,False,3.363904420369368e-11,0.015629056972190972
GRM31CR60E227ME11_DC0V_25degC_series.s2p,GRM31CR60E227ME11_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.13753586878197338,0.13753586878197338,0.0,0.005283717984539526,False,2.08420487497194e-11,0.008906376079204668
GRM31CR60G107MEA8_DC0V_25degC_series.s2p,GRM31CR60G107MEA8_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3011048267558704,0.3011048267558704,0.0,0.0052307770246189005,False,3.363904420369368e-11,0.015629056972190972
GRM31CR60G227ME11_DC0V_25degC_series.s2p,GRM31CR60G227ME11_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.13753586878197338,0.13753586878197338,0.0,0.005283717984539526,False,2.08420487497194e-11,0.008906376079204668
GRM31CR60J107KEA8_DC0V_25degC_series.s2p,GRM31CR60J107KEA8_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3011048267558704,0.3011048267558704,0.0,0.0052307770246189005,False,3.363904420369368e-11,0.015629056972190972
GRM31CR60J107MEA8_DC0V_25degC_series.s2p,GRM31CR60J107MEA8_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3011048267558704,0.3011048267558704,0.0,0.0052307770246189005,False,3.363904420369368e-11,0.015629056972190972
GRM31CR60J227ME11_DC0V_25degC_series.s2p,GRM31CR60J227ME11_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.13753586878197338,0.13753586878197338,0.0,0.005283717984539526,False,2.08420487497194e-11,0.008906376079204668
GRM31CR61A107MEA8_DC0V_25degC_series.s2p,GRM31CR61A107MEA8_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3011048267558704,0.3011048267558704,0.0,0.0052307770246189005,False,3.363904420369368e-11,0.015629056972190972
GRM32EB30J107ME16_DC0V_20degC_series.s2p,GRM32EB30J107ME16_DC0V_20degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.4057636831169219,0.4057636831169219,0.0,0.005208361348425097,False,4.030138826727785e-11,0.019616581937759527
GRM32EC70G107ME15_DC0V_25degC_series.s2p,GRM32EC70G107ME15_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3956737798719413,0.3956737798719413,0.0,0.005215056190344152,False,3.968064993563116e-11,0.019278585916497497
GRM32EC70J107ME15_DC0V_25degC_series.s2p,GRM32EC70J107ME15_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3956737798719413,0.3956737798719413,0.0,0.005215056190344152,False,3.968064993563116e-11,0.019278585916497497
GRM32EC80E227ME05_DC0V_25degC_series.s2p,GRM32EC80E227ME05_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.11554207870898055,0.11554207870898055,0.0,0.0052858586008651945,False,1.8238923714126567e-11,0.007614947437851782
GRM32EC80E337ME05_DC0V_25degC_series.s2p,GRM32EC80E337ME05_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.08806421171732211,0.08806421171732211,0.0,0.005294371567670607,False,1.506390718735837e-11,0.005852188502999018
GRM32EC80G107KE20_DC0V_25degC_series.s2p,GRM32EC80G107KE20_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3956737798719413,0.3956737798719413,0.0,0.005215056190344152,False,3.968064993563116e-11,0.019278585916497497
GRM32EC80G107ME20_DC0V_25degC_series.s2p,GRM32EC80G107ME20_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3956737798719413,0.3956737798719413,0.0,0.005215056190344152,False,3.968064993563116e-11,0.019278585916497497
GRM32EC80G227ME05_DC0V_25degC_series.s2p,GRM32EC80G227ME05_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.11554207870898055,0.11554207870898055,0.0,0.0052858586008651945,False,1.8238923714126567e-11,0.007614947437851782
GRM32EC80J107ME20_DC0V_25degC_series.s2p,GRM32EC80J107ME20_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3956737798719413,0.3956737798719413,0.0,0.005215056190344152,False,3.968064993563116e-11,0.019278585916497497
GRM32EC80J227ME01_DC0V_25degC_series.s2p,GRM32EC80J227ME01_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.11584292757803723,0.11584292757803723,0.0,0.005290046071117184,False,1.932239199419906e-11,0.008211085085554659
GRM32ED70E227ME01_DC0V_25degC_series.s2p,GRM32ED70E227ME01_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.11584292757803723,0.11584292757803723,0.0,0.005290046071117184,False,1.932239199419906e-11,0.008211085085554659
GRM32ED70G227ME01_DC0V_25degC_series.s2p,GRM32ED70G227ME01_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.11584292757803723,0.11584292757803723,0.0,0.005290046071117184,False,1.932239199419906e-11,0.008211085085554659
GRM32EE70G107ME19_DC0V_25degC_series.s2p,GRM32EE70G107ME19_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3956737798719413,0.3956737798719413,0.0,0.005215056190344152,False,3.968064993563116e-11,0.019278585916497497
GRM32EE70J107ME15_DC0V_25degC_series.s2p,GRM32EE70J107ME15_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3956737798719413,0.3956737798719413,0.0,0.005215056190344152,False,3.968064993563116e-11,0.019278585916497497
GRM32ER60E337ME05_DC0V_25degC_series.s2p,GRM32ER60E337ME05_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.08806421171732211,0.08806421171732211,0.0,0.005294371567670607,False,1.506390718735837e-11,0.005852188502999018
GRM32ER60G227ME05_DC0V_25degC_series.s2p,GRM32ER60G227ME05_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.11554207870898055,0.11554207870898055,0.0,0.0052858586008651945,False,1.8238923714126567e-11,0.007614947437851782
GRM32ER60G337ME05_DC0V_25degC_series.s2p,GRM32ER60G337ME05_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.08806421171732211,0.08806421171732211,0.0,0.005294371567670607,False,1.506390718735837e-11,0.005852188502999018
GRM32ER60J107ME20_DC0V_25degC_series.s2p,GRM32ER60J107ME20_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3956737798719413,0.3956737798719413,0.0,0.005215056190344152,False,3.968064993563116e-11,0.019278585916497497
GRM32ER60J227ME05_DC0V_25degC_series.s2p,GRM32ER60J227ME05_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.11554207870898055,0.11554207870898055,0.0,0.0052858586008651945,False,1.8238923714126567e-11,0.007614947437851782
GRM32ER61A107ME20_DC0V_25degC_series.s2p,GRM32ER61A107ME20_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3956737798719413,0.3956737798719413,0.0,0.005215056190344152,False,3.968064993563116e-11,0.019278585916497497
GRT32EC70G107ME13_DC0V_25degC_series.s2p,GRT32EC70G107ME13_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3956737798719413,0.3956737798719413,0.0,0.005215056190344152,False,3.968064993563116e-11,0.019278585916497497
GRT32EC70J107ME13_DC0V_25degC_series.s2p,GRT32EC70J107ME13_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3956737798719413,0.3956737798719413,0.0,0.005215056190344152,False,3.968064993563116e-11,0.019278585916497497
GRT32ER60J107ME13_DC0V_25degC_series.s2p,GRT32ER60J107ME13_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.3956737798719413,0.3956737798719413,0.0,0.005215056190344152,False,3.968064993563116e-11,0.019278585916497497
KCM55WC71E107MH13_DC0V_25degC_series.s2p,KCM55WC71E107MH13_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.30144766056918804,0.30144766056918804,0.0,0.005001763789508103,False,6.235332799984889e-11,0.015432038351369429
KCM55WR71E686MH01_DC0V_25degC_series.s2p,KCM55WR71E686MH01_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.508874688414347,0.508874688414347,0.0,0.00523669682824598,False,5.1230744695301725e-11,0.020448636882931137
KRM55WC71E107MH13_DC0V_25degC_series.s2p,KRM55WC71E107MH13_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.30144766056918804,0.30144766056918804,0.0,0.005001763789508103,False,6.235332799984889e-11,0.015432038351369429
