file,Sij,baseline_test_MSE,ufrf_test_MSE,improvement_percent,device_type,freq_min_GHz,freq_max_GHz,family
GCM32ED70E107ME36_DC0V_25degC_series.s2p,S21,0.0002541885767223,0.0002527193166367,0.5780197145742304,passive,1e-07,6.0,GCM
GCM32ED70E227ME35_DC0V_25degC_series.s2p,S21,0.0001106629918368,0.0001106085969089,0.0491536754753241,passive,1e-07,6.0,GCM
GCM32ED70E227ME36_DC0V_25degC_series.s2p,S21,0.0001106629918368,0.0001106085969089,0.0491536754753241,passive,1e-07,6.0,GCM
GCM32EM8EA227ME08_DC0V_25degC_series.s2p,S21,0.0001106629918368,0.0001106085969089,0.0491536754753241,passive,1e-07,6.0,GCM
GRM21BC80E107ME15_DC0V_25degC_series.s2p,S21,0.0002763896281468,0.0002702971817586,2.204296314958745,passive,1e-07,6.0,GRM
GRM21BC80G107ME15_DC0V_25degC_series.s2p,S21,0.0002763896281468,0.0002702971817586,2.204296314958745,passive,1e-07,6.0,GRM
GRM21BD70E107ME01_DC0V_25degC_series.s2p,S21,0.0003065035224951,0.0002995544888674,2.2671953558978175,passive,1e-07,6.0,GRM
GRM21BR60E107ME15_DC0V_25degC_series.s2p,S21,0.0002763896281468,0.0002702971817586,2.204296314958745,passive,1e-07,6.0,GRM
GRM21BR60G107ME11_DC0V_25degC_series.s2p,S21,0.0002763896281468,0.0002702971817586,2.204296314958745,passive,1e-07,6.0,GRM
GRM21BR60J107ME15_DC0V_25degC_series.s2p,S21,0.0002763896281468,0.0002702971817586,2.204296314958745,passive,1e-07,6.0,GRM
GRM31CC80E227ME11_DC0V_25degC_series.s2p,S21,0.0001882456650075,0.0001869115557927,0.7087064739742898,passive,1e-07,6.0,GRM
GRM31CC80G227ME11_DC0V_25degC_series.s2p,S21,0.0001882456650075,0.0001869115557927,0.7087064739742898,passive,1e-07,6.0,GRM
GRM31CD80G107MEA8_DC0V_25degC_series.s2p,S21,0.0002038373493139,0.0002025773004788,0.6181638641542017,passive,1e-07,6.0,GRM
GRM31CD80J107MEA8_DC0V_25degC_series.s2p,S21,0.0002038373493139,0.0002025773004788,0.6181638641542017,passive,1e-07,6.0,GRM
GRM31CR60E227ME11_DC0V_25degC_series.s2p,S21,0.0001882456650075,0.0001869115557927,0.7087064739742898,passive,1e-07,6.0,GRM
GRM31CR60G107MEA8_DC0V_25degC_series.s2p,S21,0.0002038373493139,0.0002025773004788,0.6181638641542017,passive,1e-07,6.0,GRM
GRM31CR60G227ME11_DC0V_25degC_series.s2p,S21,0.0001882456650075,0.0001869115557927,0.7087064739742898,passive,1e-07,6.0,GRM
GRM31CR60J107KEA8_DC0V_25degC_series.s2p,S21,0.0002038373493139,0.0002025773004788,0.6181638641542017,passive,1e-07,6.0,GRM
GRM31CR60J107MEA8_DC0V_25degC_series.s2p,S21,0.0002038373493139,0.0002025773004788,0.6181638641542017,passive,1e-07,6.0,GRM
GRM31CR60J227ME11_DC0V_25degC_series.s2p,S21,0.0001882456650075,0.0001869115557927,0.7087064739742898,passive,1e-07,6.0,GRM
