file,Sij,baseline_test_MSE,ufrf_test_MSE,improvement_percent,device_type,freq_min_GHz,freq_max_GHz,family
BLE18PK100SN1_series.s2p,S22,0.6817352200682892,0.6318572254255483,7.316329444992535,passive,0.001,3.0,BLE
BLE18PK160SN1_series.s2p,S22,0.6669918422619869,0.6109281188982717,8.405458629536586,passive,0.001,3.0,BLE
BLE18PS080BH1_series.s2p,S22,0.6852400034052876,0.6407261825660138,6.49609197041375,passive,0.001,3.0,BLE
BLE18PS080SH1_series.s2p,S22,0.6852400034052876,0.6407261825660138,6.49609197041375,passive,0.001,3.0,BLE
BLE18PS080SN1_series.s2p,S22,0.6852400034052876,0.6407261825660138,6.49609197041375,passive,0.001,3.0,BLE
BLE18PS080SZ1_series.s2p,S22,0.6852400034052876,0.6407261825660138,6.49609197041375,passive,0.001,3.0,BLE
BLE32PN260SH1_series.s2p,S22,0.6260515187115356,0.5835129901707703,6.794732904460171,passive,0.001,3.0,BLE
NFZ32BW451HZ10_series.s2p,S22,0.0034102982447572,0.0032476686268771,4.768779919181046,passive,0.001,3.0,NFZ
NFZ32BW520HN11_series.s2p,S22,0.1021033284929018,0.1018845895056635,0.214232964259795,passive,0.001,3.0,NFZ
NFZ32BW520HZ11_series.s2p,S22,0.1021033284929018,0.1018845895056635,0.214232964259795,passive,0.001,3.0,NFZ
NFZ32BW621HN10_series.s2p,S22,0.002238613563425,0.0017768039713483,20.629268026505805,passive,0.001,3.0,NFZ
NFZ32BW621HZ10_series.s2p,S22,0.002238613563425,0.0017768039713483,20.629268026505805,passive,0.001,3.0,NFZ
NFZ32BW650HN11_series.s2p,S22,0.0656812316521778,0.065394543487908,0.4364841478430062,passive,0.001,3.0,NFZ
NFZ32BW650HZ11_series.s2p,S22,0.0656812316521778,0.065394543487908,0.4364841478430062,passive,0.001,3.0,NFZ
NFZ32BW6R8HN11_series.s2p,S22,0.3393058060049113,0.3394163191009138,-0.0325703521857561,passive,0.001,3.0,NFZ
NFZ32BW6R8HZ11_series.s2p,S22,0.3393058060049113,0.3394163191009138,-0.0325703521857561,passive,0.001,3.0,NFZ
NFZ32BW700HN10_series.s2p,S22,0.0770493522699088,0.0769092414621905,0.1818455361279229,passive,0.001,3.0,NFZ
NFZ32BW700HZ10_series.s2p,S22,0.0770493522699088,0.0769092414621905,0.1818455361279229,passive,0.001,3.0,NFZ
NFZ32BW7R4HN10_series.s2p,S22,0.3324658539820034,0.3325289090027078,-0.0189658636967194,passive,0.001,3.0,NFZ
NFZ32BW7R4HZ10_series.s2p,S22,0.3324658539820034,0.3325289090027078,-0.0189658636967194,passive,0.001,3.0,NFZ
NFZ32BW881HN10_series.s2p,S22,0.0008714869131406,0.0010445846393841,-19.86234372926184,passive,0.001,3.0,NFZ
NFZ32BW881HZ10_series.s2p,S22,0.0008714869131406,0.0010445846393841,-19.86234372926184,passive,0.001,3.0,NFZ
NFZ32BW8R4HN11_series.s2p,S22,0.314415264204783,0.3142286595348948,0.0593497489252434,passive,0.001,3.0,NFZ
NFZ32BW8R4HZ11_series.s2p,S22,0.314415264204783,0.3142286595348948,0.0593497489252434,passive,0.001,3.0,NFZ
NFZ32BW9R0HN10_series.s2p,S22,0.2914100662427693,0.2912080771826318,0.0693143729528017,passive,0.001,3.0,NFZ
NFZ32BW9R0HZ10_series.s2p,S22,0.2914100662427693,0.2912080771826318,0.0693143729528017,passive,0.001,3.0,NFZ
NFZ32BW9R8HN11_series.s2p,S22,0.2859894500252669,0.2860708637165817,-0.0284673757397765,passive,0.001,3.0,NFZ
NFZ32BW9R8HZ11_series.s2p,S22,0.2859894500252669,0.2860708637165817,-0.0284673757397765,passive,0.001,3.0,NFZ
NFZ32SW301HN10_series.s2p,S22,0.4221935322047414,0.4220478808678978,0.0344987134414329,passive,0.001,3.0,NFZ
NFZ32SW901HN10_series.s2p,S22,0.3324658539820034,0.3325289090027078,-0.0189658636967194,passive,0.001,3.0,NFZ
NFZ5BBW100LN10_series.s2p,S22,0.290291773953634,0.2895389346471271,0.2593388356320167,passive,0.001,3.0,NFZ
NFZ5BBW100LZ10_series.s2p,S22,0.290291773953634,0.2895389346471271,0.2593388356320167,passive,0.001,3.0,NFZ
NFZ5BBW140LN10_series.s2p,S22,0.2564028957208119,0.2558549399463857,0.2137088869007269,passive,0.001,3.0,NFZ
NFZ5BBW140LZ10_series.s2p,S22,0.2564028957208119,0.2558549399463857,0.2137088869007269,passive,0.001,3.0,NFZ
NFZ5BBW141LN10_series.s2p,S22,0.0321351804632691,0.0332587927633846,-3.496517784923791,passive,0.001,3.0,NFZ
NFZ5BBW141LZ10_series.s2p,S22,0.0321351804632691,0.0332587927633846,-3.496517784923791,passive,0.001,3.0,NFZ
NFZ5BBW170LN10_series.s2p,S22,0.2290883686022107,0.229979785360889,-0.3891148049624877,passive,0.001,3.0,NFZ
NFZ5BBW170LZ10_series.s2p,S22,0.2290883686022107,0.229979785360889,-0.3891148049624877,passive,0.001,3.0,NFZ
NFZ5BBW220LN10_series.s2p,S22,0.2101450556449642,0.2095963464598255,0.2611097289225285,passive,0.001,3.0,NFZ
NFZ5BBW220LZ10_series.s2p,S22,0.2101450556449642,0.2095963464598255,0.2611097289225285,passive,0.001,3.0,NFZ
NFZ5BBW2R9LN10_series.s2p,S22,0.4358730726824945,0.429807774729362,1.3915284823182152,passive,0.001,3.0,NFZ
NFZ5BBW2R9LZ10_series.s2p,S22,0.4358730726824945,0.429807774729362,1.3915284823182152,passive,0.001,3.0,NFZ
NFZ5BBW310LN10_series.s2p,S22,0.154147829130446,0.1537402949135004,0.2643788233959885,passive,0.001,3.0,NFZ
NFZ5BBW310LZ10_series.s2p,S22,0.154147829130446,0.1537402949135004,0.2643788233959885,passive,0.001,3.0,NFZ
NFZ5BBW450LN10_series.s2p,S22,0.1231328182055035,0.1228277767816532,0.2477336491569669,passive,0.001,3.0,NFZ
NFZ5BBW450LZ10_series.s2p,S22,0.1231328182055035,0.1228277767816532,0.2477336491569669,passive,0.001,3.0,NFZ
NFZ5BBW4R5LN10_series.s2p,S22,0.370196551066213,0.3711676365484592,-0.2623161883732779,passive,0.001,3.0,NFZ
NFZ5BBW4R5LZ10_series.s2p,S22,0.370196551066213,0.3711676365484592,-0.2623161883732779,passive,0.001,3.0,NFZ
NFZ5BBW520LN10_series.s2p,S22,0.0975535334930044,0.0986311094351435,-1.104599601424368,passive,0.001,3.0,NFZ
NFZ5BBW520LZ10_series.s2p,S22,0.0975535334930044,0.0986311094351435,-1.104599601424368,passive,0.001,3.0,NFZ
NFZ5BBW610LN10_series.s2p,S22,0.0847919317605319,0.0859414267288101,-1.3556655030865046,passive,0.001,3.0,NFZ
NFZ5BBW610LZ10_series.s2p,S22,0.0847919317605319,0.0859414267288101,-1.3556655030865046,passive,0.001,3.0,NFZ
NFZ5BBW6R7LN10_series.s2p,S22,0.3308618376761951,0.3305434083250778,0.0962423933064785,passive,0.001,3.0,NFZ
NFZ5BBW6R7LZ10_series.s2p,S22,0.3308618376761951,0.3305434083250778,0.0962423933064785,passive,0.001,3.0,NFZ
NFZ5BBW7R6LN10_series.s2p,S22,0.3308618376761951,0.3305434083250778,0.0962423933064785,passive,0.001,3.0,NFZ
NFZ5BBW7R6LZ10_series.s2p,S22,0.3308618376761951,0.3305434083250778,0.0962423933064785,passive,0.001,3.0,NFZ
NFZ5BBW970LN10_series.s2p,S22,0.0510137854155393,0.0504186408154515,1.1666348522070342,passive,0.001,3.0,NFZ
NFZ5BBW970LZ10_series.s2p,S22,0.0510137854155393,0.0504186408154515,1.1666348522070342,passive,0.001,3.0,NFZ
